Date,PowerShares Dynamic Media_Open_average,PowerShares Dynamic Media_Open_max,PowerShares Dynamic Media_Open_min,PowerShares Dynamic Media_Open_volatility,PowerShares Dynamic Media_Open_change,PowerShares Dynamic Media_High_average,PowerShares Dynamic Media_High_max,PowerShares Dynamic Media_High_min,PowerShares Dynamic Media_High_volatility,PowerShares Dynamic Media_High_change,PowerShares Dynamic Media_Low_average,PowerShares Dynamic Media_Low_max,PowerShares Dynamic Media_Low_min,PowerShares Dynamic Media_Low_volatility,PowerShares Dynamic Media_Low_change,PowerShares Dynamic Media_Close_average,PowerShares Dynamic Media_Close_max,PowerShares Dynamic Media_Close_min,PowerShares Dynamic Media_Close_volatility,PowerShares Dynamic Media_Close_change
2018-01-14,29.79,29.79,29.79,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.75,29.75,29.75,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-01-21,31.0,31.0,31.0,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-01-28,29.96,29.96,29.96,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.22,29.22,29.22,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-02-04,29.7,29.7,29.7,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2018-02-11,30.76,30.76,30.76,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-02-18,31.14,31.14,31.14,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-02-25,30.48,30.48,30.48,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.48,30.48,30.48,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-04,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-03-11,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-03-18,29.8,29.8,29.8,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.42,29.42,29.42,0.0,0.0,30.09,30.09,30.09,0.0,0.0
