Date,CORV_stock_Open_average,CORV_stock_Open_max,CORV_stock_Open_min,CORV_stock_Open_volatility,CORV_stock_Open_change,CORV_stock_High_average,CORV_stock_High_max,CORV_stock_High_min,CORV_stock_High_volatility,CORV_stock_High_change,CORV_stock_Low_average,CORV_stock_Low_max,CORV_stock_Low_min,CORV_stock_Low_volatility,CORV_stock_Low_change,CORV_stock_Close_average,CORV_stock_Close_max,CORV_stock_Close_min,CORV_stock_Close_volatility,CORV_stock_Close_change,CORV_stock_Volume_average,CORV_stock_Volume_max,CORV_stock_Volume_min,CORV_stock_Volume_volatility,CORV_stock_Volume_change
2018-01-14,1.5675,1.63,1.54,0.08999999999999986,-0.07999999999999985,1.595,1.64,1.56,0.07999999999999985,-0.07999999999999985,1.5350000000000001,1.54,1.53,0.010000000000000009,-0.010000000000000009,1.5437500000000002,1.55,1.5390000000000001,0.010999999999999899,-0.010999999999999899,63784,83412,47468,35944,-26062
2018-01-21,1.566,1.61,1.52,0.09000000000000008,-0.050000000000000044,1.5842,1.62,1.56,0.06000000000000005,-0.010000000000000009,1.5294,1.557,1.5,0.05699999999999994,-0.040000000000000036,1.556,1.61,1.53,0.08000000000000007,-0.020000000000000018,69641,83029,42750,40279,-1892
2018-01-28,1.5166,1.54,1.47,0.07000000000000006,-0.07000000000000006,1.5426,1.6,1.49,0.1100000000000001,-0.1100000000000001,1.4686,1.49,1.46,0.030000000000000027,-0.030000000000000027,1.494,1.52,1.47,0.050000000000000044,-0.020000000000000018,90286,149713,42690,107023,2576
2018-02-04,1.432,1.46,1.39,0.07000000000000006,-0.07000000000000006,1.4602,1.49,1.42,0.07000000000000006,-0.07000000000000006,1.3579999999999999,1.39,1.31,0.07999999999999985,0.020000000000000018,1.416,1.45,1.38,0.07000000000000006,-0.030000000000000027,77148,130694,31879,98815,-26635
2018-02-11,1.429,1.46,1.39,0.07000000000000006,0.05500000000000016,1.4778,1.5,1.469,0.030999999999999917,0.010000000000000009,1.4026,1.444,1.36,0.08399999999999985,0.08399999999999985,1.4478,1.47,1.41,0.06000000000000005,0.0009999999999998899,33058,49996,12563,37433,-34206
2018-02-18,1.44,1.46,1.42,0.040000000000000036,-0.020000000000000018,1.46,1.48,1.44,0.040000000000000036,-0.040000000000000036,1.3932499999999999,1.43,1.38,0.050000000000000044,-0.050000000000000044,1.415,1.44,1.4,0.040000000000000036,-0.040000000000000036,31609,38359,20538,17821,17821
2018-02-25,1.398,1.42,1.38,0.040000000000000036,0.010000000000000009,1.4454,1.4669999999999999,1.43,0.03699999999999992,-0.016999999999999904,1.3821999999999999,1.39,1.37,0.019999999999999796,0.0,1.414,1.44,1.39,0.050000000000000044,0.040000000000000036,31377,76422,7599,68823,-64865
2018-03-04,1.592,1.75,1.43,0.32000000000000006,0.24,1.678,1.75,1.55,0.19999999999999996,0.17999999999999994,1.5502,1.67,1.4240000000000002,0.24599999999999977,0.22599999999999976,1.6079999999999999,1.73,1.46,0.27,0.1299999999999999,99137,245708,28212,217496,-33560
2018-03-11,1.5496,1.6580000000000001,1.46,0.19800000000000018,-0.15800000000000014,1.6358,1.72,1.53,0.18999999999999995,-0.08899999999999997,1.524,1.6,1.46,0.14000000000000012,-0.08000000000000007,1.572,1.66,1.49,0.16999999999999993,-0.010000000000000009,63014,109460,19341,90119,22788
2018-03-18,1.858,2.2,1.6,0.6000000000000001,0.27,1.968,2.38,1.6,0.7799999999999998,0.3599999999999999,1.72,1.81,1.56,0.25,0.25,1.8,1.91,1.57,0.33999999999999986,0.33999999999999986,1181631,5084246,11183,5073063,123909
