Date,PowerShares Russell 1000 Low Beta Equal Weight_Open_average,PowerShares Russell 1000 Low Beta Equal Weight_Open_max,PowerShares Russell 1000 Low Beta Equal Weight_Open_min,PowerShares Russell 1000 Low Beta Equal Weight_Open_volatility,PowerShares Russell 1000 Low Beta Equal Weight_Open_change,PowerShares Russell 1000 Low Beta Equal Weight_High_average,PowerShares Russell 1000 Low Beta Equal Weight_High_max,PowerShares Russell 1000 Low Beta Equal Weight_High_min,PowerShares Russell 1000 Low Beta Equal Weight_High_volatility,PowerShares Russell 1000 Low Beta Equal Weight_High_change,PowerShares Russell 1000 Low Beta Equal Weight_Low_average,PowerShares Russell 1000 Low Beta Equal Weight_Low_max,PowerShares Russell 1000 Low Beta Equal Weight_Low_min,PowerShares Russell 1000 Low Beta Equal Weight_Low_volatility,PowerShares Russell 1000 Low Beta Equal Weight_Low_change,PowerShares Russell 1000 Low Beta Equal Weight_Close_average,PowerShares Russell 1000 Low Beta Equal Weight_Close_max,PowerShares Russell 1000 Low Beta Equal Weight_Close_min,PowerShares Russell 1000 Low Beta Equal Weight_Close_volatility,PowerShares Russell 1000 Low Beta Equal Weight_Close_change
2018-01-14,31.77,31.77,31.77,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-01-21,32.28,32.28,32.28,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-01-28,31.12,31.12,31.12,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-02-04,29.79,29.79,29.79,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.78,29.78,29.78,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-02-11,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-02-18,31.04,31.04,31.04,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-02-25,30.9,30.9,30.9,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-03-04,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-03-11,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-03-18,30.17,30.17,30.17,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-03-25,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-04-01,30.42,30.42,30.42,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-04-08,30.64,30.64,30.64,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-04-15,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-04-22,30.88,30.88,30.88,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-04-29,30.88,30.88,30.88,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0
2018-05-06,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-05-13,31.34,31.34,31.34,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-05-20,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-05-27,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-06-03,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-06-10,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-06-17,31.73,31.73,31.73,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-06-24,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
