Date,PowerShares S&P SmallCap Industrials_etf_Open_average,PowerShares S&P SmallCap Industrials_etf_Open_max,PowerShares S&P SmallCap Industrials_etf_Open_min,PowerShares S&P SmallCap Industrials_etf_Open_volatility,PowerShares S&P SmallCap Industrials_etf_Open_change,PowerShares S&P SmallCap Industrials_etf_High_average,PowerShares S&P SmallCap Industrials_etf_High_max,PowerShares S&P SmallCap Industrials_etf_High_min,PowerShares S&P SmallCap Industrials_etf_High_volatility,PowerShares S&P SmallCap Industrials_etf_High_change,PowerShares S&P SmallCap Industrials_etf_Low_average,PowerShares S&P SmallCap Industrials_etf_Low_max,PowerShares S&P SmallCap Industrials_etf_Low_min,PowerShares S&P SmallCap Industrials_etf_Low_volatility,PowerShares S&P SmallCap Industrials_etf_Low_change,PowerShares S&P SmallCap Industrials_etf_Close_average,PowerShares S&P SmallCap Industrials_etf_Close_max,PowerShares S&P SmallCap Industrials_etf_Close_min,PowerShares S&P SmallCap Industrials_etf_Close_volatility,PowerShares S&P SmallCap Industrials_etf_Close_change
2018-01-14,65.7,65.7,65.7,0.0,0.0,66.66,66.66,66.66,0.0,0.0,65.7,65.7,65.7,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-01-21,66.3,66.3,66.3,0.0,0.0,66.43,66.43,66.43,0.0,0.0,65.88,65.88,65.88,0.0,0.0,66.43,66.43,66.43,0.0,0.0
2018-01-28,65.31,65.31,65.31,0.0,0.0,65.31,65.31,65.31,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-02-04,61.33,61.33,61.33,0.0,0.0,61.97,61.97,61.97,0.0,0.0,59.76,59.76,59.76,0.0,0.0,61.97,61.97,61.97,0.0,0.0
2018-02-11,63.99,63.99,63.99,0.0,0.0,64.72,64.72,64.72,0.0,0.0,63.89,63.89,63.89,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-02-18,64.79,64.79,64.79,0.0,0.0,65.04,65.04,65.04,0.0,0.0,64.51,64.51,64.51,0.0,0.0,64.9,64.9,64.9,0.0,0.0
2018-02-25,61.76,61.76,61.76,0.0,0.0,63.36,63.36,63.36,0.0,0.0,61.76,61.76,61.76,0.0,0.0,63.36,63.36,63.36,0.0,0.0
2018-03-04,65.52,65.52,65.52,0.0,0.0,66.76,66.76,66.76,0.0,0.0,65.52,65.52,65.52,0.0,0.0,66.76,66.76,66.76,0.0,0.0
2018-03-11,66.33,66.33,66.33,0.0,0.0,66.33,66.33,66.33,0.0,0.0,66.16,66.16,66.16,0.0,0.0,66.24,66.24,66.24,0.0,0.0
2018-03-18,64.36,64.36,64.36,0.0,0.0,64.37,64.37,64.37,0.0,0.0,62.85,62.85,62.85,0.0,0.0,62.85,62.85,62.85,0.0,0.0
2018-03-25,64.08,64.08,64.08,0.0,0.0,64.72,64.72,64.72,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-04-01,64.95,64.95,64.95,0.0,0.0,64.95,64.95,64.95,0.0,0.0,63.29,63.29,63.29,0.0,0.0,63.29,63.29,63.29,0.0,0.0
2018-04-08,64.93,64.93,64.93,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.8,64.8,64.8,0.0,0.0
2018-04-15,65.81,65.81,65.81,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2018-04-22,64.48,64.48,64.48,0.0,0.0,64.48,64.48,64.48,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.95,63.95,63.95,0.0,0.0
2018-04-29,62.52,62.52,62.52,0.0,0.0,63.49,63.49,63.49,0.0,0.0,62.52,62.52,62.52,0.0,0.0,63.36,63.36,63.36,0.0,0.0
2018-05-06,65.86,65.86,65.86,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.7,65.7,65.7,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-05-13,66.73,66.73,66.73,0.0,0.0,67.47,67.47,67.47,0.0,0.0,66.73,66.73,66.73,0.0,0.0,67.16,67.16,67.16,0.0,0.0
2018-05-20,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.5,67.5,67.5,0.0,0.0
