Date,iShares US Technology_Open_average,iShares US Technology_Open_max,iShares US Technology_Open_min,iShares US Technology_Open_volatility,iShares US Technology_Open_change,iShares US Technology_High_average,iShares US Technology_High_max,iShares US Technology_High_min,iShares US Technology_High_volatility,iShares US Technology_High_change,iShares US Technology_Low_average,iShares US Technology_Low_max,iShares US Technology_Low_min,iShares US Technology_Low_volatility,iShares US Technology_Low_change,iShares US Technology_Close_average,iShares US Technology_Close_max,iShares US Technology_Close_min,iShares US Technology_Close_volatility,iShares US Technology_Close_change
2018-01-14,172.99,172.99,172.99,0.0,0.0,174.8,174.8,174.8,0.0,0.0,172.73,172.73,172.73,0.0,0.0,174.8,174.8,174.8,0.0,0.0
2018-01-21,176.24,176.24,176.24,0.0,0.0,176.28,176.28,176.28,0.0,0.0,174.78,174.78,174.78,0.0,0.0,175.11,175.11,175.11,0.0,0.0
2018-01-28,167.58,167.58,167.58,0.0,0.0,170.79,170.79,170.79,0.0,0.0,162.48,162.48,162.48,0.0,0.0,162.48,162.48,162.48,0.0,0.0
2018-02-04,163.45,163.45,163.45,0.0,0.0,166.03,166.03,166.03,0.0,0.0,162.48,162.48,162.48,0.0,0.0,164.96,164.96,164.96,0.0,0.0
2018-02-11,171.76,171.76,171.76,0.0,0.0,173.7,173.7,173.7,0.0,0.0,171.51,171.51,171.51,0.0,0.0,171.74,171.74,171.74,0.0,0.0
2018-02-18,175.99,175.99,175.99,0.0,0.0,177.93,177.93,177.93,0.0,0.0,175.85,175.85,175.85,0.0,0.0,177.93,177.93,177.93,0.0,0.0
2018-02-25,173.39,173.39,173.39,0.0,0.0,176.66,176.66,176.66,0.0,0.0,173.07,173.07,173.07,0.0,0.0,176.07,176.07,176.07,0.0,0.0
2018-03-04,182.7,182.7,182.7,0.0,0.0,183.64,183.64,183.64,0.0,0.0,182.25,182.25,182.25,0.0,0.0,182.95,182.95,182.95,0.0,0.0
2018-03-11,178.42,178.42,178.42,0.0,0.0,178.42,178.42,178.42,0.0,0.0,174.7,174.7,174.7,0.0,0.0,176.31,176.31,176.31,0.0,0.0
2018-03-18,169.24,169.24,169.24,0.0,0.0,172.6,172.6,172.6,0.0,0.0,166.77,166.77,166.77,0.0,0.0,172.45,172.45,172.45,0.0,0.0
