Date,ProShares VIX Mid Term FuturesEtf_Open_average,ProShares VIX Mid Term FuturesEtf_Open_max,ProShares VIX Mid Term FuturesEtf_Open_min,ProShares VIX Mid Term FuturesEtf_Open_volatility,ProShares VIX Mid Term FuturesEtf_Open_change,ProShares VIX Mid Term FuturesEtf_High_average,ProShares VIX Mid Term FuturesEtf_High_max,ProShares VIX Mid Term FuturesEtf_High_min,ProShares VIX Mid Term FuturesEtf_High_volatility,ProShares VIX Mid Term FuturesEtf_High_change,ProShares VIX Mid Term FuturesEtf_Low_average,ProShares VIX Mid Term FuturesEtf_Low_max,ProShares VIX Mid Term FuturesEtf_Low_min,ProShares VIX Mid Term FuturesEtf_Low_volatility,ProShares VIX Mid Term FuturesEtf_Low_change,ProShares VIX Mid Term FuturesEtf_Close_average,ProShares VIX Mid Term FuturesEtf_Close_max,ProShares VIX Mid Term FuturesEtf_Close_min,ProShares VIX Mid Term FuturesEtf_Close_volatility,ProShares VIX Mid Term FuturesEtf_Close_change
2018-01-14,20.42,20.42,20.42,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2018-01-21,20.89,20.89,20.89,0.0,0.0,20.96,20.96,20.96,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.87,20.87,20.87,0.0,0.0
2018-01-28,21.33,21.33,21.33,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2018-02-04,26.62,26.62,26.62,0.0,0.0,28.17,28.17,28.17,0.0,0.0,25.55,25.55,25.55,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-02-11,24.54,24.54,24.54,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-02-18,24.55,24.55,24.55,0.0,0.0,24.66,24.66,24.66,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2018-02-25,26.5,26.5,26.5,0.0,0.0,26.6,26.6,26.6,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-03-04,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-03-11,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2018-03-18,25.52,25.52,25.52,0.0,0.0,26.5,26.5,26.5,0.0,0.0,25.25,25.25,25.25,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-03-25,26.98,26.98,26.98,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-04-01,26.8,26.8,26.8,0.0,0.0,27.75,27.75,27.75,0.0,0.0,26.47,26.47,26.47,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-04-08,26.38,26.38,26.38,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-04-15,24.79,24.79,24.79,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.92,24.92,24.92,0.0,0.0
