Date,SPDR S&P Global Dividend_Open_average,SPDR S&P Global Dividend_Open_max,SPDR S&P Global Dividend_Open_min,SPDR S&P Global Dividend_Open_volatility,SPDR S&P Global Dividend_Open_change,SPDR S&P Global Dividend_High_average,SPDR S&P Global Dividend_High_max,SPDR S&P Global Dividend_High_min,SPDR S&P Global Dividend_High_volatility,SPDR S&P Global Dividend_High_change,SPDR S&P Global Dividend_Low_average,SPDR S&P Global Dividend_Low_max,SPDR S&P Global Dividend_Low_min,SPDR S&P Global Dividend_Low_volatility,SPDR S&P Global Dividend_Low_change,SPDR S&P Global Dividend_Close_average,SPDR S&P Global Dividend_Close_max,SPDR S&P Global Dividend_Close_min,SPDR S&P Global Dividend_Close_volatility,SPDR S&P Global Dividend_Close_change
2018-01-14,72.43,72.43,72.43,0.0,0.0,72.82,72.82,72.82,0.0,0.0,72.43,72.43,72.43,0.0,0.0,72.82,72.82,72.82,0.0,0.0
2018-01-21,73.29,73.29,73.29,0.0,0.0,73.29,73.29,73.29,0.0,0.0,73.0,73.0,73.0,0.0,0.0,73.08,73.08,73.08,0.0,0.0
2018-01-28,70.47,70.47,70.47,0.0,0.0,70.5,70.5,70.5,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-02-04,68.36,68.36,68.36,0.0,0.0,68.71,68.71,68.71,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2018-02-11,69.69,69.69,69.69,0.0,0.0,70.43,70.43,70.43,0.0,0.0,69.69,69.69,69.69,0.0,0.0,70.02,70.02,70.02,0.0,0.0
2018-02-18,70.25,70.25,70.25,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.25,70.25,70.25,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-02-25,68.29,68.29,68.29,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.29,68.29,68.29,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2018-03-04,69.94,69.94,69.94,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.79,69.79,69.79,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2018-03-11,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-03-18,68.03,68.03,68.03,0.0,0.0,68.08,68.08,68.08,0.0,0.0,67.55,67.55,67.55,0.0,0.0,68.08,68.08,68.08,0.0,0.0
2018-03-25,68.48,68.48,68.48,0.0,0.0,68.48,68.48,68.48,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.77,67.77,67.77,0.0,0.0
2018-04-01,68.82,68.82,68.82,0.0,0.0,69.24,69.24,69.24,0.0,0.0,68.79,68.79,68.79,0.0,0.0,68.8,68.8,68.8,0.0,0.0
2018-04-08,69.29,69.29,69.29,0.0,0.0,69.71,69.71,69.71,0.0,0.0,69.29,69.29,69.29,0.0,0.0,69.7,69.7,69.7,0.0,0.0
2018-04-15,69.1,69.1,69.1,0.0,0.0,69.24,69.24,69.24,0.0,0.0,69.01,69.01,69.01,0.0,0.0,69.21,69.21,69.21,0.0,0.0
2018-04-22,69.95,69.95,69.95,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.32,69.32,69.32,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-04-29,69.14,69.14,69.14,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.93,68.93,68.93,0.0,0.0,68.99,68.99,68.99,0.0,0.0
2018-05-06,69.98,69.98,69.98,0.0,0.0,70.01,70.01,70.01,0.0,0.0,69.66,69.66,69.66,0.0,0.0,69.73,69.73,69.73,0.0,0.0
2018-05-13,69.35,69.35,69.35,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-05-20,68.84,68.84,68.84,0.0,0.0,69.02,69.02,69.02,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2018-05-27,68.83,68.83,68.83,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.67,68.67,68.67,0.0,0.0
2018-06-03,68.95,68.95,68.95,0.0,0.0,69.26,69.26,69.26,0.0,0.0,68.95,68.95,68.95,0.0,0.0,69.24,69.24,69.24,0.0,0.0
2018-06-10,67.44,67.44,67.44,0.0,0.0,67.63,67.63,67.63,0.0,0.0,67.36,67.36,67.36,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2018-06-17,67.6,67.6,67.6,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2018-06-24,66.92,66.92,66.92,0.0,0.0,67.13,67.13,67.13,0.0,0.0,66.82,66.82,66.82,0.0,0.0,67.09,67.09,67.09,0.0,0.0
2018-07-01,69.17,69.17,69.17,0.0,0.0,69.17,69.17,69.17,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.92,68.92,68.92,0.0,0.0
2018-07-08,68.42,68.42,68.42,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.33,68.33,68.33,0.0,0.0,68.43,68.43,68.43,0.0,0.0
2018-07-15,68.32,68.32,68.32,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.19,68.19,68.19,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-07-22,69.2,69.2,69.2,0.0,0.0,69.49,69.49,69.49,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.33,69.33,69.33,0.0,0.0
2018-07-29,68.94,68.94,68.94,0.0,0.0,69.18,69.18,69.18,0.0,0.0,68.94,68.94,68.94,0.0,0.0,69.03,69.03,69.03,0.0,0.0
2018-08-05,67.48,67.48,67.48,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.3,67.3,67.3,0.0,0.0
