Date,Direxion Daily SP Biotech Bear 3X_Open_average,Direxion Daily SP Biotech Bear 3X_Open_max,Direxion Daily SP Biotech Bear 3X_Open_min,Direxion Daily SP Biotech Bear 3X_Open_volatility,Direxion Daily SP Biotech Bear 3X_Open_change,Direxion Daily SP Biotech Bear 3X_High_average,Direxion Daily SP Biotech Bear 3X_High_max,Direxion Daily SP Biotech Bear 3X_High_min,Direxion Daily SP Biotech Bear 3X_High_volatility,Direxion Daily SP Biotech Bear 3X_High_change,Direxion Daily SP Biotech Bear 3X_Low_average,Direxion Daily SP Biotech Bear 3X_Low_max,Direxion Daily SP Biotech Bear 3X_Low_min,Direxion Daily SP Biotech Bear 3X_Low_volatility,Direxion Daily SP Biotech Bear 3X_Low_change,Direxion Daily SP Biotech Bear 3X_Close_average,Direxion Daily SP Biotech Bear 3X_Close_max,Direxion Daily SP Biotech Bear 3X_Close_min,Direxion Daily SP Biotech Bear 3X_Close_volatility,Direxion Daily SP Biotech Bear 3X_Close_change
2018-01-14,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-01-21,30.4,30.4,30.4,0.0,0.0,30.5,30.5,30.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-01-28,35.65,35.65,35.65,0.0,0.0,38.4,38.4,38.4,0.0,0.0,33.1,33.1,33.1,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-02-04,38.5,38.5,38.5,0.0,0.0,39.8,39.8,39.8,0.0,0.0,35.6,35.6,35.6,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-02-11,32.9,32.9,32.9,0.0,0.0,33.2,33.2,33.2,0.0,0.0,31.42,31.42,31.42,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-02-18,32.1,32.1,32.1,0.0,0.0,32.9,32.9,32.9,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-25,33.0,33.0,33.0,0.0,0.0,33.1,33.1,33.1,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-03-04,27.9,27.9,27.9,0.0,0.0,28.89,28.89,28.89,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-03-11,31.2,31.2,31.2,0.0,0.0,33.7,33.7,33.7,0.0,0.0,30.51,30.51,30.51,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-03-18,34.2,34.2,34.2,0.0,0.0,36.5,36.5,36.5,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.9,32.9,32.9,0.0,0.0
