Date,ProShares UltraShort Basic Materials_Open_average,ProShares UltraShort Basic Materials_Open_max,ProShares UltraShort Basic Materials_Open_min,ProShares UltraShort Basic Materials_Open_volatility,ProShares UltraShort Basic Materials_Open_change,ProShares UltraShort Basic Materials_High_average,ProShares UltraShort Basic Materials_High_max,ProShares UltraShort Basic Materials_High_min,ProShares UltraShort Basic Materials_High_volatility,ProShares UltraShort Basic Materials_High_change,ProShares UltraShort Basic Materials_Low_average,ProShares UltraShort Basic Materials_Low_max,ProShares UltraShort Basic Materials_Low_min,ProShares UltraShort Basic Materials_Low_volatility,ProShares UltraShort Basic Materials_Low_change,ProShares UltraShort Basic Materials_Close_average,ProShares UltraShort Basic Materials_Close_max,ProShares UltraShort Basic Materials_Close_min,ProShares UltraShort Basic Materials_Close_volatility,ProShares UltraShort Basic Materials_Close_change
2018-01-14,24.18,24.18,24.18,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-01-21,23.46,23.46,23.46,0.0,0.0,24.1,24.1,24.1,0.0,0.0,23.46,23.46,23.46,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2018-01-28,26.8,26.8,26.8,0.0,0.0,28.38,28.38,28.38,0.0,0.0,26.18,26.18,26.18,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-02-04,27.56,27.56,27.56,0.0,0.0,27.8,27.8,27.8,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-02-11,26.14,26.14,26.14,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-02-18,24.92,24.92,24.92,0.0,0.0,25.46,25.46,25.46,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2018-02-25,27.34,27.34,27.34,0.0,0.0,27.48,27.48,27.48,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-03-04,24.58,24.58,24.58,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.58,24.58,24.58,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-03-11,26.74,26.74,26.74,0.0,0.0,27.63,27.63,27.63,0.0,0.0,26.74,26.74,26.74,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-03-18,29.5,29.5,29.5,0.0,0.0,29.83,29.83,29.83,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-03-25,29.02,29.02,29.02,0.0,0.0,30.46,30.46,30.46,0.0,0.0,28.8,28.8,28.8,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-04-01,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.68,28.68,28.68,0.0,0.0
