Date,iShares MSCI China_Open_average,iShares MSCI China_Open_max,iShares MSCI China_Open_min,iShares MSCI China_Open_volatility,iShares MSCI China_Open_change,iShares MSCI China_High_average,iShares MSCI China_High_max,iShares MSCI China_High_min,iShares MSCI China_High_volatility,iShares MSCI China_High_change,iShares MSCI China_Low_average,iShares MSCI China_Low_max,iShares MSCI China_Low_min,iShares MSCI China_Low_volatility,iShares MSCI China_Low_change,iShares MSCI China_Close_average,iShares MSCI China_Close_max,iShares MSCI China_Close_min,iShares MSCI China_Close_volatility,iShares MSCI China_Close_change
2018-01-14,73.51,73.51,73.51,0.0,0.0,73.93,73.93,73.93,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.91,73.91,73.91,0.0,0.0
2018-01-21,75.52,75.52,75.52,0.0,0.0,75.59,75.59,75.59,0.0,0.0,75.11,75.11,75.11,0.0,0.0,75.24,75.24,75.24,0.0,0.0
2018-01-28,71.8,71.8,71.8,0.0,0.0,72.78,72.78,72.78,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.58,69.58,69.58,0.0,0.0
2018-02-04,66.53,66.53,66.53,0.0,0.0,67.39,67.39,67.39,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-02-11,71.13,71.13,71.13,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-02-18,72.57,72.57,72.57,0.0,0.0,73.09,73.09,73.09,0.0,0.0,72.08,72.08,72.08,0.0,0.0,73.0,73.0,73.0,0.0,0.0
2018-02-25,67.88,67.88,67.88,0.0,0.0,69.24,69.24,69.24,0.0,0.0,67.85,67.85,67.85,0.0,0.0,69.07,69.07,69.07,0.0,0.0
2018-03-04,72.32,72.32,72.32,0.0,0.0,72.57,72.57,72.57,0.0,0.0,71.86,71.86,71.86,0.0,0.0,72.39,72.39,72.39,0.0,0.0
2018-03-11,72.18,72.18,72.18,0.0,0.0,72.19,72.19,72.19,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.57,71.57,71.57,0.0,0.0
2018-03-18,69.06,69.06,69.06,0.0,0.0,69.91,69.91,69.91,0.0,0.0,68.14,68.14,68.14,0.0,0.0,69.79,69.79,69.79,0.0,0.0
2018-03-25,67.9,67.9,67.9,0.0,0.0,68.4,68.4,68.4,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.91,66.91,66.91,0.0,0.0
2018-04-01,67.16,67.16,67.16,0.0,0.0,67.95,67.95,67.95,0.0,0.0,66.76,66.76,66.76,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2018-04-08,67.07,67.07,67.07,0.0,0.0,67.5,67.5,67.5,0.0,0.0,66.85,66.85,66.85,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2018-04-15,66.73,66.73,66.73,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-04-22,67.55,67.55,67.55,0.0,0.0,67.69,67.69,67.69,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.85,66.85,66.85,0.0,0.0
2018-04-29,66.87,66.87,66.87,0.0,0.0,67.56,67.56,67.56,0.0,0.0,66.87,66.87,66.87,0.0,0.0,67.35,67.35,67.35,0.0,0.0
2018-05-06,70.42,70.42,70.42,0.0,0.0,70.85,70.85,70.85,0.0,0.0,70.25,70.25,70.25,0.0,0.0,70.34,70.34,70.34,0.0,0.0
2018-05-13,69.9,69.9,69.9,0.0,0.0,70.07,70.07,70.07,0.0,0.0,69.42,69.42,69.42,0.0,0.0,69.69,69.69,69.69,0.0,0.0
2018-05-20,68.8,68.8,68.8,0.0,0.0,69.2,69.2,69.2,0.0,0.0,68.7,68.7,68.7,0.0,0.0,69.18,69.18,69.18,0.0,0.0
