Date,Victory CEMP US Large Cap High Div Volatility Weig_Open_average,Victory CEMP US Large Cap High Div Volatility Weig_Open_max,Victory CEMP US Large Cap High Div Volatility Weig_Open_min,Victory CEMP US Large Cap High Div Volatility Weig_Open_volatility,Victory CEMP US Large Cap High Div Volatility Weig_Open_change,Victory CEMP US Large Cap High Div Volatility Weig_High_average,Victory CEMP US Large Cap High Div Volatility Weig_High_max,Victory CEMP US Large Cap High Div Volatility Weig_High_min,Victory CEMP US Large Cap High Div Volatility Weig_High_volatility,Victory CEMP US Large Cap High Div Volatility Weig_High_change,Victory CEMP US Large Cap High Div Volatility Weig_Low_average,Victory CEMP US Large Cap High Div Volatility Weig_Low_max,Victory CEMP US Large Cap High Div Volatility Weig_Low_min,Victory CEMP US Large Cap High Div Volatility Weig_Low_volatility,Victory CEMP US Large Cap High Div Volatility Weig_Low_change,Victory CEMP US Large Cap High Div Volatility Weig_Close_average,Victory CEMP US Large Cap High Div Volatility Weig_Close_max,Victory CEMP US Large Cap High Div Volatility Weig_Close_min,Victory CEMP US Large Cap High Div Volatility Weig_Close_volatility,Victory CEMP US Large Cap High Div Volatility Weig_Close_change
2018-01-14,46.33,46.33,46.33,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2018-01-21,47.41,47.41,47.41,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.17,47.17,47.17,0.0,0.0
2018-01-28,45.21,45.21,45.21,0.0,0.0,45.55,45.55,45.55,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-02-04,43.87,43.87,43.87,0.0,0.0,44.36,44.36,44.36,0.0,0.0,43.77,43.77,43.77,0.0,0.0,44.15,44.15,44.15,0.0,0.0
2018-02-11,44.89,44.89,44.89,0.0,0.0,45.5,45.5,45.5,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-02-18,45.13,45.13,45.13,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2018-02-25,43.98,43.98,43.98,0.0,0.0,44.76,44.76,44.76,0.0,0.0,43.98,43.98,43.98,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2018-03-04,45.21,45.21,45.21,0.0,0.0,45.28,45.28,45.28,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.15,45.15,45.15,0.0,0.0
2018-03-11,44.71,44.71,44.71,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2018-03-18,43.35,43.35,43.35,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.71,43.71,43.71,0.0,0.0
