Date,Vanguard FTSE All World ex US_Open_average,Vanguard FTSE All World ex US_Open_max,Vanguard FTSE All World ex US_Open_min,Vanguard FTSE All World ex US_Open_volatility,Vanguard FTSE All World ex US_Open_change,Vanguard FTSE All World ex US_High_average,Vanguard FTSE All World ex US_High_max,Vanguard FTSE All World ex US_High_min,Vanguard FTSE All World ex US_High_volatility,Vanguard FTSE All World ex US_High_change,Vanguard FTSE All World ex US_Low_average,Vanguard FTSE All World ex US_Low_max,Vanguard FTSE All World ex US_Low_min,Vanguard FTSE All World ex US_Low_volatility,Vanguard FTSE All World ex US_Low_change,Vanguard FTSE All World ex US_Close_average,Vanguard FTSE All World ex US_Close_max,Vanguard FTSE All World ex US_Close_min,Vanguard FTSE All World ex US_Close_volatility,Vanguard FTSE All World ex US_Close_change
2018-01-14,57.81,57.81,57.81,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.77,57.77,57.77,0.0,0.0,58.08,58.08,58.08,0.0,0.0
2018-01-21,58.37,58.37,58.37,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.26,58.26,58.26,0.0,0.0
2018-01-28,56.0,56.0,56.0,0.0,0.0,56.27,56.27,56.27,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2018-02-04,53.87,53.87,53.87,0.0,0.0,54.37,54.37,54.37,0.0,0.0,53.65,53.65,53.65,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-02-11,55.71,55.71,55.71,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.85,55.85,55.85,0.0,0.0
2018-02-18,56.14,56.14,56.14,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.91,55.91,55.91,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-02-25,53.92,53.92,53.92,0.0,0.0,54.65,54.65,54.65,0.0,0.0,53.86,53.86,53.86,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-03-04,55.64,55.64,55.64,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-03-11,55.03,55.03,55.03,0.0,0.0,55.03,55.03,55.03,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-03-18,53.95,53.95,53.95,0.0,0.0,54.18,54.18,54.18,0.0,0.0,53.42,53.42,53.42,0.0,0.0,54.16,54.16,54.16,0.0,0.0
2018-03-25,54.2,54.2,54.2,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-04-01,54.35,54.35,54.35,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-04-08,54.94,54.94,54.94,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.77,54.77,54.77,0.0,0.0,54.9,54.9,54.9,0.0,0.0
2018-04-15,54.8,54.8,54.8,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2018-04-22,54.89,54.89,54.89,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.68,54.68,54.68,0.0,0.0
2018-04-29,54.58,54.58,54.58,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-05-06,55.61,55.61,55.61,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2018-05-13,55.12,55.12,55.12,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-05-20,54.24,54.24,54.24,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.25,54.25,54.25,0.0,0.0
