Date,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_change,VelocityShares 1x Daily Inverse VSTOXX Futures_High_average,VelocityShares 1x Daily Inverse VSTOXX Futures_High_max,VelocityShares 1x Daily Inverse VSTOXX Futures_High_min,VelocityShares 1x Daily Inverse VSTOXX Futures_High_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_High_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_change
2018-04-22,38.13,38.13,38.13,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.5,37.5,37.5,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-04-29,36.64,36.64,36.64,0.0,0.0,37.94,37.94,37.94,0.0,0.0,36.64,36.64,36.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-05-06,39.99,39.99,39.99,0.0,0.0,40.33,40.33,40.33,0.0,0.0,39.82,39.82,39.82,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2018-05-13,38.59,38.59,38.59,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2018-05-20,35.5,35.5,35.5,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-05-27,34.3,34.3,34.3,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-06-03,35.11,35.11,35.11,0.0,0.0,35.64,35.64,35.64,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-06-10,39.41,39.41,39.41,0.0,0.0,40.0,40.0,40.0,0.0,0.0,38.7,38.7,38.7,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2018-06-17,35.97,35.97,35.97,0.0,0.0,36.44,36.44,36.44,0.0,0.0,35.85,35.85,35.85,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-06-24,32.28,32.28,32.28,0.0,0.0,32.62,32.62,32.62,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-07-01,33.2,33.2,33.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.0,33.0,33.0,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2018-07-08,36.91,36.91,36.91,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.5,36.5,36.5,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-07-15,36.6,36.6,36.6,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.6,36.6,36.6,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-07-22,38.96,38.96,38.96,0.0,0.0,39.0,39.0,39.0,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2018-07-29,36.3,36.3,36.3,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-08-05,37.21,37.21,37.21,0.0,0.0,37.21,37.21,37.21,0.0,0.0,34.5,34.5,34.5,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-08-12,32.26,32.26,32.26,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.1,32.1,32.1,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-08-19,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-08-26,33.88,33.88,33.88,0.0,0.0,34.5,34.5,34.5,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-09-02,32.0,32.0,32.0,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-09-09,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-09-16,37.4,37.4,37.4,0.0,0.0,37.6,37.6,37.6,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-09-23,36.0,36.0,36.0,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.88,35.88,35.88,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-09-30,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-10-07,30.23,30.23,30.23,0.0,0.0,30.49,30.49,30.49,0.0,0.0,27.6,27.6,27.6,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-10-14,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-10-21,26.31,26.31,26.31,0.0,0.0,26.76,26.76,26.76,0.0,0.0,25.0,25.0,25.0,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-10-28,28.0,28.0,28.0,0.0,0.0,28.58,28.58,28.58,0.0,0.0,27.02,27.02,27.02,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-11-04,30.45,30.45,30.45,0.0,0.0,30.49,30.49,30.49,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-11-11,26.99,26.99,26.99,0.0,0.0,29.64,29.64,29.64,0.0,0.0,26.99,26.99,26.99,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-11-18,27.25,27.25,27.25,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-11-25,29.1,29.1,29.1,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-12-02,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-12-09,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-12-16,22.36,22.36,22.36,0.0,0.0,22.36,22.36,22.36,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2018-12-23,20.6,20.6,20.6,0.0,0.0,20.79,20.79,20.79,0.0,0.0,19.92,19.92,19.92,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2018-12-30,22.28,22.28,22.28,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2019-01-06,24.01,24.01,24.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2019-01-13,28.0,28.0,28.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2019-01-20,28.04,28.04,28.04,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2019-01-27,29.02,29.02,29.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2019-02-03,28.66,28.66,28.66,0.0,0.0,29.19,29.19,29.19,0.0,0.0,27.42,27.42,27.42,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2019-02-10,29.45,29.45,29.45,0.0,0.0,30.73,30.73,30.73,0.0,0.0,29.45,29.45,29.45,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-02-17,30.8,30.8,30.8,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-02-24,31.84,31.84,31.84,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-03-03,29.73,29.73,29.73,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.45,29.45,29.45,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2019-03-10,32.88,32.88,32.88,0.0,0.0,33.66,33.66,33.66,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2019-03-17,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,28.68,28.68,28.68,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2019-03-24,30.5,30.5,30.5,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.5,30.5,30.5,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2019-03-31,31.61,31.61,31.61,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-04-07,34.48,34.48,34.48,0.0,0.0,35.51,35.51,35.51,0.0,0.0,34.25,34.25,34.25,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2019-04-14,36.97,36.97,36.97,0.0,0.0,37.24,37.24,37.24,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2019-04-21,36.59,36.59,36.59,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2019-04-28,37.0,37.0,37.0,0.0,0.0,37.16,37.16,37.16,0.0,0.0,36.77,36.77,36.77,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2019-05-05,31.43,31.43,31.43,0.0,0.0,33.29,33.29,33.29,0.0,0.0,30.61,30.61,30.61,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2019-05-12,34.67,34.67,34.67,0.0,0.0,34.9,34.9,34.9,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2019-05-19,32.84,32.84,32.84,0.0,0.0,33.32,33.32,33.32,0.0,0.0,32.65,32.65,32.65,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2019-05-26,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2019-06-02,33.84,33.84,33.84,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.83,33.83,33.83,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2019-06-09,34.31,34.31,34.31,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2019-06-16,35.62,35.62,35.62,0.0,0.0,36.46,36.46,36.46,0.0,0.0,35.56,35.56,35.56,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2019-06-23,36.53,36.53,36.53,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2019-06-30,39.89,39.89,39.89,0.0,0.0,39.9,39.9,39.9,0.0,0.0,38.44,38.44,38.44,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2019-07-07,39.95,39.95,39.95,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2019-07-14,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2019-07-21,40.66,40.66,40.66,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.66,40.66,40.66,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2019-07-28,35.37,35.37,35.37,0.0,0.0,35.47,35.47,35.47,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.82,33.82,33.82,0.0,0.0
