Date,WisdomTree International Equity_Open_average,WisdomTree International Equity_Open_max,WisdomTree International Equity_Open_min,WisdomTree International Equity_Open_volatility,WisdomTree International Equity_Open_change,WisdomTree International Equity_High_average,WisdomTree International Equity_High_max,WisdomTree International Equity_High_min,WisdomTree International Equity_High_volatility,WisdomTree International Equity_High_change,WisdomTree International Equity_Low_average,WisdomTree International Equity_Low_max,WisdomTree International Equity_Low_min,WisdomTree International Equity_Low_volatility,WisdomTree International Equity_Low_change,WisdomTree International Equity_Close_average,WisdomTree International Equity_Close_max,WisdomTree International Equity_Close_min,WisdomTree International Equity_Close_volatility,WisdomTree International Equity_Close_change
2018-01-14,58.5,58.5,58.5,0.0,0.0,58.57,58.57,58.57,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-01-21,59.41,59.41,59.41,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2018-01-28,58.17,58.17,58.17,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-02-04,54.55,54.55,54.55,0.0,0.0,54.68,54.68,54.68,0.0,0.0,53.27,53.27,53.27,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-02-11,56.32,56.32,56.32,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-02-18,56.21,56.21,56.21,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2018-02-25,54.43,54.43,54.43,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-03-04,55.46,55.46,55.46,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.74,55.74,55.74,0.0,0.0
2018-03-11,55.47,55.47,55.47,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-03-18,54.28,54.28,54.28,0.0,0.0,54.4,54.4,54.4,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2018-03-25,54.7,54.7,54.7,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.86,54.86,54.86,0.0,0.0
2018-04-01,55.08,55.08,55.08,0.0,0.0,55.27,55.27,55.27,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2018-04-08,56.06,56.06,56.06,0.0,0.0,56.06,56.06,56.06,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-04-15,56.16,56.16,56.16,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.14,56.14,56.14,0.0,0.0
2018-04-22,56.18,56.18,56.18,0.0,0.0,56.32,56.32,56.32,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2018-04-29,55.7,55.7,55.7,0.0,0.0,56.21,56.21,56.21,0.0,0.0,55.62,55.62,55.62,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2018-05-06,56.64,56.64,56.64,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-05-13,56.2,56.2,56.2,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-05-20,55.06,55.06,55.06,0.0,0.0,55.13,55.13,55.13,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.12,55.12,55.12,0.0,0.0
2018-05-27,54.94,54.94,54.94,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2018-06-03,55.2,55.2,55.2,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.22,55.22,55.22,0.0,0.0
2018-06-10,54.95,54.95,54.95,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2018-06-17,54.31,54.31,54.31,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-06-24,52.8,52.8,52.8,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-07-01,53.11,53.11,53.11,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2018-07-08,53.08,53.08,53.08,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.19,53.19,53.19,0.0,0.0
