Date,Vanguard Health Care_Open_average,Vanguard Health Care_Open_max,Vanguard Health Care_Open_min,Vanguard Health Care_Open_volatility,Vanguard Health Care_Open_change,Vanguard Health Care_High_average,Vanguard Health Care_High_max,Vanguard Health Care_High_min,Vanguard Health Care_High_volatility,Vanguard Health Care_High_change,Vanguard Health Care_Low_average,Vanguard Health Care_Low_max,Vanguard Health Care_Low_min,Vanguard Health Care_Low_volatility,Vanguard Health Care_Low_change,Vanguard Health Care_Close_average,Vanguard Health Care_Close_max,Vanguard Health Care_Close_min,Vanguard Health Care_Close_volatility,Vanguard Health Care_Close_change
2018-01-14,164.59,164.59,164.59,0.0,0.0,166.18,166.18,166.18,0.0,0.0,164.52,164.52,164.52,0.0,0.0,166.18,166.18,166.18,0.0,0.0
2018-01-21,170.33,170.33,170.33,0.0,0.0,171.3,171.3,171.3,0.0,0.0,170.1,170.1,170.1,0.0,0.0,170.47,170.47,170.47,0.0,0.0
2018-01-28,161.59,161.59,161.59,0.0,0.0,162.32,162.32,162.32,0.0,0.0,154.26,154.26,154.26,0.0,0.0,155.3,155.3,155.3,0.0,0.0
2018-02-04,154.36,154.36,154.36,0.0,0.0,156.17,156.17,156.17,0.0,0.0,153.07,153.07,153.07,0.0,0.0,155.01,155.01,155.01,0.0,0.0
2018-02-11,158.73,158.73,158.73,0.0,0.0,161.16,161.16,161.16,0.0,0.0,158.53,158.53,158.53,0.0,0.0,160.01,160.01,160.01,0.0,0.0
2018-02-18,160.29,160.29,160.29,0.0,0.0,161.97,161.97,161.97,0.0,0.0,160.1,160.1,160.1,0.0,0.0,161.84,161.84,161.84,0.0,0.0
2018-02-25,156.4,156.4,156.4,0.0,0.0,159.11,159.11,159.11,0.0,0.0,156.34,156.34,156.34,0.0,0.0,158.62,158.62,158.62,0.0,0.0
2018-03-04,163.18,163.18,163.18,0.0,0.0,163.71,163.71,163.71,0.0,0.0,162.39,162.39,162.39,0.0,0.0,162.65,162.65,162.65,0.0,0.0
2018-03-11,160.78,160.78,160.78,0.0,0.0,160.96,160.96,160.96,0.0,0.0,157.2,157.2,157.2,0.0,0.0,158.52,158.52,158.52,0.0,0.0
2018-03-18,152.52,152.52,152.52,0.0,0.0,154.03,154.03,154.03,0.0,0.0,150.78,150.78,150.78,0.0,0.0,153.87,153.87,153.87,0.0,0.0
