Date,American Century STOXX U.S. Quality Value_Open_average,American Century STOXX U.S. Quality Value_Open_max,American Century STOXX U.S. Quality Value_Open_min,American Century STOXX U.S. Quality Value_Open_volatility,American Century STOXX U.S. Quality Value_Open_change,American Century STOXX U.S. Quality Value_High_average,American Century STOXX U.S. Quality Value_High_max,American Century STOXX U.S. Quality Value_High_min,American Century STOXX U.S. Quality Value_High_volatility,American Century STOXX U.S. Quality Value_High_change,American Century STOXX U.S. Quality Value_Low_average,American Century STOXX U.S. Quality Value_Low_max,American Century STOXX U.S. Quality Value_Low_min,American Century STOXX U.S. Quality Value_Low_volatility,American Century STOXX U.S. Quality Value_Low_change,American Century STOXX U.S. Quality Value_Close_average,American Century STOXX U.S. Quality Value_Close_max,American Century STOXX U.S. Quality Value_Close_min,American Century STOXX U.S. Quality Value_Close_volatility,American Century STOXX U.S. Quality Value_Close_change
2018-01-14,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.29,41.29,41.29,0.0,0.0
2018-01-21,41.62,41.62,41.62,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0
2018-01-28,39.81,39.81,39.81,0.0,0.0,39.86,39.86,39.86,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-02-04,38.22,38.22,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-02-11,39.46,39.46,39.46,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2018-02-18,39.81,39.81,39.81,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2018-02-25,39.57,39.57,39.57,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-03-04,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2018-03-11,40.39,40.39,40.39,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2018-03-18,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2018-03-25,37.72,37.72,37.72,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-04-01,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2018-04-08,39.36,39.36,39.36,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-04-15,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2018-04-22,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-04-29,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-05-06,39.05,39.05,39.05,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2018-05-13,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2018-05-20,39.35,39.35,39.35,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2018-05-27,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-06-03,40.15,40.15,40.15,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-06-10,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2018-06-17,39.55,39.55,39.55,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.36,39.36,39.36,0.0,0.0
