Date,iShares International Treasury BondEtf_Open_average,iShares International Treasury BondEtf_Open_max,iShares International Treasury BondEtf_Open_min,iShares International Treasury BondEtf_Open_volatility,iShares International Treasury BondEtf_Open_change,iShares International Treasury BondEtf_High_average,iShares International Treasury BondEtf_High_max,iShares International Treasury BondEtf_High_min,iShares International Treasury BondEtf_High_volatility,iShares International Treasury BondEtf_High_change,iShares International Treasury BondEtf_Low_average,iShares International Treasury BondEtf_Low_max,iShares International Treasury BondEtf_Low_min,iShares International Treasury BondEtf_Low_volatility,iShares International Treasury BondEtf_Low_change,iShares International Treasury BondEtf_Close_average,iShares International Treasury BondEtf_Close_max,iShares International Treasury BondEtf_Close_min,iShares International Treasury BondEtf_Close_volatility,iShares International Treasury BondEtf_Close_change
2018-01-14,50.74,50.74,50.74,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-01-21,51.48,51.48,51.48,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-01-28,51.2,51.2,51.2,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2018-02-04,50.52,50.52,50.52,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-02-11,51.54,51.54,51.54,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2018-02-18,51.07,51.07,51.07,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2018-02-25,51.35,51.35,51.35,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2018-03-04,51.11,51.11,51.11,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-03-11,51.38,51.38,51.38,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-03-18,51.73,51.73,51.73,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-03-25,51.66,51.66,51.66,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-04-01,51.42,51.42,51.42,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-04-08,51.51,51.51,51.51,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-04-15,51.08,51.08,51.08,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-04-22,50.4,50.4,50.4,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-04-29,49.98,49.98,49.98,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-05-06,49.97,49.97,49.97,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-05-13,48.98,48.98,48.98,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-05-20,49.18,49.18,49.18,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-05-27,49.19,49.19,49.19,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-06-03,49.21,49.21,49.21,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-06-10,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.8,48.8,48.8,0.0,0.0
