Date,iShares Select Dividend_Open_average,iShares Select Dividend_Open_max,iShares Select Dividend_Open_min,iShares Select Dividend_Open_volatility,iShares Select Dividend_Open_change,iShares Select Dividend_High_average,iShares Select Dividend_High_max,iShares Select Dividend_High_min,iShares Select Dividend_High_volatility,iShares Select Dividend_High_change,iShares Select Dividend_Low_average,iShares Select Dividend_Low_max,iShares Select Dividend_Low_min,iShares Select Dividend_Low_volatility,iShares Select Dividend_Low_change,iShares Select Dividend_Close_average,iShares Select Dividend_Close_max,iShares Select Dividend_Close_min,iShares Select Dividend_Close_volatility,iShares Select Dividend_Close_change
2018-01-14,100.56,100.56,100.56,0.0,0.0,101.02,101.02,101.02,0.0,0.0,100.52,100.52,100.52,0.0,0.0,101.02,101.02,101.02,0.0,0.0
2018-01-21,102.01,102.01,102.01,0.0,0.0,102.13,102.13,102.13,0.0,0.0,101.39,101.39,101.39,0.0,0.0,101.42,101.42,101.42,0.0,0.0
2018-01-28,97.7,97.7,97.7,0.0,0.0,98.62,98.62,98.62,0.0,0.0,94.77,94.77,94.77,0.0,0.0,95.13,95.13,95.13,0.0,0.0
2018-02-04,94.99,94.99,94.99,0.0,0.0,95.91,95.91,95.91,0.0,0.0,94.32,94.32,94.32,0.0,0.0,95.36,95.36,95.36,0.0,0.0
2018-02-11,97.51,97.51,97.51,0.0,0.0,98.6,98.6,98.6,0.0,0.0,97.51,97.51,97.51,0.0,0.0,97.99,97.99,97.99,0.0,0.0
2018-02-18,98.55,98.55,98.55,0.0,0.0,98.78,98.78,98.78,0.0,0.0,97.98,97.98,97.98,0.0,0.0,98.69,98.69,98.69,0.0,0.0
2018-02-25,95.4,95.4,95.4,0.0,0.0,97.36,97.36,97.36,0.0,0.0,95.39,95.39,95.39,0.0,0.0,97.15,97.15,97.15,0.0,0.0
2018-03-04,97.95,97.95,97.95,0.0,0.0,98.02,98.02,98.02,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.69,97.69,97.69,0.0,0.0
2018-03-11,97.38,97.38,97.38,0.0,0.0,97.5,97.5,97.5,0.0,0.0,96.04,96.04,96.04,0.0,0.0,96.54,96.54,96.54,0.0,0.0
2018-03-18,93.4,93.4,93.4,0.0,0.0,94.34,94.34,94.34,0.0,0.0,93.02,93.02,93.02,0.0,0.0,94.23,94.23,94.23,0.0,0.0
2018-03-25,95.05,95.05,95.05,0.0,0.0,95.25,95.25,95.25,0.0,0.0,92.73,92.73,92.73,0.0,0.0,93.47,93.47,93.47,0.0,0.0
2018-04-01,94.96,94.96,94.96,0.0,0.0,95.96,95.96,95.96,0.0,0.0,94.73,94.73,94.73,0.0,0.0,94.8,94.8,94.8,0.0,0.0
2018-04-08,96.04,96.04,96.04,0.0,0.0,96.81,96.81,96.81,0.0,0.0,95.93,95.93,95.93,0.0,0.0,96.64,96.64,96.64,0.0,0.0
