Date,First Trust Emerging Markets Local Currency Bond_Open_average,First Trust Emerging Markets Local Currency Bond_Open_max,First Trust Emerging Markets Local Currency Bond_Open_min,First Trust Emerging Markets Local Currency Bond_Open_volatility,First Trust Emerging Markets Local Currency Bond_Open_change,First Trust Emerging Markets Local Currency Bond_High_average,First Trust Emerging Markets Local Currency Bond_High_max,First Trust Emerging Markets Local Currency Bond_High_min,First Trust Emerging Markets Local Currency Bond_High_volatility,First Trust Emerging Markets Local Currency Bond_High_change,First Trust Emerging Markets Local Currency Bond_Low_average,First Trust Emerging Markets Local Currency Bond_Low_max,First Trust Emerging Markets Local Currency Bond_Low_min,First Trust Emerging Markets Local Currency Bond_Low_volatility,First Trust Emerging Markets Local Currency Bond_Low_change,First Trust Emerging Markets Local Currency Bond_Close_average,First Trust Emerging Markets Local Currency Bond_Close_max,First Trust Emerging Markets Local Currency Bond_Close_min,First Trust Emerging Markets Local Currency Bond_Close_volatility,First Trust Emerging Markets Local Currency Bond_Close_change
2018-01-14,43.38,43.38,43.38,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-01-21,43.58,43.58,43.58,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.69,43.69,43.69,0.0,0.0
2018-01-28,43.39,43.39,43.39,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-02-04,42.91,42.91,42.91,0.0,0.0,45.95,45.95,45.95,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2018-02-11,43.41,43.41,43.41,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-02-18,43.58,43.58,43.58,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-02-25,42.92,42.92,42.92,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-03-04,42.91,42.91,42.91,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-03-11,42.66,42.66,42.66,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2018-03-18,43.02,43.02,43.02,0.0,0.0,43.22,43.22,43.22,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-03-25,42.64,42.64,42.64,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-04-01,42.87,42.87,42.87,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-04-08,42.92,42.92,42.92,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-04-15,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.02,42.02,42.02,0.0,0.0
