Date,ALPS Sprott Gold Miners_Open_average,ALPS Sprott Gold Miners_Open_max,ALPS Sprott Gold Miners_Open_min,ALPS Sprott Gold Miners_Open_volatility,ALPS Sprott Gold Miners_Open_change,ALPS Sprott Gold Miners_High_average,ALPS Sprott Gold Miners_High_max,ALPS Sprott Gold Miners_High_min,ALPS Sprott Gold Miners_High_volatility,ALPS Sprott Gold Miners_High_change,ALPS Sprott Gold Miners_Low_average,ALPS Sprott Gold Miners_Low_max,ALPS Sprott Gold Miners_Low_min,ALPS Sprott Gold Miners_Low_volatility,ALPS Sprott Gold Miners_Low_change,ALPS Sprott Gold Miners_Close_average,ALPS Sprott Gold Miners_Close_max,ALPS Sprott Gold Miners_Close_min,ALPS Sprott Gold Miners_Close_volatility,ALPS Sprott Gold Miners_Close_change
2018-01-14,21.43,21.43,21.43,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.37,21.37,21.37,0.0,0.0
2018-01-21,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2018-01-28,20.63,20.63,20.63,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2018-02-04,19.12,19.12,19.12,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-02-11,20.5,20.5,20.5,0.0,0.0,20.53,20.53,20.53,0.0,0.0,19.9,19.9,19.9,0.0,0.0,20.07,20.07,20.07,0.0,0.0
2018-02-18,19.3,19.3,19.3,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.35,19.35,19.35,0.0,0.0
2018-02-25,18.75,18.75,18.75,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-03-04,18.76,18.76,18.76,0.0,0.0,19.07,19.07,19.07,0.0,0.0,18.73,18.73,18.73,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-03-11,18.85,18.85,18.85,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2018-03-18,19.83,19.83,19.83,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2018-03-25,19.77,19.77,19.77,0.0,0.0,20.07,20.07,20.07,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-04-01,19.64,19.64,19.64,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2018-04-08,20.25,20.25,20.25,0.0,0.0,20.27,20.27,20.27,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2018-04-15,19.92,19.92,19.92,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2018-04-22,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2018-04-29,19.72,19.72,19.72,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.66,19.66,19.66,0.0,0.0
2018-05-06,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-05-13,19.31,19.31,19.31,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.33,19.33,19.33,0.0,0.0
2018-05-20,19.69,19.69,19.69,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.57,19.57,19.57,0.0,0.0
2018-05-27,19.73,19.73,19.73,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-06-03,19.57,19.57,19.57,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.72,19.72,19.72,0.0,0.0
2018-06-10,19.39,19.39,19.39,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2018-06-17,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2018-06-24,19.17,19.17,19.17,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.13,19.13,19.13,0.0,0.0
2018-07-01,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2018-07-08,18.87,18.87,18.87,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2018-07-15,18.87,18.87,18.87,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2018-07-22,18.51,18.51,18.51,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-07-29,18.21,18.21,18.21,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2018-08-05,17.49,17.49,17.49,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-08-12,15.97,15.97,15.97,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2018-08-19,16.24,16.24,16.24,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2018-08-26,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-09-02,15.23,15.23,15.23,0.0,0.0,15.29,15.29,15.29,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2018-09-09,15.38,15.38,15.38,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.53,15.53,15.53,0.0,0.0
2018-09-16,15.89,15.89,15.89,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-09-23,15.63,15.63,15.63,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.58,15.58,15.58,0.0,0.0
2018-09-30,15.6,15.6,15.6,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-10-07,16.95,16.95,16.95,0.0,0.0,17.37,17.37,17.37,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2018-10-14,16.95,16.95,16.95,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-10-21,15.78,15.78,15.78,0.0,0.0,16.05,16.05,16.05,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2018-10-28,16.15,16.15,16.15,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.18,16.18,16.18,0.0,0.0
