Date,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_change,iPath S&P GSCI Crude Oil Total ReturnEtf_High_average,iPath S&P GSCI Crude Oil Total ReturnEtf_High_max,iPath S&P GSCI Crude Oil Total ReturnEtf_High_min,iPath S&P GSCI Crude Oil Total ReturnEtf_High_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_High_change,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_change,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_change
2018-01-14,7.02,7.02,7.02,0.0,0.0,7.07,7.07,7.07,0.0,0.0,6.97,6.97,6.97,0.0,0.0,7.05,7.05,7.05,0.0,0.0
2018-01-21,7.34,7.34,7.34,0.0,0.0,7.46,7.46,7.46,0.0,0.0,7.34,7.34,7.34,0.0,0.0,7.44,7.44,7.44,0.0,0.0
2018-01-28,7.33,7.33,7.33,0.0,0.0,7.38,7.38,7.38,0.0,0.0,7.19,7.19,7.19,0.0,0.0,7.29,7.29,7.29,0.0,0.0
2018-02-04,6.6,6.6,6.6,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.27,6.27,6.27,0.0,0.0,6.43,6.43,6.43,0.0,0.0
2018-02-11,6.72,6.72,6.72,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.8,6.8,6.8,0.0,0.0
2018-02-18,6.97,6.97,6.97,0.0,0.0,7.12,7.12,7.12,0.0,0.0,6.96,6.96,6.96,0.0,0.0,7.09,7.09,7.09,0.0,0.0
2018-02-25,6.68,6.68,6.68,0.0,0.0,6.8,6.8,6.8,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.8,6.8,6.8,0.0,0.0
2018-03-04,6.72,6.72,6.72,0.0,0.0,6.9,6.9,6.9,0.0,0.0,6.71,6.71,6.71,0.0,0.0,6.88,6.88,6.88,0.0,0.0
2018-03-11,6.78,6.78,6.78,0.0,0.0,6.96,6.96,6.96,0.0,0.0,6.76,6.76,6.76,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2018-03-18,7.31,7.31,7.31,0.0,0.0,7.47,7.47,7.47,0.0,0.0,7.31,7.31,7.31,0.0,0.0,7.46,7.46,7.46,0.0,0.0
