Date,ProShares Ultra MSCI Emerging MarketsEtf_Open_average,ProShares Ultra MSCI Emerging MarketsEtf_Open_max,ProShares Ultra MSCI Emerging MarketsEtf_Open_min,ProShares Ultra MSCI Emerging MarketsEtf_Open_volatility,ProShares Ultra MSCI Emerging MarketsEtf_Open_change,ProShares Ultra MSCI Emerging MarketsEtf_High_average,ProShares Ultra MSCI Emerging MarketsEtf_High_max,ProShares Ultra MSCI Emerging MarketsEtf_High_min,ProShares Ultra MSCI Emerging MarketsEtf_High_volatility,ProShares Ultra MSCI Emerging MarketsEtf_High_change,ProShares Ultra MSCI Emerging MarketsEtf_Low_average,ProShares Ultra MSCI Emerging MarketsEtf_Low_max,ProShares Ultra MSCI Emerging MarketsEtf_Low_min,ProShares Ultra MSCI Emerging MarketsEtf_Low_volatility,ProShares Ultra MSCI Emerging MarketsEtf_Low_change,ProShares Ultra MSCI Emerging MarketsEtf_Close_average,ProShares Ultra MSCI Emerging MarketsEtf_Close_max,ProShares Ultra MSCI Emerging MarketsEtf_Close_min,ProShares Ultra MSCI Emerging MarketsEtf_Close_volatility,ProShares Ultra MSCI Emerging MarketsEtf_Close_change
2018-01-14,106.72,106.72,106.72,0.0,0.0,107.43,107.43,107.43,0.0,0.0,106.23,106.23,106.23,0.0,0.0,107.43,107.43,107.43,0.0,0.0
2018-01-21,112.69,112.69,112.69,0.0,0.0,114.48,114.48,114.48,0.0,0.0,112.66,112.66,112.66,0.0,0.0,114.44,114.44,114.44,0.0,0.0
2018-01-28,104.65,104.65,104.65,0.0,0.0,104.99,104.99,104.99,0.0,0.0,101.0,101.0,101.0,0.0,0.0,101.0,101.0,101.0,0.0,0.0
2018-02-04,89.55,89.55,89.55,0.0,0.0,91.25,91.25,91.25,0.0,0.0,84.51,84.51,84.51,0.0,0.0,90.01,90.01,90.01,0.0,0.0
2018-02-11,101.72,101.72,101.72,0.0,0.0,104.14,104.14,104.14,0.0,0.0,101.72,101.72,101.72,0.0,0.0,102.73,102.73,102.73,0.0,0.0
2018-02-18,102.19,102.19,102.19,0.0,0.0,102.8,102.8,102.8,0.0,0.0,101.5,101.5,101.5,0.0,0.0,102.8,102.8,102.8,0.0,0.0
2018-02-25,93.21,93.21,93.21,0.0,0.0,96.26,96.26,96.26,0.0,0.0,92.34,92.34,92.34,0.0,0.0,96.2,96.2,96.2,0.0,0.0
2018-03-04,101.01,101.01,101.01,0.0,0.0,102.88,102.88,102.88,0.0,0.0,100.81,100.81,100.81,0.0,0.0,102.88,102.88,102.88,0.0,0.0
2018-03-11,100.32,100.32,100.32,0.0,0.0,101.17,101.17,101.17,0.0,0.0,100.32,100.32,100.32,0.0,0.0,100.63,100.63,100.63,0.0,0.0
2018-03-18,95.32,95.32,95.32,0.0,0.0,95.67,95.67,95.67,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.18,91.18,91.18,0.0,0.0
2018-03-25,93.72,93.72,93.72,0.0,0.0,96.52,96.52,96.52,0.0,0.0,93.72,93.72,93.72,0.0,0.0,96.16,96.16,96.16,0.0,0.0
2018-04-01,93.52,93.52,93.52,0.0,0.0,94.73,94.73,94.73,0.0,0.0,90.76,90.76,90.76,0.0,0.0,91.52,91.52,91.52,0.0,0.0
