Date,Franklin FTSE Hong Kong_Open_average,Franklin FTSE Hong Kong_Open_max,Franklin FTSE Hong Kong_Open_min,Franklin FTSE Hong Kong_Open_volatility,Franklin FTSE Hong Kong_Open_change,Franklin FTSE Hong Kong_High_average,Franklin FTSE Hong Kong_High_max,Franklin FTSE Hong Kong_High_min,Franklin FTSE Hong Kong_High_volatility,Franklin FTSE Hong Kong_High_change,Franklin FTSE Hong Kong_Low_average,Franklin FTSE Hong Kong_Low_max,Franklin FTSE Hong Kong_Low_min,Franklin FTSE Hong Kong_Low_volatility,Franklin FTSE Hong Kong_Low_change,Franklin FTSE Hong Kong_Close_average,Franklin FTSE Hong Kong_Close_max,Franklin FTSE Hong Kong_Close_min,Franklin FTSE Hong Kong_Close_volatility,Franklin FTSE Hong Kong_Close_change
2018-01-14,27.87,27.87,27.87,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-01-21,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-01-28,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-02-04,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-11,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2018-02-18,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-02-25,26.59,26.59,26.59,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-03-04,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-03-11,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-03-18,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-03-25,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2018-04-01,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-04-08,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.91,26.91,26.91,0.0,0.0
