Date,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Open_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Open_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Open_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Open_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Open_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_High_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_High_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_High_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_High_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_High_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Low_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Low_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Low_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Low_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Low_change,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Close_average,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Close_max,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Close_min,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Close_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Mortgage REITEtf_Close_change
2018-01-14,15.65,15.65,15.65,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.83,15.83,15.83,0.0,0.0
2018-01-21,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2018-01-28,14.34,14.34,14.34,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.02,14.02,14.02,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2018-02-04,13.6,13.6,13.6,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-02-11,14.67,14.67,14.67,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.65,14.65,14.65,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2018-02-18,14.05,14.05,14.05,0.0,0.0,14.4,14.4,14.4,0.0,0.0,13.99,13.99,13.99,0.0,0.0,14.36,14.36,14.36,0.0,0.0
2018-02-25,13.49,13.49,13.49,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2018-03-04,14.45,14.45,14.45,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.54,14.54,14.54,0.0,0.0
2018-03-11,14.58,14.58,14.58,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.58,14.58,14.58,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2018-03-18,14.58,14.58,14.58,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.46,14.46,14.46,0.0,0.0
