Date,Elkhorn Lunt Low Vol High Beta TacticalEtf_Open_average,Elkhorn Lunt Low Vol High Beta TacticalEtf_Open_max,Elkhorn Lunt Low Vol High Beta TacticalEtf_Open_min,Elkhorn Lunt Low Vol High Beta TacticalEtf_Open_volatility,Elkhorn Lunt Low Vol High Beta TacticalEtf_Open_change,Elkhorn Lunt Low Vol High Beta TacticalEtf_High_average,Elkhorn Lunt Low Vol High Beta TacticalEtf_High_max,Elkhorn Lunt Low Vol High Beta TacticalEtf_High_min,Elkhorn Lunt Low Vol High Beta TacticalEtf_High_volatility,Elkhorn Lunt Low Vol High Beta TacticalEtf_High_change,Elkhorn Lunt Low Vol High Beta TacticalEtf_Low_average,Elkhorn Lunt Low Vol High Beta TacticalEtf_Low_max,Elkhorn Lunt Low Vol High Beta TacticalEtf_Low_min,Elkhorn Lunt Low Vol High Beta TacticalEtf_Low_volatility,Elkhorn Lunt Low Vol High Beta TacticalEtf_Low_change,Elkhorn Lunt Low Vol High Beta TacticalEtf_Close_average,Elkhorn Lunt Low Vol High Beta TacticalEtf_Close_max,Elkhorn Lunt Low Vol High Beta TacticalEtf_Close_min,Elkhorn Lunt Low Vol High Beta TacticalEtf_Close_volatility,Elkhorn Lunt Low Vol High Beta TacticalEtf_Close_change
2018-01-14,33.73,33.73,33.73,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2018-01-21,33.96,33.96,33.96,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-01-28,33.4,33.4,33.4,0.0,0.0,33.48,33.48,33.48,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-04,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,29.71,29.71,29.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-02-11,32.38,32.38,32.38,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-02-18,32.48,32.48,32.48,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-25,31.77,31.77,31.77,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.42,31.42,31.42,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-03-04,33.58,33.58,33.58,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-03-11,33.38,33.38,33.38,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-03-18,31.96,31.96,31.96,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-03-25,31.37,31.37,31.37,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-04-01,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-04-08,31.15,31.15,31.15,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-04-15,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-04-22,31.16,31.16,31.16,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-04-29,30.66,30.66,30.66,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.66,30.66,30.66,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2018-05-06,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-05-13,31.14,31.14,31.14,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.89,30.89,30.89,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-05-20,31.14,31.14,31.14,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-05-27,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-06-03,31.35,31.35,31.35,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.66,31.66,31.66,0.0,0.0
