,Beta / Alpha,Lasso Profit,Control Profit
0,0.1_alpha12_beta,252.8900000000001,260.5899999999999
1,0.1_alpha20_beta,175.1999999999989,260.5899999999999
2,0.1_alpha4_beta,171.51999999999975,260.5899999999999
3,0.1_alpha6_beta,172.2200000000007,260.5899999999999
4,0.1_alpha8_beta,130.68000000000075,260.5899999999999
