,Beta / Alpha,Lasso Profit,Control Profit
0,0.1_alpha20_beta,-74.46000000000004,153.5500000000004
1,0.1_alpha4_beta,-15.570000000000277,153.5500000000004
2,0.1_alpha6_beta,-80.26000000000033,153.5500000000004
3,0.1_alpha8_beta,-123.22000000000025,153.5500000000004
4,0.2_alpha12_beta,-84.96000000000026,153.5500000000004
