,Beta / Alpha,Lasso Profit,Control Profit
0,0.1_alpha12_beta,751.0899999999995,-52.41999999999996
1,0.1_alpha20_beta,381.5699999999995,-52.41999999999996
2,0.1_alpha4_beta,447.5400000000004,-52.41999999999996
3,0.1_alpha8_beta,490.5799999999995,-52.41999999999996
4,0.2_alpha6_beta,187.0600000000004,-52.41999999999996
