,Beta / Alpha,Lasso Profit,Control Profit
0,0.05_alpha20_beta,-10.67999999999995,4.919999999999959
1,0.05_alpha4_beta,-95.18999999999937,4.919999999999959
2,0.05_alpha8_beta,-279.82000000000005,4.919999999999959
3,0.15_alpha12_beta,-132.7299999999998,4.919999999999959
4,0.35_alpha6_beta,-144.21999999999923,4.919999999999959
