Date,Direxion Auspice Broad Commodity StrategyEtf_Open_average,Direxion Auspice Broad Commodity StrategyEtf_Open_max,Direxion Auspice Broad Commodity StrategyEtf_Open_min,Direxion Auspice Broad Commodity StrategyEtf_Open_volatility,Direxion Auspice Broad Commodity StrategyEtf_Open_change,Direxion Auspice Broad Commodity StrategyEtf_High_average,Direxion Auspice Broad Commodity StrategyEtf_High_max,Direxion Auspice Broad Commodity StrategyEtf_High_min,Direxion Auspice Broad Commodity StrategyEtf_High_volatility,Direxion Auspice Broad Commodity StrategyEtf_High_change,Direxion Auspice Broad Commodity StrategyEtf_Low_average,Direxion Auspice Broad Commodity StrategyEtf_Low_max,Direxion Auspice Broad Commodity StrategyEtf_Low_min,Direxion Auspice Broad Commodity StrategyEtf_Low_volatility,Direxion Auspice Broad Commodity StrategyEtf_Low_change,Direxion Auspice Broad Commodity StrategyEtf_Close_average,Direxion Auspice Broad Commodity StrategyEtf_Close_max,Direxion Auspice Broad Commodity StrategyEtf_Close_min,Direxion Auspice Broad Commodity StrategyEtf_Close_volatility,Direxion Auspice Broad Commodity StrategyEtf_Close_change
2018-01-14,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-01-21,25.07,25.07,25.07,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2018-01-28,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-02-04,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2018-02-11,24.15,24.15,24.15,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.22,24.22,24.22,0.0,0.0
2018-02-18,24.54,24.54,24.54,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-02-25,24.24,24.24,24.24,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2018-03-04,24.32,24.32,24.32,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.4,24.4,24.4,0.0,0.0
2018-03-11,24.26,24.26,24.26,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-03-18,24.24,24.24,24.24,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-03-25,24.12,24.12,24.12,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-04-01,24.43,24.43,24.43,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-04-08,24.75,24.75,24.75,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2018-04-15,24.72,24.72,24.72,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-04-22,24.99,24.99,24.99,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-04-29,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-05-06,25.3,25.3,25.3,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-05-13,25.63,25.63,25.63,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.63,25.63,25.63,0.0,0.0,25.65,25.65,25.65,0.0,0.0
