Date,PowerShares Dynamic Building & ConstructionEtf_Open_average,PowerShares Dynamic Building & ConstructionEtf_Open_max,PowerShares Dynamic Building & ConstructionEtf_Open_min,PowerShares Dynamic Building & ConstructionEtf_Open_volatility,PowerShares Dynamic Building & ConstructionEtf_Open_change,PowerShares Dynamic Building & ConstructionEtf_High_average,PowerShares Dynamic Building & ConstructionEtf_High_max,PowerShares Dynamic Building & ConstructionEtf_High_min,PowerShares Dynamic Building & ConstructionEtf_High_volatility,PowerShares Dynamic Building & ConstructionEtf_High_change,PowerShares Dynamic Building & ConstructionEtf_Low_average,PowerShares Dynamic Building & ConstructionEtf_Low_max,PowerShares Dynamic Building & ConstructionEtf_Low_min,PowerShares Dynamic Building & ConstructionEtf_Low_volatility,PowerShares Dynamic Building & ConstructionEtf_Low_change,PowerShares Dynamic Building & ConstructionEtf_Close_average,PowerShares Dynamic Building & ConstructionEtf_Close_max,PowerShares Dynamic Building & ConstructionEtf_Close_min,PowerShares Dynamic Building & ConstructionEtf_Close_volatility,PowerShares Dynamic Building & ConstructionEtf_Close_change
2018-01-14,35.51,35.51,35.51,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-01-21,35.78,35.78,35.78,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-01-28,34.22,34.22,34.22,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-02-04,31.83,31.83,31.83,0.0,0.0,31.9,31.9,31.9,0.0,0.0,30.85,30.85,30.85,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-02-11,32.67,32.67,32.67,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-02-18,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-02-25,30.15,30.15,30.15,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-03-04,31.27,31.27,31.27,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-03-11,31.21,31.21,31.21,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-03-18,30.74,30.74,30.74,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0
