Date,iShares US FinancialsEtf_Open_average,iShares US FinancialsEtf_Open_max,iShares US FinancialsEtf_Open_min,iShares US FinancialsEtf_Open_volatility,iShares US FinancialsEtf_Open_change,iShares US FinancialsEtf_High_average,iShares US FinancialsEtf_High_max,iShares US FinancialsEtf_High_min,iShares US FinancialsEtf_High_volatility,iShares US FinancialsEtf_High_change,iShares US FinancialsEtf_Low_average,iShares US FinancialsEtf_Low_max,iShares US FinancialsEtf_Low_min,iShares US FinancialsEtf_Low_volatility,iShares US FinancialsEtf_Low_change,iShares US FinancialsEtf_Close_average,iShares US FinancialsEtf_Close_max,iShares US FinancialsEtf_Close_min,iShares US FinancialsEtf_Close_volatility,iShares US FinancialsEtf_Close_change
2018-01-14,123.45,123.45,123.45,0.0,0.0,123.95,123.95,123.95,0.0,0.0,123.27,123.27,123.27,0.0,0.0,123.94,123.94,123.94,0.0,0.0
2018-01-21,125.88,125.88,125.88,0.0,0.0,126.34,126.34,126.34,0.0,0.0,125.4,125.4,125.4,0.0,0.0,126.31,126.31,126.31,0.0,0.0
2018-01-28,124.83,124.83,124.83,0.0,0.0,125.15,125.15,125.15,0.0,0.0,122.89,122.89,122.89,0.0,0.0,122.99,122.99,122.99,0.0,0.0
2018-02-04,116.0,116.0,116.0,0.0,0.0,117.52,117.52,117.52,0.0,0.0,112.96,112.96,112.96,0.0,0.0,116.69,116.69,116.69,0.0,0.0
2018-02-11,121.28,121.28,121.28,0.0,0.0,122.54,122.54,122.54,0.0,0.0,121.11,121.11,121.11,0.0,0.0,121.81,121.81,121.81,0.0,0.0
2018-02-18,120.73,120.73,120.73,0.0,0.0,122.02,122.02,122.02,0.0,0.0,120.63,120.63,120.63,0.0,0.0,122.02,122.02,122.02,0.0,0.0
2018-02-25,118.2,118.2,118.2,0.0,0.0,119.69,119.69,119.69,0.0,0.0,117.4,117.4,117.4,0.0,0.0,119.48,119.48,119.48,0.0,0.0
2018-03-04,122.95,122.95,122.95,0.0,0.0,124.56,124.56,124.56,0.0,0.0,122.64,122.64,122.64,0.0,0.0,124.5,124.5,124.5,0.0,0.0
2018-03-11,122.4,122.4,122.4,0.0,0.0,123.34,123.34,123.34,0.0,0.0,122.4,122.4,122.4,0.0,0.0,122.68,122.68,122.68,0.0,0.0
2018-03-18,117.73,117.73,117.73,0.0,0.0,118.22,118.22,118.22,0.0,0.0,114.35,114.35,114.35,0.0,0.0,114.54,114.54,114.54,0.0,0.0
2018-03-25,117.14,117.14,117.14,0.0,0.0,118.43,118.43,118.43,0.0,0.0,116.57,116.57,116.57,0.0,0.0,117.81,117.81,117.81,0.0,0.0
2018-04-01,117.54,117.54,117.54,0.0,0.0,118.3,118.3,118.3,0.0,0.0,115.34,115.34,115.34,0.0,0.0,116.14,116.14,116.14,0.0,0.0
2018-04-08,119.46,119.46,119.46,0.0,0.0,119.46,119.46,119.46,0.0,0.0,116.5,116.5,116.5,0.0,0.0,117.06,117.06,117.06,0.0,0.0
2018-04-15,118.75,118.75,118.75,0.0,0.0,119.03,119.03,119.03,0.0,0.0,117.94,117.94,117.94,0.0,0.0,118.4,118.4,118.4,0.0,0.0
2018-04-22,117.81,117.81,117.81,0.0,0.0,118.77,118.77,118.77,0.0,0.0,117.81,117.81,117.81,0.0,0.0,118.51,118.51,118.51,0.0,0.0
2018-04-29,115.91,115.91,115.91,0.0,0.0,118.35,118.35,118.35,0.0,0.0,115.66,115.66,115.66,0.0,0.0,117.87,117.87,117.87,0.0,0.0
2018-05-06,121.59,121.59,121.59,0.0,0.0,121.94,121.94,121.94,0.0,0.0,121.15,121.15,121.15,0.0,0.0,121.34,121.34,121.34,0.0,0.0
2018-05-13,120.25,120.25,120.25,0.0,0.0,120.81,120.81,120.81,0.0,0.0,119.64,119.64,119.64,0.0,0.0,119.76,119.76,119.76,0.0,0.0
2018-05-20,120.1,120.1,120.1,0.0,0.0,120.28,120.28,120.28,0.0,0.0,119.61,119.61,119.61,0.0,0.0,120.05,120.05,120.05,0.0,0.0
2018-05-27,119.47,119.47,119.47,0.0,0.0,119.78,119.78,119.78,0.0,0.0,119.17,119.17,119.17,0.0,0.0,119.4,119.4,119.4,0.0,0.0
2018-06-03,121.81,121.81,121.81,0.0,0.0,122.02,122.02,122.02,0.0,0.0,121.16,121.16,121.16,0.0,0.0,121.99,121.99,121.99,0.0,0.0
2018-06-10,119.73,119.73,119.73,0.0,0.0,120.52,120.52,120.52,0.0,0.0,119.17,119.17,119.17,0.0,0.0,120.18,120.18,120.18,0.0,0.0
2018-06-17,120.4,120.4,120.4,0.0,0.0,120.47,120.47,120.47,0.0,0.0,119.49,119.49,119.49,0.0,0.0,119.57,119.57,119.57,0.0,0.0
2018-06-24,118.16,118.16,118.16,0.0,0.0,118.83,118.83,118.83,0.0,0.0,117.18,117.18,117.18,0.0,0.0,117.19,117.19,117.19,0.0,0.0
2018-07-01,117.41,117.41,117.41,0.0,0.0,118.59,118.59,118.59,0.0,0.0,117.23,117.23,117.23,0.0,0.0,118.21,118.21,118.21,0.0,0.0
2018-07-08,119.36,119.36,119.36,0.0,0.0,119.6,119.6,119.6,0.0,0.0,118.52,118.52,118.52,0.0,0.0,119.17,119.17,119.17,0.0,0.0
2018-07-15,120.63,120.63,120.63,0.0,0.0,121.11,121.11,121.11,0.0,0.0,120.39,120.39,120.39,0.0,0.0,120.85,120.85,120.85,0.0,0.0
2018-07-22,122.68,122.68,122.68,0.0,0.0,122.93,122.93,122.93,0.0,0.0,121.64,121.64,121.64,0.0,0.0,122.16,122.16,122.16,0.0,0.0
2018-07-29,121.93,121.93,121.93,0.0,0.0,122.79,122.79,122.79,0.0,0.0,121.93,121.93,121.93,0.0,0.0,122.79,122.79,122.79,0.0,0.0
2018-08-05,122.22,122.22,122.22,0.0,0.0,122.42,122.42,122.42,0.0,0.0,121.78,121.78,121.78,0.0,0.0,122.06,122.06,122.06,0.0,0.0
2018-08-12,122.71,122.71,122.71,0.0,0.0,123.61,123.61,123.61,0.0,0.0,122.71,122.71,122.71,0.0,0.0,123.46,123.46,123.46,0.0,0.0
2018-08-19,123.47,123.47,123.47,0.0,0.0,123.88,123.88,123.88,0.0,0.0,123.43,123.43,123.43,0.0,0.0,123.73,123.73,123.73,0.0,0.0
2018-08-26,124.01,124.01,124.01,0.0,0.0,124.48,124.48,124.48,0.0,0.0,123.84,123.84,123.84,0.0,0.0,124.35,124.35,124.35,0.0,0.0
2018-09-02,124.11,124.11,124.11,0.0,0.0,124.34,124.34,124.34,0.0,0.0,123.48,123.48,123.48,0.0,0.0,123.83,123.83,123.83,0.0,0.0
2018-09-09,123.44,123.44,123.44,0.0,0.0,123.93,123.93,123.93,0.0,0.0,123.44,123.44,123.44,0.0,0.0,123.87,123.87,123.87,0.0,0.0
2018-09-16,126.43,126.43,126.43,0.0,0.0,126.43,126.43,126.43,0.0,0.0,125.64,125.64,125.64,0.0,0.0,125.72,125.72,125.72,0.0,0.0
2018-09-23,121.46,121.46,121.46,0.0,0.0,121.88,121.88,121.88,0.0,0.0,121.23,121.23,121.23,0.0,0.0,121.47,121.47,121.47,0.0,0.0
2018-09-30,121.99,121.99,121.99,0.0,0.0,122.63,122.63,122.63,0.0,0.0,121.25,121.25,121.25,0.0,0.0,121.53,121.53,121.53,0.0,0.0
2018-10-07,116.86,116.86,116.86,0.0,0.0,117.2,117.2,117.2,0.0,0.0,113.89,113.89,113.89,0.0,0.0,115.45,115.45,115.45,0.0,0.0
2018-10-14,116.03,116.03,116.03,0.0,0.0,117.45,117.45,117.45,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.56,116.56,116.56,0.0,0.0
