Date,iShares Core US Aggregate BondEtf_Open_average,iShares Core US Aggregate BondEtf_Open_max,iShares Core US Aggregate BondEtf_Open_min,iShares Core US Aggregate BondEtf_Open_volatility,iShares Core US Aggregate BondEtf_Open_change,iShares Core US Aggregate BondEtf_High_average,iShares Core US Aggregate BondEtf_High_max,iShares Core US Aggregate BondEtf_High_min,iShares Core US Aggregate BondEtf_High_volatility,iShares Core US Aggregate BondEtf_High_change,iShares Core US Aggregate BondEtf_Low_average,iShares Core US Aggregate BondEtf_Low_max,iShares Core US Aggregate BondEtf_Low_min,iShares Core US Aggregate BondEtf_Low_volatility,iShares Core US Aggregate BondEtf_Low_change,iShares Core US Aggregate BondEtf_Close_average,iShares Core US Aggregate BondEtf_Close_max,iShares Core US Aggregate BondEtf_Close_min,iShares Core US Aggregate BondEtf_Close_volatility,iShares Core US Aggregate BondEtf_Close_change
2018-01-14,108.4,108.4,108.4,0.0,0.0,108.4,108.4,108.4,0.0,0.0,108.14,108.14,108.14,0.0,0.0,108.18,108.18,108.18,0.0,0.0
2018-01-21,108.51,108.51,108.51,0.0,0.0,108.51,108.51,108.51,0.0,0.0,108.27,108.27,108.27,0.0,0.0,108.37,108.37,108.37,0.0,0.0
2018-01-28,107.25,107.25,107.25,0.0,0.0,107.34,107.34,107.34,0.0,0.0,107.1,107.1,107.1,0.0,0.0,107.2,107.2,107.2,0.0,0.0
2018-02-04,106.72,106.72,106.72,0.0,0.0,107.07,107.07,107.07,0.0,0.0,106.7,106.7,106.7,0.0,0.0,106.76,106.76,106.76,0.0,0.0
2018-02-11,106.85,106.85,106.85,0.0,0.0,106.88,106.88,106.88,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.8,106.8,106.8,0.0,0.0
2018-02-18,106.61,106.61,106.61,0.0,0.0,106.76,106.76,106.76,0.0,0.0,106.56,106.56,106.56,0.0,0.0,106.63,106.63,106.63,0.0,0.0
2018-02-25,106.47,106.47,106.47,0.0,0.0,106.55,106.55,106.55,0.0,0.0,106.36,106.36,106.36,0.0,0.0,106.46,106.46,106.46,0.0,0.0
2018-03-04,106.43,106.43,106.43,0.0,0.0,106.46,106.46,106.46,0.0,0.0,106.3,106.3,106.3,0.0,0.0,106.37,106.37,106.37,0.0,0.0
2018-03-11,106.62,106.62,106.62,0.0,0.0,106.72,106.72,106.72,0.0,0.0,106.6,106.6,106.6,0.0,0.0,106.7,106.7,106.7,0.0,0.0
2018-03-18,106.46,106.46,106.46,0.0,0.0,106.7,106.7,106.7,0.0,0.0,106.46,106.46,106.46,0.0,0.0,106.61,106.61,106.61,0.0,0.0
2018-03-25,106.95,106.95,106.95,0.0,0.0,107.26,107.26,107.26,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.25,107.25,107.25,0.0,0.0
2018-04-01,106.89,106.89,106.89,0.0,0.0,106.98,106.98,106.98,0.0,0.0,106.79,106.79,106.79,0.0,0.0,106.91,106.91,106.91,0.0,0.0
2018-04-08,106.69,106.69,106.69,0.0,0.0,106.84,106.84,106.84,0.0,0.0,106.67,106.67,106.67,0.0,0.0,106.8,106.8,106.8,0.0,0.0
2018-04-15,106.15,106.15,106.15,0.0,0.0,106.24,106.24,106.24,0.0,0.0,106.0,106.0,106.0,0.0,0.0,106.0,106.0,106.0,0.0,0.0
2018-04-22,105.96,105.96,105.96,0.0,0.0,106.04,106.04,106.04,0.0,0.0,105.94,105.94,105.94,0.0,0.0,105.98,105.98,105.98,0.0,0.0
2018-04-29,105.92,105.92,105.92,0.0,0.0,105.93,105.93,105.93,0.0,0.0,105.71,105.71,105.71,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2018-05-06,105.9,105.9,105.9,0.0,0.0,105.9,105.9,105.9,0.0,0.0,105.76,105.76,105.76,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2018-05-13,105.16,105.16,105.16,0.0,0.0,105.32,105.32,105.32,0.0,0.0,105.16,105.16,105.16,0.0,0.0,105.3,105.3,105.3,0.0,0.0
2018-05-20,106.1,106.1,106.1,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.03,106.03,106.03,0.0,0.0,106.12,106.12,106.12,0.0,0.0
2018-05-27,105.95,105.95,105.95,0.0,0.0,106.13,106.13,106.13,0.0,0.0,105.91,105.91,105.91,0.0,0.0,106.08,106.08,106.08,0.0,0.0
2018-06-03,105.75,105.75,105.75,0.0,0.0,105.9,105.9,105.9,0.0,0.0,105.74,105.74,105.74,0.0,0.0,105.75,105.75,105.75,0.0,0.0
2018-06-10,106.01,106.01,106.01,0.0,0.0,106.09,106.09,106.09,0.0,0.0,105.86,105.86,105.86,0.0,0.0,105.88,105.88,105.88,0.0,0.0
2018-06-17,105.82,105.82,105.82,0.0,0.0,105.94,105.94,105.94,0.0,0.0,105.8,105.8,105.8,0.0,0.0,105.94,105.94,105.94,0.0,0.0
2018-06-24,106.3,106.3,106.3,0.0,0.0,106.42,106.42,106.42,0.0,0.0,106.25,106.25,106.25,0.0,0.0,106.32,106.32,106.32,0.0,0.0
2018-07-01,106.41,106.41,106.41,0.0,0.0,106.45,106.45,106.45,0.0,0.0,106.32,106.32,106.32,0.0,0.0,106.42,106.42,106.42,0.0,0.0
2018-07-08,106.44,106.44,106.44,0.0,0.0,106.52,106.52,106.52,0.0,0.0,106.44,106.44,106.44,0.0,0.0,106.51,106.51,106.51,0.0,0.0
