Date,First Trust NASDAQ-100 Equal WeightedEtf_Open_average,First Trust NASDAQ-100 Equal WeightedEtf_Open_max,First Trust NASDAQ-100 Equal WeightedEtf_Open_min,First Trust NASDAQ-100 Equal WeightedEtf_Open_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Open_change,First Trust NASDAQ-100 Equal WeightedEtf_High_average,First Trust NASDAQ-100 Equal WeightedEtf_High_max,First Trust NASDAQ-100 Equal WeightedEtf_High_min,First Trust NASDAQ-100 Equal WeightedEtf_High_volatility,First Trust NASDAQ-100 Equal WeightedEtf_High_change,First Trust NASDAQ-100 Equal WeightedEtf_Low_average,First Trust NASDAQ-100 Equal WeightedEtf_Low_max,First Trust NASDAQ-100 Equal WeightedEtf_Low_min,First Trust NASDAQ-100 Equal WeightedEtf_Low_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Low_change,First Trust NASDAQ-100 Equal WeightedEtf_Close_average,First Trust NASDAQ-100 Equal WeightedEtf_Close_max,First Trust NASDAQ-100 Equal WeightedEtf_Close_min,First Trust NASDAQ-100 Equal WeightedEtf_Close_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Close_change
2018-01-14,61.71,61.71,61.71,0.0,0.0,61.77,61.77,61.77,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.77,61.77,61.77,0.0,0.0
2018-01-21,62.53,62.53,62.53,0.0,0.0,63.15,63.15,63.15,0.0,0.0,62.46,62.46,62.46,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2018-01-28,61.58,61.58,61.58,0.0,0.0,61.58,61.58,61.58,0.0,0.0,60.66,60.66,60.66,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2018-02-04,57.15,57.15,57.15,0.0,0.0,57.63,57.63,57.63,0.0,0.0,55.43,55.43,55.43,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-02-11,60.1,60.1,60.1,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.11,60.11,60.11,0.0,0.0
2018-02-18,60.2,60.2,60.2,0.0,0.0,60.91,60.91,60.91,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.91,60.91,60.91,0.0,0.0
2018-02-25,58.92,58.92,58.92,0.0,0.0,60.23,60.23,60.23,0.0,0.0,58.87,58.87,58.87,0.0,0.0,60.17,60.17,60.17,0.0,0.0
2018-03-04,62.25,62.25,62.25,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.24,62.24,62.24,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2018-03-11,62.43,62.43,62.43,0.0,0.0,62.59,62.59,62.59,0.0,0.0,62.29,62.29,62.29,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-03-18,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-03-25,58.5,58.5,58.5,0.0,0.0,59.33,59.33,59.33,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2018-04-01,58.41,58.41,58.41,0.0,0.0,58.69,58.69,58.69,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2018-04-08,59.54,59.54,59.54,0.0,0.0,59.54,59.54,59.54,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.83,58.83,58.83,0.0,0.0
2018-04-15,59.4,59.4,59.4,0.0,0.0,59.44,59.44,59.44,0.0,0.0,58.78,58.78,58.78,0.0,0.0,58.85,58.85,58.85,0.0,0.0
