Date,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Open_average,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Open_max,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Open_min,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Open_volatility,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Open_change,VelocityShares 3x Inverse Natural Gas linked to S&Etf_High_average,VelocityShares 3x Inverse Natural Gas linked to S&Etf_High_max,VelocityShares 3x Inverse Natural Gas linked to S&Etf_High_min,VelocityShares 3x Inverse Natural Gas linked to S&Etf_High_volatility,VelocityShares 3x Inverse Natural Gas linked to S&Etf_High_change,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Low_average,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Low_max,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Low_min,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Low_volatility,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Low_change,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Close_average,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Close_max,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Close_min,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Close_volatility,VelocityShares 3x Inverse Natural Gas linked to S&Etf_Close_change
2018-01-14,458.6,458.6,458.6,0.0,0.0,476.2,476.2,476.2,0.0,0.0,444.6,444.6,444.6,0.0,0.0,468.4,468.4,468.4,0.0,0.0
2018-01-21,371.4,371.4,371.4,0.0,0.0,375.0,375.0,375.0,0.0,0.0,360.4,360.4,360.4,0.0,0.0,369.2,369.2,369.2,0.0,0.0
2018-01-28,489.8,489.8,489.8,0.0,0.0,496.2,496.2,496.2,0.0,0.0,477.38,477.38,477.38,0.0,0.0,483.2,483.2,483.2,0.0,0.0
2018-02-04,612.2,612.2,612.2,0.0,0.0,645.8,645.8,645.8,0.0,0.0,608.8,608.8,608.8,0.0,0.0,622.8,622.8,622.8,0.0,0.0
2018-02-11,642.0,642.0,642.0,0.0,0.0,646.6,646.6,646.6,0.0,0.0,631.42,631.42,631.42,0.0,0.0,637.6,637.6,637.6,0.0,0.0
2018-02-18,605.2,605.2,605.2,0.0,0.0,618.0,618.0,618.0,0.0,0.0,589.0,589.0,589.0,0.0,0.0,591.4,591.4,591.4,0.0,0.0
2018-02-25,567.8,567.8,567.8,0.0,0.0,574.0,574.0,574.0,0.0,0.0,559.8,559.8,559.8,0.0,0.0,564.0,564.0,564.0,0.0,0.0
2018-03-04,547.8,547.8,547.8,0.0,0.0,551.8,551.8,551.8,0.0,0.0,540.47,540.47,540.47,0.0,0.0,549.8,549.8,549.8,0.0,0.0
2018-03-11,577.0,577.0,577.0,0.0,0.0,579.6,579.6,579.6,0.0,0.0,562.8,562.8,562.8,0.0,0.0,564.6,564.6,564.6,0.0,0.0
2018-03-18,628.6,628.6,628.6,0.0,0.0,629.2,629.2,629.2,0.0,0.0,609.42,609.42,609.42,0.0,0.0,626.6,626.6,626.6,0.0,0.0
2018-03-25,542.6,542.6,542.6,0.0,0.0,559.8,559.8,559.8,0.0,0.0,536.6,536.6,536.6,0.0,0.0,554.6,554.6,554.6,0.0,0.0
