Date,iShares Micro-CapEtf_Open_average,iShares Micro-CapEtf_Open_max,iShares Micro-CapEtf_Open_min,iShares Micro-CapEtf_Open_volatility,iShares Micro-CapEtf_Open_change,iShares Micro-CapEtf_High_average,iShares Micro-CapEtf_High_max,iShares Micro-CapEtf_High_min,iShares Micro-CapEtf_High_volatility,iShares Micro-CapEtf_High_change,iShares Micro-CapEtf_Low_average,iShares Micro-CapEtf_Low_max,iShares Micro-CapEtf_Low_min,iShares Micro-CapEtf_Low_volatility,iShares Micro-CapEtf_Low_change,iShares Micro-CapEtf_Close_average,iShares Micro-CapEtf_Close_max,iShares Micro-CapEtf_Close_min,iShares Micro-CapEtf_Close_volatility,iShares Micro-CapEtf_Close_change
2018-01-14,98.12,98.12,98.12,0.0,0.0,99.77,99.77,99.77,0.0,0.0,98.12,98.12,98.12,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2018-01-21,100.36,100.36,100.36,0.0,0.0,100.36,100.36,100.36,0.0,0.0,99.65,99.65,99.65,0.0,0.0,99.99,99.99,99.99,0.0,0.0
2018-01-28,97.11,97.11,97.11,0.0,0.0,97.25,97.25,97.25,0.0,0.0,95.86,95.86,95.86,0.0,0.0,95.98,95.98,95.98,0.0,0.0
2018-02-04,92.8,92.8,92.8,0.0,0.0,93.41,93.41,93.41,0.0,0.0,89.92,89.92,89.92,0.0,0.0,92.71,92.71,92.71,0.0,0.0
2018-02-11,95.78,95.78,95.78,0.0,0.0,96.84,96.84,96.84,0.0,0.0,95.78,95.78,95.78,0.0,0.0,96.32,96.32,96.32,0.0,0.0
2018-02-18,95.85,95.85,95.85,0.0,0.0,96.86,96.86,96.86,0.0,0.0,95.74,95.74,95.74,0.0,0.0,96.81,96.81,96.81,0.0,0.0
2018-02-25,94.01,94.01,94.01,0.0,0.0,96.75,96.75,96.75,0.0,0.0,94.01,94.01,94.01,0.0,0.0,96.75,96.75,96.75,0.0,0.0
2018-03-04,99.66,99.66,99.66,0.0,0.0,100.89,100.89,100.89,0.0,0.0,99.47,99.47,99.47,0.0,0.0,100.89,100.89,100.89,0.0,0.0
2018-03-11,99.39,99.39,99.39,0.0,0.0,100.37,100.37,100.37,0.0,0.0,99.39,99.39,99.39,0.0,0.0,99.82,99.82,99.82,0.0,0.0
2018-03-18,98.29,98.29,98.29,0.0,0.0,98.55,98.55,98.55,0.0,0.0,96.13,96.13,96.13,0.0,0.0,96.33,96.33,96.33,0.0,0.0
2018-03-25,95.73,95.73,95.73,0.0,0.0,96.94,96.94,96.94,0.0,0.0,95.39,95.39,95.39,0.0,0.0,96.05,96.05,96.05,0.0,0.0
2018-04-01,96.44,96.44,96.44,0.0,0.0,96.95,96.95,96.95,0.0,0.0,94.47,94.47,94.47,0.0,0.0,95.06,95.06,95.06,0.0,0.0
2018-04-08,98.66,98.66,98.66,0.0,0.0,98.66,98.66,98.66,0.0,0.0,97.39,97.39,97.39,0.0,0.0,97.52,97.52,97.52,0.0,0.0
2018-04-15,99.08,99.08,99.08,0.0,0.0,99.52,99.52,99.52,0.0,0.0,98.71,98.71,98.71,0.0,0.0,99.01,99.01,99.01,0.0,0.0
2018-04-22,98.48,98.48,98.48,0.0,0.0,98.51,98.51,98.51,0.0,0.0,97.87,97.87,97.87,0.0,0.0,98.23,98.23,98.23,0.0,0.0
2018-04-29,97.79,97.79,97.79,0.0,0.0,99.79,99.79,99.79,0.0,0.0,97.79,97.79,97.79,0.0,0.0,99.41,99.41,99.41,0.0,0.0
2018-05-06,100.95,100.95,100.95,0.0,0.0,101.6,101.6,101.6,0.0,0.0,100.84,100.84,100.84,0.0,0.0,101.41,101.41,101.41,0.0,0.0
2018-05-13,103.49,103.49,103.49,0.0,0.0,103.86,103.86,103.86,0.0,0.0,103.48,103.48,103.48,0.0,0.0,103.63,103.63,103.63,0.0,0.0
