Date,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Open_average,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Open_max,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Open_min,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Open_volatility,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Open_change,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_High_average,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_High_max,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_High_min,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_High_volatility,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_High_change,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Low_average,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Low_max,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Low_min,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Low_volatility,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Low_change,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Close_average,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Close_max,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Close_min,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Close_volatility,Direxion Daily 20+ Year Treasury Bear 1X SharesEtf_Close_change
2018-01-14,20.49,20.49,20.49,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2018-01-21,20.47,20.47,20.47,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.43,20.43,20.43,0.0,0.0
2018-01-28,21.0,21.0,21.0,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2018-02-04,21.23,21.23,21.23,0.0,0.0,21.34,21.34,21.34,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.34,21.34,21.34,0.0,0.0
2018-02-11,21.34,21.34,21.34,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.36,21.36,21.36,0.0,0.0
2018-02-18,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2018-02-25,21.26,21.26,21.26,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-03-04,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.21,21.21,21.21,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2018-03-11,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2018-03-18,20.91,20.91,20.91,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0
