Date,Fidelity MSCI Consumer StaplesEtf_Open_average,Fidelity MSCI Consumer StaplesEtf_Open_max,Fidelity MSCI Consumer StaplesEtf_Open_min,Fidelity MSCI Consumer StaplesEtf_Open_volatility,Fidelity MSCI Consumer StaplesEtf_Open_change,Fidelity MSCI Consumer StaplesEtf_High_average,Fidelity MSCI Consumer StaplesEtf_High_max,Fidelity MSCI Consumer StaplesEtf_High_min,Fidelity MSCI Consumer StaplesEtf_High_volatility,Fidelity MSCI Consumer StaplesEtf_High_change,Fidelity MSCI Consumer StaplesEtf_Low_average,Fidelity MSCI Consumer StaplesEtf_Low_max,Fidelity MSCI Consumer StaplesEtf_Low_min,Fidelity MSCI Consumer StaplesEtf_Low_volatility,Fidelity MSCI Consumer StaplesEtf_Low_change,Fidelity MSCI Consumer StaplesEtf_Close_average,Fidelity MSCI Consumer StaplesEtf_Close_max,Fidelity MSCI Consumer StaplesEtf_Close_min,Fidelity MSCI Consumer StaplesEtf_Close_volatility,Fidelity MSCI Consumer StaplesEtf_Close_change
2018-01-14,34.72,34.72,34.72,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-01-21,35.15,35.15,35.15,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-01-28,34.61,34.61,34.61,0.0,0.0,34.65,34.65,34.65,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-02-04,32.55,32.55,32.55,0.0,0.0,32.56,32.56,32.56,0.0,0.0,31.71,31.71,31.71,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-02-11,33.31,33.31,33.31,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-02-18,32.45,32.45,32.45,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-02-25,31.96,31.96,31.96,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-03-04,32.85,32.85,32.85,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-03-11,32.12,32.12,32.12,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-03-18,31.17,31.17,31.17,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-03-25,31.69,31.69,31.69,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-04-01,31.8,31.8,31.8,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-04-08,31.74,31.74,31.74,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-04-15,30.98,30.98,30.98,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-04-22,30.48,30.48,30.48,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2018-04-29,29.62,29.62,29.62,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.6,29.6,29.6,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-05-06,30.04,30.04,30.04,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-05-13,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.86,29.86,29.86,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-05-20,30.15,30.15,30.15,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-05-27,30.11,30.11,30.11,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-06-03,30.43,30.43,30.43,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-06-10,30.81,30.81,30.81,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-06-17,31.1,31.1,31.1,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-06-24,31.25,31.25,31.25,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-07-01,31.59,31.59,31.59,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-07-08,31.76,31.76,31.76,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-07-15,31.73,31.73,31.73,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-07-22,32.22,32.22,32.22,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2018-07-29,32.43,32.43,32.43,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-08-05,32.24,32.24,32.24,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-08-12,32.93,32.93,32.93,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-08-19,32.7,32.7,32.7,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-08-26,32.49,32.49,32.49,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-09-02,32.81,32.81,32.81,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2018-09-09,33.14,33.14,33.14,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-09-16,33.21,33.21,33.21,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-09-23,32.48,32.48,32.48,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-09-30,32.22,32.22,32.22,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-10-07,31.59,31.59,31.59,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-10-14,32.65,32.65,32.65,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.65,32.65,32.65,0.0,0.0,33.0,33.0,33.0,0.0,0.0
