Date,AVDLStock_Open_average,AVDLStock_Open_max,AVDLStock_Open_min,AVDLStock_Open_volatility,AVDLStock_Open_change,AVDLStock_High_average,AVDLStock_High_max,AVDLStock_High_min,AVDLStock_High_volatility,AVDLStock_High_change,AVDLStock_Low_average,AVDLStock_Low_max,AVDLStock_Low_min,AVDLStock_Low_volatility,AVDLStock_Low_change,AVDLStock_Close_average,AVDLStock_Close_max,AVDLStock_Close_min,AVDLStock_Close_volatility,AVDLStock_Close_change,AVDLStock_Volume_average,AVDLStock_Volume_max,AVDLStock_Volume_min,AVDLStock_Volume_volatility,AVDLStock_Volume_change
2018-01-14,10.555,10.73,10.18,0.5500000000000007,0.15000000000000036,10.96,11.14,10.78,0.3600000000000012,-0.11000000000000121,10.2575,10.51,9.92,0.5899999999999999,0.0600000000000005,10.62,10.99,10.19,0.8000000000000007,0.3800000000000008,321749,551619,120526,431093,-431093
2018-01-21,11.462,11.76,11.05,0.7099999999999991,0.7099999999999991,11.696,11.93,11.29,0.6400000000000006,0.47000000000000064,11.266,11.5,10.96,0.5399999999999991,0.3699999999999992,11.544,11.7,11.22,0.47999999999999865,0.3699999999999992,248733,376810,137929,238881,-156345
2018-01-28,10.975999999999999,11.59,10.15,1.4399999999999995,-1.4399999999999995,11.088,11.8,10.15,1.6500000000000004,-1.6500000000000004,10.604,11.45,9.9,1.549999999999999,-1.549999999999999,10.664,11.62,9.92,1.6999999999999993,-1.6999999999999993,184923,278930,142605,136325,12450
2018-02-04,9.628,9.87,9.45,0.41999999999999993,-0.16000000000000014,9.783999999999999,9.95,9.6,0.34999999999999964,-0.34999999999999964,9.33,9.52,9.01,0.5099999999999998,-0.5099999999999998,9.51,9.78,9.23,0.5499999999999989,-0.3699999999999992,319519,496292,190862,305430,-197221
2018-02-11,8.46,9.41,7.95,1.46,-1.4100000000000001,8.684000000000001,9.98,7.98,2.0,-1.8399999999999999,8.092,8.89,7.59,1.3000000000000007,-1.3000000000000007,8.274000000000001,8.99,7.69,1.2999999999999998,-1.2400000000000002,1224941,4342284,174840,4167444,389009
2018-02-18,7.815,7.86,7.78,0.08000000000000007,0.07000000000000028,8.015,8.06,7.96,0.10000000000000053,0.07999999999999918,7.734999999999999,7.79,7.67,0.1200000000000001,0.1200000000000001,7.8225,7.93,7.71,0.21999999999999975,0.21999999999999975,275003,432648,189759,242889,-210088
2018-02-25,8.286,8.42,8.01,0.41000000000000014,0.3000000000000007,8.482,8.55,8.42,0.13000000000000078,0.009999999999999787,8.078,8.23,7.86,0.3700000000000001,0.3700000000000001,8.328,8.4,8.29,0.11000000000000121,0.0600000000000005,932547,1473663,414153,1059510,-748089
2018-03-04,7.93,8.47,7.02,1.450000000000001,-1.450000000000001,8.118,8.47,7.47,1.0000000000000009,-1.0000000000000009,7.528,7.93,6.92,1.0099999999999998,-0.9199999999999999,7.774,8.19,7.29,0.8999999999999995,-0.6799999999999997,742719,1770471,238415,1532056,565263
2018-03-11,7.21,7.45,6.87,0.5800000000000001,-0.47999999999999954,7.32,7.5,7.18,0.3200000000000003,-0.3200000000000003,6.898,7.06,6.76,0.2999999999999998,-0.2999999999999998,7.158,7.45,6.9,0.5499999999999998,-0.33000000000000007,544552,698881,360623,338258,-201185
2018-03-18,7.0440000000000005,7.19,6.95,0.2400000000000002,0.07000000000000028,7.192,7.3,7.06,0.2400000000000002,0.040000000000000036,6.866,6.96,6.76,0.20000000000000018,-0.05999999999999961,7.0120000000000005,7.15,6.91,0.2400000000000002,-0.08000000000000007,379675,497861,276246,221615,-221615
