Date,iShares MSCI Germany Small-CapEtf_Open_average,iShares MSCI Germany Small-CapEtf_Open_max,iShares MSCI Germany Small-CapEtf_Open_min,iShares MSCI Germany Small-CapEtf_Open_volatility,iShares MSCI Germany Small-CapEtf_Open_change,iShares MSCI Germany Small-CapEtf_High_average,iShares MSCI Germany Small-CapEtf_High_max,iShares MSCI Germany Small-CapEtf_High_min,iShares MSCI Germany Small-CapEtf_High_volatility,iShares MSCI Germany Small-CapEtf_High_change,iShares MSCI Germany Small-CapEtf_Low_average,iShares MSCI Germany Small-CapEtf_Low_max,iShares MSCI Germany Small-CapEtf_Low_min,iShares MSCI Germany Small-CapEtf_Low_volatility,iShares MSCI Germany Small-CapEtf_Low_change,iShares MSCI Germany Small-CapEtf_Close_average,iShares MSCI Germany Small-CapEtf_Close_max,iShares MSCI Germany Small-CapEtf_Close_min,iShares MSCI Germany Small-CapEtf_Close_volatility,iShares MSCI Germany Small-CapEtf_Close_change
2018-01-14,69.27,69.27,69.27,0.0,0.0,69.41,69.41,69.41,0.0,0.0,68.94,68.94,68.94,0.0,0.0,69.27,69.27,69.27,0.0,0.0
2018-01-21,69.92,69.92,69.92,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.81,69.81,69.81,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-01-28,67.92,67.92,67.92,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.17,67.17,67.17,0.0,0.0
2018-02-04,63.03,63.03,63.03,0.0,0.0,63.65,63.65,63.65,0.0,0.0,61.94,61.94,61.94,0.0,0.0,63.61,63.61,63.61,0.0,0.0
2018-02-11,66.49,66.49,66.49,0.0,0.0,67.1,67.1,67.1,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-02-18,65.83,65.83,65.83,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.67,65.67,65.67,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-02-25,63.22,63.22,63.22,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.2,63.2,63.2,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-03-04,65.96,65.96,65.96,0.0,0.0,66.36,66.36,66.36,0.0,0.0,65.93,65.93,65.93,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-03-11,65.63,65.63,65.63,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2018-03-18,64.73,64.73,64.73,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.04,64.04,64.04,0.0,0.0,64.11,64.11,64.11,0.0,0.0
2018-03-25,64.47,64.47,64.47,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.49,64.49,64.49,0.0,0.0
2018-04-01,64.22,64.22,64.22,0.0,0.0,64.31,64.31,64.31,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.89,63.89,63.89,0.0,0.0
2018-04-08,66.44,66.44,66.44,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-04-15,66.9,66.9,66.9,0.0,0.0,66.9,66.9,66.9,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2018-04-22,65.56,65.56,65.56,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-04-29,65.29,65.29,65.29,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.29,65.29,65.29,0.0,0.0,65.61,65.61,65.61,0.0,0.0
2018-05-06,66.66,66.66,66.66,0.0,0.0,66.71,66.71,66.71,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.55,66.55,66.55,0.0,0.0
2018-05-13,65.76,65.76,65.76,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2018-05-20,64.9,64.9,64.9,0.0,0.0,65.23,65.23,65.23,0.0,0.0,64.72,64.72,64.72,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-05-27,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-06-03,65.18,65.18,65.18,0.0,0.0,65.27,65.27,65.27,0.0,0.0,64.93,64.93,64.93,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-06-10,64.92,64.92,64.92,0.0,0.0,64.92,64.92,64.92,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-06-17,61.89,61.89,61.89,0.0,0.0,61.98,61.98,61.98,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.96,61.96,61.96,0.0,0.0
2018-06-24,60.1,60.1,60.1,0.0,0.0,60.44,60.44,60.44,0.0,0.0,60.01,60.01,60.01,0.0,0.0,60.25,60.25,60.25,0.0,0.0
2018-07-01,61.15,61.15,61.15,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2018-07-08,61.68,61.68,61.68,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.77,61.77,61.77,0.0,0.0
