Date,iShares Interest Rate Hedged High Yield BondEtf_Open_average,iShares Interest Rate Hedged High Yield BondEtf_Open_max,iShares Interest Rate Hedged High Yield BondEtf_Open_min,iShares Interest Rate Hedged High Yield BondEtf_Open_volatility,iShares Interest Rate Hedged High Yield BondEtf_Open_change,iShares Interest Rate Hedged High Yield BondEtf_High_average,iShares Interest Rate Hedged High Yield BondEtf_High_max,iShares Interest Rate Hedged High Yield BondEtf_High_min,iShares Interest Rate Hedged High Yield BondEtf_High_volatility,iShares Interest Rate Hedged High Yield BondEtf_High_change,iShares Interest Rate Hedged High Yield BondEtf_Low_average,iShares Interest Rate Hedged High Yield BondEtf_Low_max,iShares Interest Rate Hedged High Yield BondEtf_Low_min,iShares Interest Rate Hedged High Yield BondEtf_Low_volatility,iShares Interest Rate Hedged High Yield BondEtf_Low_change,iShares Interest Rate Hedged High Yield BondEtf_Close_average,iShares Interest Rate Hedged High Yield BondEtf_Close_max,iShares Interest Rate Hedged High Yield BondEtf_Close_min,iShares Interest Rate Hedged High Yield BondEtf_Close_volatility,iShares Interest Rate Hedged High Yield BondEtf_Close_change
2018-01-14,91.82,91.82,91.82,0.0,0.0,91.94,91.94,91.94,0.0,0.0,91.79,91.79,91.79,0.0,0.0,91.94,91.94,91.94,0.0,0.0
2018-01-21,92.27,92.27,92.27,0.0,0.0,92.42,92.42,92.42,0.0,0.0,92.27,92.27,92.27,0.0,0.0,92.37,92.37,92.37,0.0,0.0
2018-01-28,91.51,91.51,91.51,0.0,0.0,91.61,91.61,91.61,0.0,0.0,91.11,91.11,91.11,0.0,0.0,91.12,91.12,91.12,0.0,0.0
2018-02-04,90.23,90.23,90.23,0.0,0.0,90.42,90.42,90.42,0.0,0.0,88.78,88.78,88.78,0.0,0.0,89.91,89.91,89.91,0.0,0.0
2018-02-11,91.26,91.26,91.26,0.0,0.0,91.6,91.6,91.6,0.0,0.0,91.24,91.24,91.24,0.0,0.0,91.6,91.6,91.6,0.0,0.0
2018-02-18,91.13,91.13,91.13,0.0,0.0,91.54,91.54,91.54,0.0,0.0,90.95,90.95,90.95,0.0,0.0,91.49,91.49,91.49,0.0,0.0
2018-02-25,90.27,90.27,90.27,0.0,0.0,90.91,90.91,90.91,0.0,0.0,90.27,90.27,90.27,0.0,0.0,90.91,90.91,90.91,0.0,0.0
2018-03-04,91.26,91.26,91.26,0.0,0.0,91.46,91.46,91.46,0.0,0.0,91.25,91.25,91.25,0.0,0.0,91.44,91.44,91.44,0.0,0.0
2018-03-11,90.91,90.91,90.91,0.0,0.0,91.14,91.14,91.14,0.0,0.0,90.91,90.91,90.91,0.0,0.0,91.14,91.14,91.14,0.0,0.0
2018-03-18,90.52,90.52,90.52,0.0,0.0,90.67,90.67,90.67,0.0,0.0,90.04,90.04,90.04,0.0,0.0,90.08,90.08,90.08,0.0,0.0
2018-03-25,90.48,90.48,90.48,0.0,0.0,90.68,90.68,90.68,0.0,0.0,90.44,90.44,90.44,0.0,0.0,90.57,90.57,90.57,0.0,0.0
2018-04-01,90.46,90.46,90.46,0.0,0.0,90.58,90.58,90.58,0.0,0.0,90.25,90.25,90.25,0.0,0.0,90.35,90.35,90.35,0.0,0.0
2018-04-08,91.74,91.74,91.74,0.0,0.0,91.76,91.76,91.76,0.0,0.0,91.6,91.6,91.6,0.0,0.0,91.62,91.62,91.62,0.0,0.0
2018-04-15,91.73,91.73,91.73,0.0,0.0,91.73,91.73,91.73,0.0,0.0,91.56,91.56,91.56,0.0,0.0,91.58,91.58,91.58,0.0,0.0
2018-04-22,91.67,91.67,91.67,0.0,0.0,91.68,91.68,91.68,0.0,0.0,91.34,91.34,91.34,0.0,0.0,91.49,91.49,91.49,0.0,0.0
2018-04-29,90.75,90.75,90.75,0.0,0.0,91.09,91.09,91.09,0.0,0.0,90.75,90.75,90.75,0.0,0.0,91.06,91.06,91.06,0.0,0.0
2018-05-06,91.52,91.52,91.52,0.0,0.0,91.63,91.63,91.63,0.0,0.0,91.44,91.44,91.44,0.0,0.0,91.51,91.51,91.51,0.0,0.0
2018-05-13,91.3,91.3,91.3,0.0,0.0,91.36,91.36,91.36,0.0,0.0,91.29,91.29,91.29,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2018-05-20,91.15,91.15,91.15,0.0,0.0,91.17,91.17,91.17,0.0,0.0,91.0,91.0,91.0,0.0,0.0,91.07,91.07,91.07,0.0,0.0
2018-05-27,91.16,91.16,91.16,0.0,0.0,91.16,91.16,91.16,0.0,0.0,91.05,91.05,91.05,0.0,0.0,91.13,91.13,91.13,0.0,0.0
2018-06-03,91.16,91.16,91.16,0.0,0.0,91.32,91.32,91.32,0.0,0.0,91.16,91.16,91.16,0.0,0.0,91.29,91.29,91.29,0.0,0.0
2018-06-10,91.83,91.83,91.83,0.0,0.0,91.89,91.89,91.89,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.88,91.88,91.88,0.0,0.0
2018-06-17,91.75,91.75,91.75,0.0,0.0,91.76,91.76,91.76,0.0,0.0,91.55,91.55,91.55,0.0,0.0,91.55,91.55,91.55,0.0,0.0
2018-06-24,90.89,90.89,90.89,0.0,0.0,90.9,90.9,90.9,0.0,0.0,90.55,90.55,90.55,0.0,0.0,90.55,90.55,90.55,0.0,0.0
2018-07-01,90.63,90.63,90.63,0.0,0.0,90.79,90.79,90.79,0.0,0.0,90.58,90.58,90.58,0.0,0.0,90.75,90.75,90.75,0.0,0.0
2018-07-08,91.15,91.15,91.15,0.0,0.0,91.18,91.18,91.18,0.0,0.0,91.08,91.08,91.08,0.0,0.0,91.11,91.11,91.11,0.0,0.0
