Date,WisdomTree High DividendEtf_Open_average,WisdomTree High DividendEtf_Open_max,WisdomTree High DividendEtf_Open_min,WisdomTree High DividendEtf_Open_volatility,WisdomTree High DividendEtf_Open_change,WisdomTree High DividendEtf_High_average,WisdomTree High DividendEtf_High_max,WisdomTree High DividendEtf_High_min,WisdomTree High DividendEtf_High_volatility,WisdomTree High DividendEtf_High_change,WisdomTree High DividendEtf_Low_average,WisdomTree High DividendEtf_Low_max,WisdomTree High DividendEtf_Low_min,WisdomTree High DividendEtf_Low_volatility,WisdomTree High DividendEtf_Low_change,WisdomTree High DividendEtf_Close_average,WisdomTree High DividendEtf_Close_max,WisdomTree High DividendEtf_Close_min,WisdomTree High DividendEtf_Close_volatility,WisdomTree High DividendEtf_Close_change
2018-01-14,73.79,73.79,73.79,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.58,73.58,73.58,0.0,0.0,73.91,73.91,73.91,0.0,0.0
2018-01-21,74.68,74.68,74.68,0.0,0.0,75.26,75.26,75.26,0.0,0.0,74.68,74.68,74.68,0.0,0.0,75.26,75.26,75.26,0.0,0.0
2018-01-28,73.12,73.12,73.12,0.0,0.0,73.12,73.12,73.12,0.0,0.0,72.0,72.0,72.0,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2018-02-04,68.22,68.22,68.22,0.0,0.0,68.91,68.91,68.91,0.0,0.0,66.73,66.73,66.73,0.0,0.0,68.55,68.55,68.55,0.0,0.0
2018-02-11,70.33,70.33,70.33,0.0,0.0,71.18,71.18,71.18,0.0,0.0,70.33,70.33,70.33,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-02-18,69.52,69.52,69.52,0.0,0.0,70.27,70.27,70.27,0.0,0.0,69.44,69.44,69.44,0.0,0.0,70.27,70.27,70.27,0.0,0.0
2018-02-25,68.37,68.37,68.37,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.23,68.23,68.23,0.0,0.0,69.11,69.11,69.11,0.0,0.0
2018-03-04,70.15,70.15,70.15,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.62,70.62,70.62,0.0,0.0
2018-03-11,70.01,70.01,70.01,0.0,0.0,70.38,70.38,70.38,0.0,0.0,70.01,70.01,70.01,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2018-03-18,67.6,67.6,67.6,0.0,0.0,67.68,67.68,67.68,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-03-25,67.89,67.89,67.89,0.0,0.0,68.26,68.26,68.26,0.0,0.0,67.81,67.81,67.81,0.0,0.0,68.12,68.12,68.12,0.0,0.0
2018-04-01,68.74,68.74,68.74,0.0,0.0,68.76,68.76,68.76,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.69,67.69,67.69,0.0,0.0
