Date,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Open_average,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Open_max,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Open_min,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Open_volatility,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Open_change,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_High_average,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_High_max,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_High_min,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_High_volatility,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_High_change,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Low_average,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Low_max,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Low_min,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Low_volatility,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Low_change,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Close_average,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Close_max,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Close_min,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Close_volatility,Swedish Export Credit ELEMENTS Linked to MLCX GraiEtf_Close_change
2018-01-14,3.37,3.37,3.37,0.0,0.0,3.37,3.37,3.37,0.0,0.0,3.37,3.37,3.37,0.0,0.0,3.37,3.37,3.37,0.0,0.0
2018-01-21,3.43,3.43,3.43,0.0,0.0,3.43,3.43,3.43,0.0,0.0,3.43,3.43,3.43,0.0,0.0,3.43,3.43,3.43,0.0,0.0
2018-01-28,3.47,3.47,3.47,0.0,0.0,3.47,3.47,3.47,0.0,0.0,3.47,3.47,3.47,0.0,0.0,3.47,3.47,3.47,0.0,0.0
2018-02-04,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0,3.5,3.5,3.5,0.0,0.0
2018-02-11,3.58,3.58,3.58,0.0,0.0,3.59,3.59,3.59,0.0,0.0,3.58,3.58,3.58,0.0,0.0,3.59,3.59,3.59,0.0,0.0
2018-02-18,3.59,3.59,3.59,0.0,0.0,3.59,3.59,3.59,0.0,0.0,3.58,3.58,3.58,0.0,0.0,3.58,3.58,3.58,0.0,0.0
2018-02-25,3.84,3.84,3.84,0.0,0.0,3.84,3.84,3.84,0.0,0.0,3.76,3.76,3.76,0.0,0.0,3.76,3.76,3.76,0.0,0.0
2018-03-04,3.74,3.74,3.74,0.0,0.0,3.74,3.74,3.74,0.0,0.0,3.7,3.7,3.7,0.0,0.0,3.71,3.71,3.71,0.0,0.0
2018-03-11,3.71,3.71,3.71,0.0,0.0,3.71,3.71,3.71,0.0,0.0,3.69,3.69,3.69,0.0,0.0,3.69,3.69,3.69,0.0,0.0
2018-03-18,3.53,3.53,3.53,0.0,0.0,3.59,3.59,3.59,0.0,0.0,3.53,3.53,3.53,0.0,0.0,3.57,3.57,3.57,0.0,0.0
2018-03-25,3.55,3.55,3.55,0.0,0.0,3.55,3.55,3.55,0.0,0.0,3.55,3.55,3.55,0.0,0.0,3.55,3.55,3.55,0.0,0.0
2018-04-01,3.62,3.62,3.62,0.0,0.0,3.62,3.62,3.62,0.0,0.0,3.61,3.61,3.61,0.0,0.0,3.61,3.61,3.61,0.0,0.0
2018-04-08,3.67,3.67,3.67,0.0,0.0,3.69,3.69,3.69,0.0,0.0,3.67,3.67,3.67,0.0,0.0,3.69,3.69,3.69,0.0,0.0
2018-04-15,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0,3.64,3.64,3.64,0.0,0.0
2018-04-22,3.69,3.69,3.69,0.0,0.0,3.75,3.75,3.75,0.0,0.0,3.69,3.69,3.69,0.0,0.0,3.75,3.75,3.75,0.0,0.0
2018-04-29,3.85,3.85,3.85,0.0,0.0,3.85,3.85,3.85,0.0,0.0,3.83,3.83,3.83,0.0,0.0,3.83,3.83,3.83,0.0,0.0
