Date,KSUStock_Open_average,KSUStock_Open_max,KSUStock_Open_min,KSUStock_Open_volatility,KSUStock_Open_change,KSUStock_High_average,KSUStock_High_max,KSUStock_High_min,KSUStock_High_volatility,KSUStock_High_change,KSUStock_Low_average,KSUStock_Low_max,KSUStock_Low_min,KSUStock_Low_volatility,KSUStock_Low_change,KSUStock_Close_average,KSUStock_Close_max,KSUStock_Close_min,KSUStock_Close_volatility,KSUStock_Close_change,KSUStock_Volume_average,KSUStock_Volume_max,KSUStock_Volume_min,KSUStock_Volume_volatility,KSUStock_Volume_change
2018-01-14,110.4625,111.16,108.68,2.4799999999999898,-2.339999999999989,111.83,112.8,111.07,1.730000000000004,-1.730000000000004,109.305,110.23,106.96,3.2700000000000102,-3.2700000000000102,110.8275,111.5,110.0,1.5,-1.0,2173536,2530591,1629483,901108,-270396
2018-01-21,111.376,112.31,110.34,1.9699999999999989,1.3900000000000006,112.714,113.54,111.76,1.7800000000000011,1.7800000000000011,110.5,111.38,108.84,2.539999999999992,1.3199999999999932,112.04599999999999,113.5,110.96,2.5400000000000063,2.5400000000000063,1530400,1939362,1002419,936943,-552950
2018-01-28,112.804,113.49,112.06,1.4299999999999926,-1.4299999999999926,113.816,114.75,112.85,1.9000000000000057,-1.9000000000000057,111.886,112.91,110.03,2.8799999999999955,-2.8799999999999955,112.414,113.7,110.15,3.549999999999997,-3.549999999999997,1031675,1071522,971484,100038,-397
2018-02-04,106.212,109.73,103.11,6.6200000000000045,-5.27000000000001,107.76599999999999,110.44,104.46,5.980000000000004,-5.980000000000004,103.35,106.59,99.47,7.1200000000000045,-5.650000000000006,105.38,107.32,103.53,3.789999999999992,-1.4100000000000108,1407341,1543896,1272097,271799,271799
2018-02-11,105.462,107.28,103.89,3.3900000000000006,3.3900000000000006,107.05799999999999,109.3,104.94,4.359999999999999,2.6700000000000017,104.426,106.62,102.54,4.079999999999998,4.079999999999998,106.502,109.01,104.12,4.890000000000001,3.5900000000000034,1155098,1351430,899434,451996,-451996
2018-02-18,108.1525,108.65,107.38,1.2700000000000102,-0.710000000000008,109.675,110.83,108.79,2.039999999999992,0.5099999999999909,107.05,107.81,106.52,1.2900000000000063,1.2900000000000063,107.8325,108.82,107.17,1.6499999999999915,1.4699999999999989,917372,1230299,515946,714353,-714353
2018-02-25,106.41,110.5,103.07,7.430000000000007,-6.450000000000003,107.578,110.79,104.98,5.810000000000002,-5.5,104.222,108.4,101.62,6.780000000000001,-6.780000000000001,105.508,110.08,103.04,7.039999999999992,-5.459999999999994,1520254,2068327,606839,1461488,1252586
2018-03-04,105.818,108.66,103.7,4.959999999999994,4.959999999999994,107.926,111.91,105.03,6.8799999999999955,6.8799999999999955,105.05,108.16,102.73,5.429999999999993,5.429999999999993,107.402,111.65,104.57,7.0800000000000125,7.0800000000000125,1301746,1606543,902187,704356,725
2018-03-11,109.324,111.85,106.36,5.489999999999995,-5.439999999999998,109.536,112.15,106.64,5.510000000000005,-5.439999999999998,107.416,110.95,104.9,6.049999999999997,-6.049999999999997,107.864,111.24,105.51,5.72999999999999,-5.72999999999999,1414369,1754398,892687,861711,837498
2018-03-18,107.474,108.64,105.48,3.1599999999999966,3.1599999999999966,109.62599999999999,112.1,107.11,4.989999999999995,3.6299999999999955,106.8,108.02,104.91,3.1099999999999994,3.010000000000005,107.92999999999999,109.86,106.7,3.1599999999999966,1.3599999999999994,1280038,1642557,767539,875018,591996
2018-03-25,108.785,109.86,107.6,2.260000000000005,-1.7999999999999972,109.78999999999999,110.69,108.72,1.9699999999999989,0.6700000000000017,107.28999999999999,108.25,106.35,1.9000000000000057,-0.29999999999999716,108.485,109.85,106.99,2.8599999999999994,0.3399999999999892,839087,1104381,692229,412152,-412152
2018-04-01,110.122,112.8,108.4,4.3999999999999915,2.5700000000000074,111.36399999999999,112.96,110.0,2.9599999999999937,1.7099999999999937,107.89399999999999,110.35,106.58,3.769999999999996,0.7999999999999972,110.118,112.22,108.23,3.989999999999995,0.25,1521333,2100260,1016202,1084058,322389
2018-04-08,109.672,111.01,108.32,2.690000000000012,1.9300000000000068,110.732,111.77,109.98,1.789999999999992,1.2800000000000011,108.86,109.84,108.08,1.7600000000000051,0.8900000000000006,109.556,110.62,108.72,1.9000000000000057,1.4099999999999966,886951,1013927,746506,267421,-148377
2018-04-15,111.41199999999999,112.69,110.39,2.299999999999997,-0.12999999999999545,112.534,113.0,111.18,1.8199999999999932,-0.4000000000000057,110.178,111.09,109.0,2.0900000000000034,-1.5,111.322,112.0,110.29,1.7099999999999937,0.06999999999999318,1544197,2183370,751998,1431372,947400
2018-04-22,109.756,113.42,106.75,6.670000000000002,-6.670000000000002,110.844,114.91,108.33,6.579999999999998,-5.47999999999999,107.576,110.89,106.07,4.820000000000007,-4.769999999999996,108.95400000000001,111.39,106.7,4.689999999999998,-2.1299999999999955,1478997,1995827,1043962,951865,-61666
2018-04-29,106.954,109.68,105.91,3.7700000000000102,-3.7700000000000102,108.12,110.2,106.94,3.260000000000005,-2.1400000000000006,105.44,106.58,104.43,2.1499999999999915,-0.8599999999999994,106.698,107.55,106.26,1.289999999999992,0.9200000000000017,969080,1238727,570260,668467,-668467
