Date,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Open_average,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Open_max,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Open_min,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Open_volatility,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Open_change,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_High_average,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_High_max,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_High_min,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_High_volatility,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_High_change,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Low_average,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Low_max,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Low_min,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Low_volatility,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Low_change,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Close_average,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Close_max,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Close_min,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Close_volatility,PIMCO RAFI Dynamic Multi-Factor U.S. EquityEtf_Close_change
2018-01-14,28.88,28.88,28.88,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-01-21,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-01-28,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-02-04,26.96,26.96,26.96,0.0,0.0,27.17,27.17,27.17,0.0,0.0,26.22,26.22,26.22,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-02-11,28.1,28.1,28.1,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-02-18,27.98,27.98,27.98,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-02-25,27.27,27.27,27.27,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2018-03-04,28.38,28.38,28.38,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-03-11,28.23,28.23,28.23,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-03-18,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
