Date,IEPStock_Open_average,IEPStock_Open_max,IEPStock_Open_min,IEPStock_Open_volatility,IEPStock_Open_change,IEPStock_High_average,IEPStock_High_max,IEPStock_High_min,IEPStock_High_volatility,IEPStock_High_change,IEPStock_Low_average,IEPStock_Low_max,IEPStock_Low_min,IEPStock_Low_volatility,IEPStock_Low_change,IEPStock_Close_average,IEPStock_Close_max,IEPStock_Close_min,IEPStock_Close_volatility,IEPStock_Close_change,IEPStock_Volume_average,IEPStock_Volume_max,IEPStock_Volume_min,IEPStock_Volume_volatility,IEPStock_Volume_change
2018-01-14,55.935,56.3,55.73,0.5700000000000003,-0.4899999999999949,56.2525,56.56,55.9,0.6600000000000037,0.2600000000000051,55.519999999999996,55.76,55.37,0.39000000000000057,0.39000000000000057,56.035,56.56,55.81,0.75,0.6900000000000048,65329,86833,48710,38123,-29377
2018-01-21,57.702,58.26,56.5,1.759999999999998,1.759999999999998,58.236,58.88,57.39,1.490000000000002,1.490000000000002,57.276,58.08,56.31,1.769999999999996,1.769999999999996,57.99,58.88,57.3,1.5800000000000054,1.5800000000000054,114466,145845,95598,50247,21530
2018-01-28,58.256,58.88,57.86,1.0200000000000031,-0.47000000000000597,58.984,59.75,58.5,1.25,-1.2199999999999989,57.614,58.0,57.12,0.8800000000000026,-0.7800000000000011,58.094,58.75,57.4,1.3500000000000014,-0.6099999999999994,101018,140809,58732,82077,-49996
2018-02-04,55.972,57.0,53.93,3.0700000000000003,-1.25,56.686,57.43,55.85,1.5799999999999983,-1.5799999999999983,54.614000000000004,55.81,53.56,2.25,-1.1799999999999997,55.6,56.63,54.99,1.6400000000000006,0.25,137086,168901,98583,70318,708
2018-02-11,55.996,56.9,55.26,1.6400000000000006,1.1499999999999986,56.614,57.86,55.77,2.0899999999999963,1.5,55.538000000000004,56.68,54.81,1.8699999999999974,1.8699999999999974,56.19,56.95,55.62,1.3300000000000054,1.2800000000000011,59105,89719,31331,58388,-23042
2018-02-18,56.5,56.79,56.26,0.5300000000000011,-0.14000000000000057,57.089999999999996,57.23,56.91,0.3200000000000003,-0.23999999999999488,56.0575,56.11,56.01,0.10000000000000142,0.10000000000000142,56.4225,56.99,56.21,0.7800000000000011,0.7800000000000011,50860,66924,40783,26141,1934
2018-02-25,56.75,57.0,56.25,0.75,-0.490000000000002,57.5,58.68,56.27,2.4099999999999966,1.0,55.967999999999996,56.75,54.58,2.1700000000000017,-0.240000000000002,56.204,57.0,54.58,2.4200000000000017,-0.030000000000001137,145291,291198,47891,243307,147878
2018-03-04,60.102,62.26,57.0,5.259999999999998,3.270000000000003,61.608,62.79,60.18,2.6099999999999994,0.6400000000000006,59.628,61.7,57.0,4.700000000000003,2.530000000000001,61.084,62.05,59.81,2.239999999999995,-0.23999999999999488,262468,325355,209667,115688,-56750
2018-03-11,58.618,59.76,57.9,1.8599999999999994,-1.3900000000000006,59.022,60.11,58.4,1.7100000000000009,-1.4600000000000009,57.708,58.16,57.21,0.9499999999999957,0.4799999999999969,58.34,58.99,57.99,1.0,-0.740000000000002,98880,161919,51872,110047,-110047
2018-03-18,57.92,58.43,57.0,1.4299999999999997,-1.3400000000000034,58.236,58.87,57.29,1.5799999999999983,-1.1799999999999997,57.164,58.0,56.15,1.8500000000000014,-1.1099999999999994,57.552,58.52,56.17,2.3500000000000014,-2.0,85153,99605,62035,37570,-12659
2018-03-25,57.1,57.76,56.64,1.1199999999999974,1.1199999999999974,57.635,58.04,57.14,0.8999999999999986,0.8999999999999986,56.505,57.03,56.13,0.8999999999999986,0.8999999999999986,56.965,57.17,56.78,0.39000000000000057,0.1700000000000017,61624,65526,56195,9331,-120
2018-04-01,59.134,60.75,57.1,3.6499999999999986,3.6499999999999986,60.494,61.75,59.4,2.3500000000000014,1.4200000000000017,58.674,60.37,57.0,3.3699999999999974,2.5,59.842,60.84,58.72,2.1200000000000045,0.7999999999999972,113330,154788,78400,76388,-76388
