Date,ProShares UltraPro Dow30Etf_Open_average,ProShares UltraPro Dow30Etf_Open_max,ProShares UltraPro Dow30Etf_Open_min,ProShares UltraPro Dow30Etf_Open_volatility,ProShares UltraPro Dow30Etf_Open_change,ProShares UltraPro Dow30Etf_High_average,ProShares UltraPro Dow30Etf_High_max,ProShares UltraPro Dow30Etf_High_min,ProShares UltraPro Dow30Etf_High_volatility,ProShares UltraPro Dow30Etf_High_change,ProShares UltraPro Dow30Etf_Low_average,ProShares UltraPro Dow30Etf_Low_max,ProShares UltraPro Dow30Etf_Low_min,ProShares UltraPro Dow30Etf_Low_volatility,ProShares UltraPro Dow30Etf_Low_change,ProShares UltraPro Dow30Etf_Close_average,ProShares UltraPro Dow30Etf_Close_max,ProShares UltraPro Dow30Etf_Close_min,ProShares UltraPro Dow30Etf_Close_volatility,ProShares UltraPro Dow30Etf_Close_change
2018-01-14,109.39,109.39,109.39,0.0,0.0,110.0,110.0,110.0,0.0,0.0,108.38,108.38,108.38,0.0,0.0,110.0,110.0,110.0,0.0,0.0
2018-01-21,114.72,114.72,114.72,0.0,0.0,116.82,116.82,116.82,0.0,0.0,114.37,114.37,114.37,0.0,0.0,116.82,116.82,116.82,0.0,0.0
2018-01-28,108.35,108.35,108.35,0.0,0.0,108.72,108.72,108.72,0.0,0.0,102.25,102.25,102.25,0.0,0.0,102.6,102.6,102.6,0.0,0.0
2018-02-04,85.64,85.64,85.64,0.0,0.0,88.32,88.32,88.32,0.0,0.0,77.68,77.68,77.68,0.0,0.0,86.37,86.37,86.37,0.0,0.0
2018-02-11,97.01,97.01,97.01,0.0,0.0,100.4,100.4,100.4,0.0,0.0,96.97,96.97,96.97,0.0,0.0,97.8,97.8,97.8,0.0,0.0
2018-02-18,96.46,96.46,96.46,0.0,0.0,98.87,98.87,98.87,0.0,0.0,95.55,95.55,95.55,0.0,0.0,98.87,98.87,98.87,0.0,0.0
2018-02-25,87.69,87.69,87.69,0.0,0.0,90.52,90.52,90.52,0.0,0.0,86.35,86.35,86.35,0.0,0.0,89.93,89.93,89.93,0.0,0.0
2018-03-04,95.91,95.91,95.91,0.0,0.0,98.95,98.95,98.95,0.0,0.0,95.3,95.3,95.3,0.0,0.0,98.87,98.87,98.87,0.0,0.0
2018-03-11,93.68,93.68,93.68,0.0,0.0,95.33,95.33,95.33,0.0,0.0,93.38,93.38,93.38,0.0,0.0,94.21,94.21,94.21,0.0,0.0
2018-03-18,83.68,83.68,83.68,0.0,0.0,84.67,84.67,84.67,0.0,0.0,78.4,78.4,78.4,0.0,0.0,78.71,78.71,78.71,0.0,0.0
2018-03-25,82.88,82.88,82.88,0.0,0.0,86.31,86.31,86.31,0.0,0.0,82.33,82.33,82.33,0.0,0.0,84.78,84.78,84.78,0.0,0.0
2018-04-01,85.4,85.4,85.4,0.0,0.0,87.44,87.44,87.44,0.0,0.0,79.93,79.93,79.93,0.0,0.0,81.95,81.95,81.95,0.0,0.0
2018-04-08,89.47,89.47,89.47,0.0,0.0,89.47,89.47,89.47,0.0,0.0,85.01,85.01,85.01,0.0,0.0,86.27,86.27,86.27,0.0,0.0
2018-04-15,89.56,89.56,89.56,0.0,0.0,89.67,89.67,89.67,0.0,0.0,86.35,86.35,86.35,0.0,0.0,87.3,87.3,87.3,0.0,0.0
2018-04-22,85.44,85.44,85.44,0.0,0.0,85.98,85.98,85.98,0.0,0.0,84.25,84.25,84.25,0.0,0.0,85.44,85.44,85.44,0.0,0.0
2018-04-29,80.45,80.45,80.45,0.0,0.0,85.55,85.55,85.55,0.0,0.0,79.94,79.94,79.94,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2018-05-06,90.22,90.22,90.22,0.0,0.0,91.62,91.62,91.62,0.0,0.0,89.94,89.94,89.94,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2018-05-13,90.21,90.21,90.21,0.0,0.0,90.79,90.79,90.79,0.0,0.0,89.56,89.56,89.56,0.0,0.0,90.08,90.08,90.08,0.0,0.0
2018-05-20,90.51,90.51,90.51,0.0,0.0,91.2,91.2,91.2,0.0,0.0,89.68,89.68,89.68,0.0,0.0,90.33,90.33,90.33,0.0,0.0
2018-05-27,88.71,88.71,88.71,0.0,0.0,89.53,89.53,89.53,0.0,0.0,88.28,88.28,88.28,0.0,0.0,89.02,89.02,89.02,0.0,0.0
2018-06-03,95.25,95.25,95.25,0.0,0.0,96.7,96.7,96.7,0.0,0.0,94.85,94.85,94.85,0.0,0.0,96.6,96.6,96.6,0.0,0.0
2018-06-10,93.32,93.32,93.32,0.0,0.0,94.5,94.5,94.5,0.0,0.0,91.81,91.81,91.81,0.0,0.0,94.11,94.11,94.11,0.0,0.0
2018-06-17,88.38,88.38,88.38,0.0,0.0,89.04,89.04,89.04,0.0,0.0,87.9,87.9,87.9,0.0,0.0,88.09,88.09,88.09,0.0,0.0
2018-06-24,85.59,85.59,85.59,0.0,0.0,87.17,87.17,87.17,0.0,0.0,84.72,84.72,84.72,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-07-01,85.35,85.35,85.35,0.0,0.0,87.3,87.3,87.3,0.0,0.0,84.81,84.81,84.81,0.0,0.0,86.61,86.61,86.61,0.0,0.0
2018-07-08,91.43,91.43,91.43,0.0,0.0,92.83,92.83,92.83,0.0,0.0,91.17,91.17,91.17,0.0,0.0,92.53,92.53,92.53,0.0,0.0
2018-07-15,92.38,92.38,92.38,0.0,0.0,93.73,93.73,93.73,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.98,92.98,92.98,0.0,0.0
2018-07-22,98.42,98.42,98.42,0.0,0.0,98.77,98.77,98.77,0.0,0.0,96.37,96.37,96.37,0.0,0.0,97.33,97.33,97.33,0.0,0.0
2018-07-29,95.63,95.63,95.63,0.0,0.0,97.36,97.36,97.36,0.0,0.0,95.63,95.63,95.63,0.0,0.0,97.23,97.23,97.23,0.0,0.0
2018-08-05,96.16,96.16,96.16,0.0,0.0,96.57,96.57,96.57,0.0,0.0,94.86,94.86,94.86,0.0,0.0,95.86,95.86,95.86,0.0,0.0
2018-08-12,98.32,98.32,98.32,0.0,0.0,100.67,100.67,100.67,0.0,0.0,98.27,98.27,98.27,0.0,0.0,99.95,99.95,99.95,0.0,0.0
2018-08-19,100.65,100.65,100.65,0.0,0.0,101.8,101.8,101.8,0.0,0.0,100.48,100.48,100.48,0.0,0.0,101.33,101.33,101.33,0.0,0.0
2018-08-26,103.43,103.43,103.43,0.0,0.0,104.41,104.41,104.41,0.0,0.0,102.56,102.56,102.56,0.0,0.0,103.49,103.49,103.49,0.0,0.0
2018-09-02,102.91,102.91,102.91,0.0,0.0,104.11,104.11,104.11,0.0,0.0,101.85,101.85,101.85,0.0,0.0,103.09,103.09,103.09,0.0,0.0
2018-09-09,106.23,106.23,106.23,0.0,0.0,106.52,106.52,106.52,0.0,0.0,104.8,104.8,104.8,0.0,0.0,105.77,105.77,105.77,0.0,0.0
