Date,PowerShares DB OilEtf_Open_average,PowerShares DB OilEtf_Open_max,PowerShares DB OilEtf_Open_min,PowerShares DB OilEtf_Open_volatility,PowerShares DB OilEtf_Open_change,PowerShares DB OilEtf_High_average,PowerShares DB OilEtf_High_max,PowerShares DB OilEtf_High_min,PowerShares DB OilEtf_High_volatility,PowerShares DB OilEtf_High_change,PowerShares DB OilEtf_Low_average,PowerShares DB OilEtf_Low_max,PowerShares DB OilEtf_Low_min,PowerShares DB OilEtf_Low_volatility,PowerShares DB OilEtf_Low_change,PowerShares DB OilEtf_Close_average,PowerShares DB OilEtf_Close_max,PowerShares DB OilEtf_Close_min,PowerShares DB OilEtf_Close_volatility,PowerShares DB OilEtf_Close_change
2018-01-14,10.69,10.69,10.69,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-01-21,11.06,11.06,11.06,0.0,0.0,11.2,11.2,11.2,0.0,0.0,11.05,11.05,11.05,0.0,0.0,11.16,11.16,11.16,0.0,0.0
2018-01-28,11.06,11.06,11.06,0.0,0.0,11.1,11.1,11.1,0.0,0.0,10.89,10.89,10.89,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2018-02-04,10.29,10.29,10.29,0.0,0.0,10.29,10.29,10.29,0.0,0.0,9.93,9.93,9.93,0.0,0.0,10.07,10.07,10.07,0.0,0.0
2018-02-11,10.34,10.34,10.34,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.42,10.42,10.42,0.0,0.0
2018-02-18,10.69,10.69,10.69,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.83,10.83,10.83,0.0,0.0
2018-02-25,10.36,10.36,10.36,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.54,10.54,10.54,0.0,0.0
2018-03-04,10.58,10.58,10.58,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.68,10.68,10.68,0.0,0.0
2018-03-11,10.66,10.66,10.66,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2018-03-18,11.13,11.13,11.13,0.0,0.0,11.25,11.25,11.25,0.0,0.0,11.13,11.13,11.13,0.0,0.0,11.24,11.24,11.24,0.0,0.0
2018-03-25,11.11,11.11,11.11,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.09,11.09,11.09,0.0,0.0,11.17,11.17,11.17,0.0,0.0
2018-04-01,11.07,11.07,11.07,0.0,0.0,11.11,11.11,11.11,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2018-04-08,11.45,11.45,11.45,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.44,11.44,11.44,0.0,0.0,11.49,11.49,11.49,0.0,0.0
2018-04-15,11.61,11.61,11.61,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.71,11.71,11.71,0.0,0.0
2018-04-22,11.73,11.73,11.73,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.72,11.72,11.72,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-04-29,11.84,11.84,11.84,0.0,0.0,12.07,12.07,12.07,0.0,0.0,11.82,11.82,11.82,0.0,0.0,12.06,12.06,12.06,0.0,0.0
2018-05-06,12.46,12.46,12.46,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2018-05-13,12.51,12.51,12.51,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.49,12.49,12.49,0.0,0.0
