Date,MGLNStock_Open_average,MGLNStock_Open_max,MGLNStock_Open_min,MGLNStock_Open_volatility,MGLNStock_Open_change,MGLNStock_High_average,MGLNStock_High_max,MGLNStock_High_min,MGLNStock_High_volatility,MGLNStock_High_change,MGLNStock_Low_average,MGLNStock_Low_max,MGLNStock_Low_min,MGLNStock_Low_volatility,MGLNStock_Low_change,MGLNStock_Close_average,MGLNStock_Close_max,MGLNStock_Close_min,MGLNStock_Close_volatility,MGLNStock_Close_change,MGLNStock_Volume_average,MGLNStock_Volume_max,MGLNStock_Volume_min,MGLNStock_Volume_volatility,MGLNStock_Volume_change
2018-01-14,98.875,99.65,98.0,1.6500000000000057,0.5999999999999943,99.9375,100.85,99.3,1.5499999999999972,0.8999999999999915,98.2625,98.6,97.95,0.6499999999999915,0.5999999999999943,99.4125,100.8,98.15,2.6499999999999915,1.1499999999999915,121667,154076,75454,78622,-41026
2018-01-21,101.44,102.05,100.8,1.25,0.3500000000000085,102.184,102.7,101.7,1.0,-0.3999999999999915,100.288,100.81,99.88,0.9300000000000068,-0.14000000000000057,101.37,102.05,100.75,1.2999999999999972,-0.6499999999999915,118908,208563,53607,154956,-40005
2018-01-28,100.16,101.4,99.15,2.25,-1.9000000000000057,101.244,102.25,100.22,2.030000000000001,-2.030000000000001,98.536,100.85,96.4,4.449999999999989,-2.8999999999999915,100.02,101.65,98.55,3.1000000000000085,-3.1000000000000085,180750,207706,135780,71926,-49129
2018-02-04,95.57000000000001,97.8,92.45,5.349999999999994,-2.6499999999999915,97.29,98.45,96.0,2.450000000000003,-1.5499999999999972,93.422,94.9,91.66,3.240000000000009,-2.0,94.87,96.75,93.45,3.299999999999997,-0.8499999999999943,118648,163786,84743,79043,58137
2018-02-11,94.51,95.75,93.6,2.1500000000000057,1.9500000000000028,95.92,97.95,94.45,3.5,2.549999999999997,93.92,95.75,93.15,2.5999999999999943,2.5999999999999943,95.39,97.6,94.1,3.5,3.1499999999999915,138369,196772,103397,93375,-6430
2018-02-18,96.1125,97.2,95.2,2.0,-1.9500000000000028,97.325,97.8,96.55,1.25,-0.9000000000000057,94.875,95.2,94.5,0.7000000000000028,0.6000000000000085,95.625,96.45,94.65,1.7999999999999972,1.4500000000000028,101262,149785,60472,89313,-62335
2018-02-25,100.05,101.45,96.4,5.049999999999997,4.099999999999994,102.036,105.25,97.45,7.799999999999997,4.6499999999999915,97.87,100.3,95.55,4.75,3.3499999999999943,100.14,101.75,96.95,4.799999999999997,4.799999999999997,211212,332261,80095,252166,50711
2018-03-04,103.59,108.75,100.0,8.75,7.700000000000003,106.564,109.8,101.22,8.579999999999998,8.579999999999998,101.762,104.5,98.25,6.25,6.25,104.49,108.75,99.45,9.299999999999997,5.200000000000003,370141,558669,145979,412690,198928
2018-03-11,106.03999999999999,108.45,104.05,4.400000000000006,3.3500000000000085,107.524,109.2,105.12,4.079999999999998,0.9000000000000057,104.814,107.1,103.05,4.049999999999997,2.280000000000001,106.22,108.45,103.5,4.950000000000003,1.7000000000000028,167491,285926,90713,195213,124268
2018-03-18,106.3,108.45,104.6,3.8500000000000085,-3.8500000000000085,107.642,108.75,107.2,1.5499999999999972,-1.3700000000000045,105.02,106.65,104.2,2.450000000000003,-2.450000000000003,105.82,107.95,104.35,3.6000000000000085,-3.6000000000000085,146051,208589,105005,103584,31948
2018-03-25,106.4125,107.35,105.3,2.049999999999997,2.049999999999997,107.375,107.85,106.5,1.3499999999999943,1.3499999999999943,105.575,106.3,104.35,1.9500000000000028,1.9500000000000028,106.75,107.1,106.4,0.6999999999999886,0.6999999999999886,160004,214599,75141,139458,139458
2018-04-01,106.54,109.2,103.5,5.700000000000003,3.0,108.21,110.1,106.4,3.6999999999999886,3.6999999999999886,104.85,107.75,102.05,5.700000000000003,3.9000000000000057,106.7,109.7,102.85,6.8500000000000085,4.200000000000003,151178,199621,111990,87631,-75843
2018-04-08,108.12,108.85,107.45,1.3999999999999915,1.3999999999999915,109.574,111.1,107.87,3.2299999999999898,0.6999999999999886,106.89999999999999,108.1,106.05,2.049999999999997,2.049999999999997,108.0,108.65,107.25,1.4000000000000057,1.2000000000000028,116824,137015,77034,59981,-881
2018-04-15,109.91,111.15,108.25,2.9000000000000057,1.8499999999999943,111.12,112.25,109.65,2.5999999999999943,1.1999999999999886,109.012,110.3,107.21,3.0900000000000034,2.1400000000000006,110.21,111.0,108.8,2.200000000000003,1.4000000000000057,98561,109366,88689,20677,5598
2018-04-22,97.95,110.5,81.95,28.549999999999997,-28.549999999999997,99.488,112.14,83.55,28.590000000000003,-27.400000000000006,93.498,109.9,76.83,33.07000000000001,-28.86,95.36,111.1,81.4,29.69999999999999,-28.64999999999999,410758,1083668,84091,999577,212889
2018-04-29,85.46,87.8,81.9,5.8999999999999915,3.9499999999999886,87.48,89.1,84.25,4.849999999999994,3.75,84.60000000000001,86.15,81.4,4.75,3.8499999999999943,86.28,88.95,83.85,5.1000000000000085,2.25,292759,324085,262326,61759,-54844
2018-05-06,85.97,86.8,84.95,1.8499999999999943,0.5499999999999972,86.93,88.45,85.9,2.549999999999997,1.4000000000000057,85.0,85.6,84.55,1.0499999999999972,-1.0,85.97,87.1,84.95,2.1499999999999915,1.2999999999999972,243564,377792,198859,178933,-7603
2018-05-13,89.17999999999999,91.6,87.5,4.099999999999994,4.099999999999994,90.44,92.4,88.55,3.8500000000000085,3.8500000000000085,88.25,90.95,85.5,5.450000000000003,3.700000000000003,89.75,91.55,87.45,4.099999999999994,4.099999999999994,218475,337943,154590,183353,-140926
2018-05-20,89.54,91.3,88.65,2.6499999999999915,-2.200000000000003,90.612,92.0,89.78,2.219999999999999,-1.6500000000000057,88.844,89.95,87.5,2.450000000000003,-0.8500000000000085,89.64,90.35,89.05,1.2999999999999972,0.14999999999999147,204895,284936,105961,178975,-112310
2018-05-27,91.0375,92.85,89.75,3.0999999999999943,1.9000000000000057,92.4125,93.2,91.3,1.9000000000000057,1.5,90.3375,91.4,89.45,1.9500000000000028,1.9500000000000028,91.475,92.55,89.8,2.75,2.75,168904,184099,152636,31463,-16371
2018-06-03,92.69,93.75,91.55,2.200000000000003,0.3500000000000085,93.96,94.6,93.0,1.5999999999999943,1.5999999999999943,91.81,92.45,91.2,1.25,0.75,92.98,94.15,91.25,2.9000000000000057,1.3000000000000114,146229,237727,96385,141342,86121
2018-06-10,93.59,95.4,92.7,2.700000000000003,-1.3499999999999943,94.45,95.8,93.25,2.549999999999997,-2.0,92.89,94.1,92.3,1.7999999999999972,-1.3499999999999943,93.55,95.55,92.55,3.0,-1.75,194543,294690,120545,174145,127251
2018-06-17,97.08,99.9,93.55,6.3500000000000085,4.8500000000000085,98.68,99.9,95.9,4.0,4.0,96.2,98.35,93.0,5.349999999999994,5.349999999999994,98.15,99.6,95.75,3.8499999999999943,3.549999999999997,297579,513932,183181,330751,247149
2018-06-24,97.59,99.1,95.45,3.6499999999999915,-3.6499999999999915,98.304,99.35,97.05,2.299999999999997,-2.0,96.41,97.95,94.55,3.4000000000000057,-2.5,97.15,98.25,95.95,2.299999999999997,-2.299999999999997,195278,275109,140960,134149,-131829
2018-07-01,97.0625,98.05,95.7,2.3499999999999943,2.3499999999999943,98.0125,99.55,96.5,3.049999999999997,3.049999999999997,96.48,97.45,94.7,2.75,2.75,97.575,98.2,96.5,1.7000000000000028,1.7000000000000028,91369,120021,64234,55787,-14238
2018-07-08,98.76,99.2,98.4,0.7999999999999972,0.14999999999999147,99.596,99.78,99.25,0.5300000000000011,0.28000000000000114,98.282,98.45,98.06,0.39000000000000057,0.23999999999999488,98.92999999999999,99.1,98.6,0.5,0.14999999999999147,149011,187575,117439,70136,-44886
2018-07-15,96.37,98.8,94.9,3.8999999999999915,-3.0,97.456,99.7,96.4,3.299999999999997,-3.0,94.31,96.7,91.45,5.25,-5.25,94.9,96.9,91.9,5.0,-5.0,424544,683107,134596,548511,548511
2018-07-22,88.83,93.25,76.4,16.849999999999994,-15.599999999999994,90.744,94.95,80.0,14.950000000000003,-14.950000000000003,86.792,90.95,71.7,19.25,-19.0,87.77,93.3,72.0,21.299999999999997,-21.299999999999997,554515,1196443,270780,925663,566175
2018-07-29,73.57,76.25,71.6,4.650000000000006,4.25,74.83,76.3,72.95,3.3499999999999943,3.0,72.298,74.85,71.03,3.819999999999993,3.6499999999999915,74.24,75.9,72.0,3.9000000000000057,3.049999999999997,421110,645473,289011,356462,-356462
2018-08-05,75.19,75.6,74.85,0.75,0.3499999999999943,76.10000000000001,76.65,75.4,1.25,0.44999999999998863,74.85,75.6,74.4,1.1999999999999886,0.44999999999998863,75.39,75.9,74.85,1.0500000000000114,0.75,205897,330139,98436,231703,-231703
2018-08-12,75.36,76.05,74.7,1.3499999999999943,-0.5499999999999972,76.278,77.15,75.69,1.460000000000008,-0.3100000000000023,74.79,75.78,74.17,1.6099999999999994,-0.5799999999999983,75.23,75.85,74.55,1.2999999999999972,-1.1500000000000057,192089,220710,141291,79419,52318
