Date,The 3D PrintingEtf_Open_average,The 3D PrintingEtf_Open_max,The 3D PrintingEtf_Open_min,The 3D PrintingEtf_Open_volatility,The 3D PrintingEtf_Open_change,The 3D PrintingEtf_High_average,The 3D PrintingEtf_High_max,The 3D PrintingEtf_High_min,The 3D PrintingEtf_High_volatility,The 3D PrintingEtf_High_change,The 3D PrintingEtf_Low_average,The 3D PrintingEtf_Low_max,The 3D PrintingEtf_Low_min,The 3D PrintingEtf_Low_volatility,The 3D PrintingEtf_Low_change,The 3D PrintingEtf_Close_average,The 3D PrintingEtf_Close_max,The 3D PrintingEtf_Close_min,The 3D PrintingEtf_Close_volatility,The 3D PrintingEtf_Close_change
2018-01-14,26.59,26.59,26.59,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2018-01-21,26.4,26.4,26.4,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2018-01-28,25.69,25.69,25.69,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-02-04,23.78,23.78,23.78,0.0,0.0,23.78,23.78,23.78,0.0,0.0,22.65,22.65,22.65,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2018-02-11,24.45,24.45,24.45,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2018-02-18,24.61,24.61,24.61,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-02-25,24.37,24.37,24.37,0.0,0.0,24.43,24.43,24.43,0.0,0.0,23.82,23.82,23.82,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-03-04,25.57,25.57,25.57,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-03-11,25.52,25.52,25.52,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.46,25.46,25.46,0.0,0.0
2018-03-18,24.41,24.41,24.41,0.0,0.0,24.42,24.42,24.42,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.06,24.06,24.06,0.0,0.0
