Date,iPath GSCI Total Return Exp 12 Jun 2036Etf_Open_average,iPath GSCI Total Return Exp 12 Jun 2036Etf_Open_max,iPath GSCI Total Return Exp 12 Jun 2036Etf_Open_min,iPath GSCI Total Return Exp 12 Jun 2036Etf_Open_volatility,iPath GSCI Total Return Exp 12 Jun 2036Etf_Open_change,iPath GSCI Total Return Exp 12 Jun 2036Etf_High_average,iPath GSCI Total Return Exp 12 Jun 2036Etf_High_max,iPath GSCI Total Return Exp 12 Jun 2036Etf_High_min,iPath GSCI Total Return Exp 12 Jun 2036Etf_High_volatility,iPath GSCI Total Return Exp 12 Jun 2036Etf_High_change,iPath GSCI Total Return Exp 12 Jun 2036Etf_Low_average,iPath GSCI Total Return Exp 12 Jun 2036Etf_Low_max,iPath GSCI Total Return Exp 12 Jun 2036Etf_Low_min,iPath GSCI Total Return Exp 12 Jun 2036Etf_Low_volatility,iPath GSCI Total Return Exp 12 Jun 2036Etf_Low_change,iPath GSCI Total Return Exp 12 Jun 2036Etf_Close_average,iPath GSCI Total Return Exp 12 Jun 2036Etf_Close_max,iPath GSCI Total Return Exp 12 Jun 2036Etf_Close_min,iPath GSCI Total Return Exp 12 Jun 2036Etf_Close_volatility,iPath GSCI Total Return Exp 12 Jun 2036Etf_Close_change
2018-01-14,15.99,15.99,15.99,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-01-21,16.34,16.34,16.34,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-01-28,16.23,16.23,16.23,0.0,0.0,16.23,16.23,16.23,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-02-04,15.21,15.21,15.21,0.0,0.0,15.21,15.21,15.21,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2018-02-11,15.43,15.43,15.43,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.56,15.56,15.56,0.0,0.0
2018-02-18,15.76,15.76,15.76,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-02-25,15.37,15.37,15.37,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-03-04,15.46,15.46,15.46,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-03-11,15.42,15.42,15.42,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-03-18,15.94,15.94,15.94,0.0,0.0,16.03,16.03,16.03,0.0,0.0,15.92,15.92,15.92,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-03-25,15.83,15.83,15.83,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2018-04-01,15.72,15.72,15.72,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.53,15.53,15.53,0.0,0.0
2018-04-08,16.48,16.48,16.48,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2018-04-15,16.64,16.64,16.64,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-04-22,16.91,16.91,16.91,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2018-04-29,16.84,16.84,16.84,0.0,0.0,16.87,16.87,16.87,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.87,16.87,16.87,0.0,0.0
2018-05-06,17.29,17.29,17.29,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2018-05-13,17.47,17.47,17.47,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2018-05-20,17.16,17.16,17.16,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2018-05-27,17.01,17.01,17.01,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-06-03,16.98,16.98,16.98,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.94,16.94,16.94,0.0,0.0
2018-06-10,16.7,16.7,16.7,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0
2018-06-17,16.6,16.6,16.6,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2018-06-24,17.36,17.36,17.36,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-07-01,17.12,17.12,17.12,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2018-07-08,16.42,16.42,16.42,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-07-15,16.38,16.38,16.38,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2018-07-22,16.73,16.73,16.73,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-07-29,16.57,16.57,16.57,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.56,16.56,16.56,0.0,0.0
2018-08-05,16.43,16.43,16.43,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2018-08-12,16.22,16.22,16.22,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-08-19,16.74,16.74,16.74,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2018-08-26,16.92,16.92,16.92,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.87,16.87,16.87,0.0,0.0,16.9,16.9,16.9,0.0,0.0
2018-09-02,16.44,16.44,16.44,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.54,16.54,16.54,0.0,0.0
2018-09-09,16.7,16.7,16.7,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2018-09-16,17.12,17.12,17.12,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.11,17.11,17.11,0.0,0.0
