Date,Columbia Sustainable US Equity IncomeEtf_Open_average,Columbia Sustainable US Equity IncomeEtf_Open_max,Columbia Sustainable US Equity IncomeEtf_Open_min,Columbia Sustainable US Equity IncomeEtf_Open_volatility,Columbia Sustainable US Equity IncomeEtf_Open_change,Columbia Sustainable US Equity IncomeEtf_High_average,Columbia Sustainable US Equity IncomeEtf_High_max,Columbia Sustainable US Equity IncomeEtf_High_min,Columbia Sustainable US Equity IncomeEtf_High_volatility,Columbia Sustainable US Equity IncomeEtf_High_change,Columbia Sustainable US Equity IncomeEtf_Low_average,Columbia Sustainable US Equity IncomeEtf_Low_max,Columbia Sustainable US Equity IncomeEtf_Low_min,Columbia Sustainable US Equity IncomeEtf_Low_volatility,Columbia Sustainable US Equity IncomeEtf_Low_change,Columbia Sustainable US Equity IncomeEtf_Close_average,Columbia Sustainable US Equity IncomeEtf_Close_max,Columbia Sustainable US Equity IncomeEtf_Close_min,Columbia Sustainable US Equity IncomeEtf_Close_volatility,Columbia Sustainable US Equity IncomeEtf_Close_change
2018-01-14,30.95,30.95,30.95,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-01-21,31.24,31.24,31.24,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-01-28,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-02-04,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-02-11,30.14,30.14,30.14,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-02-18,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-02-25,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-03-04,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2018-03-11,30.16,30.16,30.16,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-03-18,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.08,29.08,29.08,0.0,0.0
