Date,PowerShares DWA Healthcare Momentum PortfolioEtf_Open_average,PowerShares DWA Healthcare Momentum PortfolioEtf_Open_max,PowerShares DWA Healthcare Momentum PortfolioEtf_Open_min,PowerShares DWA Healthcare Momentum PortfolioEtf_Open_volatility,PowerShares DWA Healthcare Momentum PortfolioEtf_Open_change,PowerShares DWA Healthcare Momentum PortfolioEtf_High_average,PowerShares DWA Healthcare Momentum PortfolioEtf_High_max,PowerShares DWA Healthcare Momentum PortfolioEtf_High_min,PowerShares DWA Healthcare Momentum PortfolioEtf_High_volatility,PowerShares DWA Healthcare Momentum PortfolioEtf_High_change,PowerShares DWA Healthcare Momentum PortfolioEtf_Low_average,PowerShares DWA Healthcare Momentum PortfolioEtf_Low_max,PowerShares DWA Healthcare Momentum PortfolioEtf_Low_min,PowerShares DWA Healthcare Momentum PortfolioEtf_Low_volatility,PowerShares DWA Healthcare Momentum PortfolioEtf_Low_change,PowerShares DWA Healthcare Momentum PortfolioEtf_Close_average,PowerShares DWA Healthcare Momentum PortfolioEtf_Close_max,PowerShares DWA Healthcare Momentum PortfolioEtf_Close_min,PowerShares DWA Healthcare Momentum PortfolioEtf_Close_volatility,PowerShares DWA Healthcare Momentum PortfolioEtf_Close_change
2018-01-14,76.29,76.29,76.29,0.0,0.0,77.03,77.03,77.03,0.0,0.0,76.29,76.29,76.29,0.0,0.0,77.03,77.03,77.03,0.0,0.0
2018-01-21,79.79,79.79,79.79,0.0,0.0,80.17,80.17,80.17,0.0,0.0,79.39,79.39,79.39,0.0,0.0,80.02,80.02,80.02,0.0,0.0
2018-01-28,78.44,78.44,78.44,0.0,0.0,79.15,79.15,79.15,0.0,0.0,77.82,77.82,77.82,0.0,0.0,77.82,77.82,77.82,0.0,0.0
2018-02-04,73.38,73.38,73.38,0.0,0.0,73.43,73.43,73.43,0.0,0.0,69.75,69.75,69.75,0.0,0.0,73.02,73.02,73.02,0.0,0.0
2018-02-11,78.37,78.37,78.37,0.0,0.0,78.96,78.96,78.96,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.66,78.66,78.66,0.0,0.0
2018-02-18,78.67,78.67,78.67,0.0,0.0,78.72,78.72,78.72,0.0,0.0,77.08,77.08,77.08,0.0,0.0,78.72,78.72,78.72,0.0,0.0
2018-02-25,76.32,76.32,76.32,0.0,0.0,79.0,79.0,79.0,0.0,0.0,76.0,76.0,76.0,0.0,0.0,79.0,79.0,79.0,0.0,0.0
2018-03-04,81.76,81.76,81.76,0.0,0.0,82.66,82.66,82.66,0.0,0.0,81.73,81.73,81.73,0.0,0.0,82.56,82.56,82.56,0.0,0.0
2018-03-11,81.14,81.14,81.14,0.0,0.0,81.14,81.14,81.14,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.4,80.4,80.4,0.0,0.0
2018-03-18,77.85,77.85,77.85,0.0,0.0,78.22,78.22,78.22,0.0,0.0,76.63,76.63,76.63,0.0,0.0,76.63,76.63,76.63,0.0,0.0
