Date,BKORStock_Open_average,BKORStock_Open_max,BKORStock_Open_min,BKORStock_Open_volatility,BKORStock_Open_change,BKORStock_High_average,BKORStock_High_max,BKORStock_High_min,BKORStock_High_volatility,BKORStock_High_change,BKORStock_Low_average,BKORStock_Low_max,BKORStock_Low_min,BKORStock_Low_volatility,BKORStock_Low_change,BKORStock_Close_average,BKORStock_Close_max,BKORStock_Close_min,BKORStock_Close_volatility,BKORStock_Close_change,BKORStock_Volume_average,BKORStock_Volume_max,BKORStock_Volume_min,BKORStock_Volume_volatility,BKORStock_Volume_change
2018-01-14,14.7025,14.75,14.66,0.08999999999999986,0.03999999999999915,14.837499999999999,15.0,14.7,0.3000000000000007,0.3000000000000007,14.69,14.7,14.66,0.03999999999999915,0.03999999999999915,14.774999999999999,15.0,14.7,0.3000000000000007,0.3000000000000007,3442,11500,325,11175,-1225
2018-01-21,14.85,15.0,14.75,0.25,-0.25,14.85,15.0,14.75,0.25,-0.25,14.766666666666667,14.8,14.75,0.05000000000000071,0.0,14.766666666666667,14.8,14.75,0.05000000000000071,0.0,316,450,250,200,-200
2018-01-28,15.018,15.25,14.8,0.4499999999999993,0.2699999999999996,15.144,15.35,14.8,0.5499999999999989,0.2699999999999996,15.0,15.25,14.72,0.5299999999999994,0.34999999999999964,15.046,15.35,14.8,0.5499999999999989,0.2699999999999996,5027,14112,100,14012,-14012
2018-02-04,15.138,15.16,15.1,0.0600000000000005,-0.0600000000000005,15.156,15.25,15.1,0.15000000000000036,-0.0600000000000005,15.116,15.16,15.06,0.09999999999999964,-0.0600000000000005,15.134,15.16,15.1,0.0600000000000005,-0.0600000000000005,6229,15788,250,15538,1350
2018-02-11,15.194,15.25,15.06,0.1899999999999995,0.1899999999999995,15.204,15.3,15.06,0.2400000000000002,0.2400000000000002,15.14,15.25,15.06,0.1899999999999995,0.009999999999999787,15.14,15.25,15.06,0.1899999999999995,0.009999999999999787,1820,5600,100,5500,3400
2018-02-18,15.466666666666667,15.75,15.3,0.4499999999999993,0.049999999999998934,15.55,15.75,15.35,0.40000000000000036,-0.20000000000000107,15.45,15.75,15.25,0.5,0.09999999999999964,15.53,15.75,15.35,0.40000000000000036,-0.14000000000000057,3679,9808,125,9683,-9683
2018-02-25,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,355,355,355,0,0
2018-03-04,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,167,167,167,0,0
2018-03-11,15.225,15.25,15.2,0.05000000000000071,0.05000000000000071,15.25,15.25,15.25,0.0,0.0,15.225,15.25,15.2,0.05000000000000071,0.05000000000000071,15.25,15.25,15.25,0.0,0.0,375,375,375,0,0
2018-03-18,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,250,375,125,250,250
2018-03-25,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,25000,25000,25000,0,0
2018-04-01,15.3,15.3,15.3,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,2166,2166,2166,0,0
2018-04-08,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,993,1464,523,941,-941
2018-04-15,15.325,15.35,15.3,0.049999999999998934,-0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,-0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,-0.049999999999998934,15.325,15.35,15.3,0.049999999999998934,-0.049999999999998934,744,888,600,288,288
2018-04-22,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,15.4,15.5,15.3,0.1999999999999993,0.1999999999999993,15.325,15.35,15.3,0.049999999999998934,0.049999999999998934,15.4,15.5,15.3,0.1999999999999993,0.1999999999999993,12956,23013,2900,20113,-20113
2018-04-29,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.405000000000001,15.5,15.31,0.1899999999999995,-0.1899999999999995,15.405000000000001,15.5,15.31,0.1899999999999995,-0.1899999999999995,2450,2900,2000,900,-900
