Date,PowerShares S&P SmallCap Health CareEtf_Open_average,PowerShares S&P SmallCap Health CareEtf_Open_max,PowerShares S&P SmallCap Health CareEtf_Open_min,PowerShares S&P SmallCap Health CareEtf_Open_volatility,PowerShares S&P SmallCap Health CareEtf_Open_change,PowerShares S&P SmallCap Health CareEtf_High_average,PowerShares S&P SmallCap Health CareEtf_High_max,PowerShares S&P SmallCap Health CareEtf_High_min,PowerShares S&P SmallCap Health CareEtf_High_volatility,PowerShares S&P SmallCap Health CareEtf_High_change,PowerShares S&P SmallCap Health CareEtf_Low_average,PowerShares S&P SmallCap Health CareEtf_Low_max,PowerShares S&P SmallCap Health CareEtf_Low_min,PowerShares S&P SmallCap Health CareEtf_Low_volatility,PowerShares S&P SmallCap Health CareEtf_Low_change,PowerShares S&P SmallCap Health CareEtf_Close_average,PowerShares S&P SmallCap Health CareEtf_Close_max,PowerShares S&P SmallCap Health CareEtf_Close_min,PowerShares S&P SmallCap Health CareEtf_Close_volatility,PowerShares S&P SmallCap Health CareEtf_Close_change
2018-01-14,105.53,105.53,105.53,0.0,0.0,106.81,106.81,106.81,0.0,0.0,105.01,105.01,105.01,0.0,0.0,106.81,106.81,106.81,0.0,0.0
2018-01-21,111.09,111.09,111.09,0.0,0.0,111.61,111.61,111.61,0.0,0.0,110.41,110.41,110.41,0.0,0.0,111.58,111.58,111.58,0.0,0.0
2018-01-28,110.65,110.65,110.65,0.0,0.0,110.65,110.65,110.65,0.0,0.0,108.05,108.05,108.05,0.0,0.0,108.08,108.08,108.08,0.0,0.0
2018-02-04,102.89,102.89,102.89,0.0,0.0,102.89,102.89,102.89,0.0,0.0,98.29,98.29,98.29,0.0,0.0,102.7,102.7,102.7,0.0,0.0
2018-02-11,107.05,107.05,107.05,0.0,0.0,107.68,107.68,107.68,0.0,0.0,106.85,106.85,106.85,0.0,0.0,107.24,107.24,107.24,0.0,0.0
2018-02-18,108.09,108.09,108.09,0.0,0.0,108.66,108.66,108.66,0.0,0.0,106.62,106.62,106.62,0.0,0.0,108.66,108.66,108.66,0.0,0.0
2018-02-25,105.0,105.0,105.0,0.0,0.0,110.13,110.13,110.13,0.0,0.0,105.0,105.0,105.0,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2018-03-04,115.2,115.2,115.2,0.0,0.0,115.33,115.33,115.33,0.0,0.0,113.96,113.96,113.96,0.0,0.0,115.2,115.2,115.2,0.0,0.0
2018-03-11,113.73,113.73,113.73,0.0,0.0,115.05,115.05,115.05,0.0,0.0,113.73,113.73,113.73,0.0,0.0,114.66,114.66,114.66,0.0,0.0
2018-03-18,113.2,113.2,113.2,0.0,0.0,113.2,113.2,113.2,0.0,0.0,110.37,110.37,110.37,0.0,0.0,110.62,110.62,110.62,0.0,0.0
2018-03-25,112.06,112.06,112.06,0.0,0.0,112.24,112.24,112.24,0.0,0.0,110.26,110.26,110.26,0.0,0.0,111.4,111.4,111.4,0.0,0.0
