Date,ProShares High Yield Interest RateEtf_Open_average,ProShares High Yield Interest RateEtf_Open_max,ProShares High Yield Interest RateEtf_Open_min,ProShares High Yield Interest RateEtf_Open_volatility,ProShares High Yield Interest RateEtf_Open_change,ProShares High Yield Interest RateEtf_High_average,ProShares High Yield Interest RateEtf_High_max,ProShares High Yield Interest RateEtf_High_min,ProShares High Yield Interest RateEtf_High_volatility,ProShares High Yield Interest RateEtf_High_change,ProShares High Yield Interest RateEtf_Low_average,ProShares High Yield Interest RateEtf_Low_max,ProShares High Yield Interest RateEtf_Low_min,ProShares High Yield Interest RateEtf_Low_volatility,ProShares High Yield Interest RateEtf_Low_change,ProShares High Yield Interest RateEtf_Close_average,ProShares High Yield Interest RateEtf_Close_max,ProShares High Yield Interest RateEtf_Close_min,ProShares High Yield Interest RateEtf_Close_volatility,ProShares High Yield Interest RateEtf_Close_change
2018-01-14,68.64,68.64,68.64,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.31,68.31,68.31,0.0,0.0,68.7,68.7,68.7,0.0,0.0
2018-01-21,68.6,68.6,68.6,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.41,68.41,68.41,0.0,0.0,68.99,68.99,68.99,0.0,0.0
2018-01-28,68.34,68.34,68.34,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.95,67.95,67.95,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2018-02-04,66.73,66.73,66.73,0.0,0.0,67.55,67.55,67.55,0.0,0.0,65.87,65.87,65.87,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-02-11,68.16,68.16,68.16,0.0,0.0,68.46,68.46,68.46,0.0,0.0,68.01,68.01,68.01,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-02-18,67.9,67.9,67.9,0.0,0.0,68.11,68.11,68.11,0.0,0.0,67.77,67.77,67.77,0.0,0.0,68.11,68.11,68.11,0.0,0.0
2018-02-25,66.75,66.75,66.75,0.0,0.0,67.27,67.27,67.27,0.0,0.0,66.71,66.71,66.71,0.0,0.0,67.22,67.22,67.22,0.0,0.0
2018-03-04,67.8,67.8,67.8,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.86,67.86,67.86,0.0,0.0
2018-03-11,67.01,67.01,67.01,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2018-03-18,66.67,66.67,66.67,0.0,0.0,66.87,66.87,66.87,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.34,66.34,66.34,0.0,0.0
2018-03-25,66.58,66.58,66.58,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.86,66.86,66.86,0.0,0.0
2018-04-01,66.99,66.99,66.99,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-04-08,67.97,67.97,67.97,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.44,67.44,67.44,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2018-04-15,67.92,67.92,67.92,0.0,0.0,68.06,68.06,68.06,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-04-22,67.95,67.95,67.95,0.0,0.0,67.95,67.95,67.95,0.0,0.0,67.35,67.35,67.35,0.0,0.0,67.36,67.36,67.36,0.0,0.0
2018-04-29,66.77,66.77,66.77,0.0,0.0,67.25,67.25,67.25,0.0,0.0,66.77,66.77,66.77,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-05-06,67.08,67.08,67.08,0.0,0.0,67.68,67.68,67.68,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2018-05-13,67.58,67.58,67.58,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.42,67.42,67.42,0.0,0.0
2018-05-20,67.27,67.27,67.27,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-05-27,66.73,66.73,66.73,0.0,0.0,66.8,66.8,66.8,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.62,66.62,66.62,0.0,0.0
2018-06-03,67.15,67.15,67.15,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.15,67.15,67.15,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-06-10,67.78,67.78,67.78,0.0,0.0,67.93,67.93,67.93,0.0,0.0,67.59,67.59,67.59,0.0,0.0,67.59,67.59,67.59,0.0,0.0
2018-06-17,67.36,67.36,67.36,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.36,67.36,67.36,0.0,0.0,67.39,67.39,67.39,0.0,0.0
2018-06-24,67.09,67.09,67.09,0.0,0.0,67.09,67.09,67.09,0.0,0.0,66.75,66.75,66.75,0.0,0.0,66.81,66.81,66.81,0.0,0.0
2018-07-01,66.79,66.79,66.79,0.0,0.0,66.8,66.8,66.8,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2018-07-08,67.3,67.3,67.3,0.0,0.0,67.3,67.3,67.3,0.0,0.0,66.82,66.82,66.82,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-07-15,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-07-22,67.58,67.58,67.58,0.0,0.0,67.66,67.66,67.66,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.58,67.58,67.58,0.0,0.0
2018-07-29,67.89,67.89,67.89,0.0,0.0,67.93,67.93,67.93,0.0,0.0,67.51,67.51,67.51,0.0,0.0,67.63,67.63,67.63,0.0,0.0
2018-08-05,67.75,67.75,67.75,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.29,67.29,67.29,0.0,0.0,67.31,67.31,67.31,0.0,0.0
2018-08-12,67.4,67.4,67.4,0.0,0.0,67.49,67.49,67.49,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.49,67.49,67.49,0.0,0.0
2018-08-19,67.72,67.72,67.72,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.77,67.77,67.77,0.0,0.0
2018-08-26,67.89,67.89,67.89,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-09-02,67.22,67.22,67.22,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.45,67.45,67.45,0.0,0.0
2018-09-09,68.17,68.17,68.17,0.0,0.0,68.18,68.18,68.18,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2018-09-16,68.36,68.36,68.36,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.31,68.31,68.31,0.0,0.0,68.47,68.47,68.47,0.0,0.0
2018-09-23,68.45,68.45,68.45,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.49,68.49,68.49,0.0,0.0
2018-09-30,68.26,68.26,68.26,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.96,67.96,67.96,0.0,0.0,67.97,67.97,67.97,0.0,0.0
2018-10-07,67.59,67.59,67.59,0.0,0.0,67.73,67.73,67.73,0.0,0.0,67.35,67.35,67.35,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2018-10-14,67.67,67.67,67.67,0.0,0.0,67.71,67.71,67.71,0.0,0.0,67.49,67.49,67.49,0.0,0.0,67.63,67.63,67.63,0.0,0.0
2018-10-21,66.71,66.71,66.71,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-10-28,67.28,67.28,67.28,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.89,66.89,66.89,0.0,0.0
2018-11-04,67.55,67.55,67.55,0.0,0.0,67.75,67.75,67.75,0.0,0.0,66.8,66.8,66.8,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-11-11,65.96,65.96,65.96,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-11-18,65.4,65.4,65.4,0.0,0.0,65.46,65.46,65.46,0.0,0.0,65.09,65.09,65.09,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-11-25,65.56,65.56,65.56,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-12-02,65.49,65.49,65.49,0.0,0.0,65.49,65.49,65.49,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.51,64.51,64.51,0.0,0.0
