Date,iShares Emerg Markets InfrastructureEtf_Open_average,iShares Emerg Markets InfrastructureEtf_Open_max,iShares Emerg Markets InfrastructureEtf_Open_min,iShares Emerg Markets InfrastructureEtf_Open_volatility,iShares Emerg Markets InfrastructureEtf_Open_change,iShares Emerg Markets InfrastructureEtf_High_average,iShares Emerg Markets InfrastructureEtf_High_max,iShares Emerg Markets InfrastructureEtf_High_min,iShares Emerg Markets InfrastructureEtf_High_volatility,iShares Emerg Markets InfrastructureEtf_High_change,iShares Emerg Markets InfrastructureEtf_Low_average,iShares Emerg Markets InfrastructureEtf_Low_max,iShares Emerg Markets InfrastructureEtf_Low_min,iShares Emerg Markets InfrastructureEtf_Low_volatility,iShares Emerg Markets InfrastructureEtf_Low_change,iShares Emerg Markets InfrastructureEtf_Close_average,iShares Emerg Markets InfrastructureEtf_Close_max,iShares Emerg Markets InfrastructureEtf_Close_min,iShares Emerg Markets InfrastructureEtf_Close_volatility,iShares Emerg Markets InfrastructureEtf_Close_change
2018-01-14,33.96,33.96,33.96,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-01-21,35.19,35.19,35.19,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-01-28,34.02,34.02,34.02,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-02-04,32.11,32.11,32.11,0.0,0.0,32.41,32.41,32.41,0.0,0.0,31.59,31.59,31.59,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-02-11,33.11,33.11,33.11,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-02-18,33.38,33.38,33.38,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-02-25,32.09,32.09,32.09,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2018-03-04,32.6,32.6,32.6,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-03-11,31.88,31.88,31.88,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.88,31.88,31.88,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-03-18,31.93,31.93,31.93,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-03-25,31.85,31.85,31.85,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-04-01,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-04-08,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-04-15,31.73,31.73,31.73,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-04-22,31.73,31.73,31.73,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.73,31.73,31.73,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-04-29,30.8,30.8,30.8,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-05-06,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-05-13,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-05-20,30.54,30.54,30.54,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-05-27,30.47,30.47,30.47,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-06-03,29.93,29.93,29.93,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-06-10,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-06-17,28.59,28.59,28.59,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-06-24,28.02,28.02,28.02,0.0,0.0,28.11,28.11,28.11,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.11,28.11,28.11,0.0,0.0
