Date,iShares Core Moderate AllocationEtf_Open_average,iShares Core Moderate AllocationEtf_Open_max,iShares Core Moderate AllocationEtf_Open_min,iShares Core Moderate AllocationEtf_Open_volatility,iShares Core Moderate AllocationEtf_Open_change,iShares Core Moderate AllocationEtf_High_average,iShares Core Moderate AllocationEtf_High_max,iShares Core Moderate AllocationEtf_High_min,iShares Core Moderate AllocationEtf_High_volatility,iShares Core Moderate AllocationEtf_High_change,iShares Core Moderate AllocationEtf_Low_average,iShares Core Moderate AllocationEtf_Low_max,iShares Core Moderate AllocationEtf_Low_min,iShares Core Moderate AllocationEtf_Low_volatility,iShares Core Moderate AllocationEtf_Low_change,iShares Core Moderate AllocationEtf_Close_average,iShares Core Moderate AllocationEtf_Close_max,iShares Core Moderate AllocationEtf_Close_min,iShares Core Moderate AllocationEtf_Close_volatility,iShares Core Moderate AllocationEtf_Close_change
2018-01-14,38.66,38.66,38.66,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2018-01-21,38.95,38.95,38.95,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2018-01-28,38.48,38.48,38.48,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2018-02-04,37.25,37.25,37.25,0.0,0.0,37.39,37.39,37.39,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-02-11,37.92,37.92,37.92,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-02-18,37.91,37.91,37.91,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.82,37.82,37.82,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-02-25,37.51,37.51,37.51,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-03-04,38.02,38.02,38.02,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2018-03-11,38.04,38.04,38.04,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-03-18,37.61,37.61,37.61,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2018-03-25,37.53,37.53,37.53,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-04-01,37.5,37.5,37.5,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2018-04-08,37.77,37.77,37.77,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.59,37.59,37.59,0.0,0.0
2018-04-15,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.61,37.61,37.61,0.0,0.0
2018-04-22,37.57,37.57,37.57,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-04-29,37.28,37.28,37.28,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-05-06,37.79,37.79,37.79,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-05-13,37.56,37.56,37.56,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-05-20,37.72,37.72,37.72,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-05-27,37.64,37.64,37.64,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-06-03,37.82,37.82,37.82,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-06-10,37.87,37.87,37.87,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-06-17,37.67,37.67,37.67,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-06-24,37.46,37.46,37.46,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-07-01,37.31,37.31,37.31,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-07-08,37.58,37.58,37.58,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2018-07-15,37.64,37.64,37.64,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-07-22,37.8,37.8,37.8,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-07-29,37.68,37.68,37.68,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-08-05,37.69,37.69,37.69,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-08-12,37.58,37.58,37.58,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2018-08-19,37.88,37.88,37.88,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-08-26,37.96,37.96,37.96,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-09-02,37.54,37.54,37.54,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2018-09-09,37.79,37.79,37.79,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-09-16,38.02,38.02,38.02,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-09-23,37.9,37.9,37.9,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2018-09-30,37.3,37.3,37.3,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-10-07,36.66,36.66,36.66,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-10-14,36.67,36.67,36.67,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-10-21,36.08,36.08,36.08,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-10-28,36.65,36.65,36.65,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2018-11-04,36.72,36.72,36.72,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-11-11,36.53,36.53,36.53,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-11-18,36.2,36.2,36.2,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-11-25,36.63,36.63,36.63,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.74,36.74,36.74,0.0,0.0
2018-12-02,36.5,36.5,36.5,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-12-09,36.26,36.26,36.26,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-12-16,35.73,35.73,35.73,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-12-23,35.58,35.58,35.58,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-12-30,35.75,35.75,35.75,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.94,35.94,35.94,0.0,0.0
