Date,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Open_change,FlexShares Morningstar Emerging Markets Factors TiEtf_High_average,FlexShares Morningstar Emerging Markets Factors TiEtf_High_max,FlexShares Morningstar Emerging Markets Factors TiEtf_High_min,FlexShares Morningstar Emerging Markets Factors TiEtf_High_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_High_change,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Low_change,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_average,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_max,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_min,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_volatility,FlexShares Morningstar Emerging Markets Factors TiEtf_Close_change
2018-01-14,63.02,63.02,63.02,0.0,0.0,63.36,63.36,63.36,0.0,0.0,62.95,62.95,62.95,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-01-21,64.98,64.98,64.98,0.0,0.0,65.59,65.59,65.59,0.0,0.0,64.81,64.81,64.81,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-01-28,63.19,63.19,63.19,0.0,0.0,63.19,63.19,63.19,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.45,62.45,62.45,0.0,0.0
2018-02-04,58.9,58.9,58.9,0.0,0.0,59.51,59.51,59.51,0.0,0.0,57.58,57.58,57.58,0.0,0.0,59.24,59.24,59.24,0.0,0.0
2018-02-11,62.34,62.34,62.34,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.33,62.33,62.33,0.0,0.0
2018-02-18,62.26,62.26,62.26,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2018-02-25,60.23,60.23,60.23,0.0,0.0,61.05,61.05,61.05,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2018-03-04,61.64,61.64,61.64,0.0,0.0,62.22,62.22,62.22,0.0,0.0,61.6,61.6,61.6,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2018-03-11,61.51,61.51,61.51,0.0,0.0,61.88,61.88,61.88,0.0,0.0,61.51,61.51,61.51,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2018-03-18,60.13,60.13,60.13,0.0,0.0,60.2,60.2,60.2,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2018-03-25,60.1,60.1,60.1,0.0,0.0,60.94,60.94,60.94,0.0,0.0,59.87,59.87,59.87,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2018-04-01,60.44,60.44,60.44,0.0,0.0,60.45,60.45,60.45,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2018-04-08,60.61,60.61,60.61,0.0,0.0,60.65,60.65,60.65,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-04-15,60.05,60.05,60.05,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.58,59.58,59.58,0.0,0.0,59.72,59.72,59.72,0.0,0.0
2018-04-22,59.5,59.5,59.5,0.0,0.0,59.81,59.81,59.81,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2018-04-29,58.46,58.46,58.46,0.0,0.0,59.21,59.21,59.21,0.0,0.0,58.46,58.46,58.46,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-05-06,59.82,59.82,59.82,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.57,59.57,59.57,0.0,0.0
2018-05-13,58.26,58.26,58.26,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-05-20,58.41,58.41,58.41,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.42,58.42,58.42,0.0,0.0
2018-05-27,58.16,58.16,58.16,0.0,0.0,58.48,58.48,58.48,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.41,58.41,58.41,0.0,0.0
