Date,TrimTabs Float ShrinkEtf_Open_average,TrimTabs Float ShrinkEtf_Open_max,TrimTabs Float ShrinkEtf_Open_min,TrimTabs Float ShrinkEtf_Open_volatility,TrimTabs Float ShrinkEtf_Open_change,TrimTabs Float ShrinkEtf_High_average,TrimTabs Float ShrinkEtf_High_max,TrimTabs Float ShrinkEtf_High_min,TrimTabs Float ShrinkEtf_High_volatility,TrimTabs Float ShrinkEtf_High_change,TrimTabs Float ShrinkEtf_Low_average,TrimTabs Float ShrinkEtf_Low_max,TrimTabs Float ShrinkEtf_Low_min,TrimTabs Float ShrinkEtf_Low_volatility,TrimTabs Float ShrinkEtf_Low_change,TrimTabs Float ShrinkEtf_Close_average,TrimTabs Float ShrinkEtf_Close_max,TrimTabs Float ShrinkEtf_Close_min,TrimTabs Float ShrinkEtf_Close_volatility,TrimTabs Float ShrinkEtf_Close_change
2018-01-14,35.8,35.8,35.8,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-01-21,35.86,35.86,35.86,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.86,35.86,35.86,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-01-28,35.24,35.24,35.24,0.0,0.0,35.24,35.24,35.24,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2018-02-04,33.2,33.2,33.2,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.16,32.16,32.16,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-02-11,34.9,34.9,34.9,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-02-18,34.74,34.74,34.74,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-02-25,33.97,33.97,33.97,0.0,0.0,34.49,34.49,34.49,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-03-04,35.46,35.46,35.46,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-03-11,35.35,35.35,35.35,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-03-18,34.43,34.43,34.43,0.0,0.0,34.47,34.47,34.47,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-03-25,34.14,34.14,34.14,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-04-01,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-04-08,34.72,34.72,34.72,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-04-15,35.12,35.12,35.12,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-04-22,35.33,35.33,35.33,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-04-29,34.15,34.15,34.15,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-05-06,35.79,35.79,35.79,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-05-13,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-05-20,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-05-27,36.28,36.28,36.28,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2018-06-03,37.11,37.11,37.11,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-06-10,36.99,36.99,36.99,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-06-17,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-06-24,35.94,35.94,35.94,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-07-01,35.87,35.87,35.87,0.0,0.0,36.22,36.22,36.22,0.0,0.0,35.87,35.87,35.87,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-07-08,36.81,36.81,36.81,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-07-15,37.01,37.01,37.01,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-07-22,37.05,37.05,37.05,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-07-29,36.7,36.7,36.7,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-08-05,37.23,37.23,37.23,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2018-08-12,37.18,37.18,37.18,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-08-19,38.5,38.5,38.5,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-08-26,38.34,38.34,38.34,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-09-02,38.44,38.44,38.44,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-09-09,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2018-09-16,38.48,38.48,38.48,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2018-09-23,38.23,38.23,38.23,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-09-30,37.43,37.43,37.43,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.72,36.72,36.72,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-10-07,35.42,35.42,35.42,0.0,0.0,35.51,35.51,35.51,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-10-14,35.33,35.33,35.33,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.01,35.01,35.01,0.0,0.0
