Date,SPDR Barclays Short Term Corporate BondEtf_Open_average,SPDR Barclays Short Term Corporate BondEtf_Open_max,SPDR Barclays Short Term Corporate BondEtf_Open_min,SPDR Barclays Short Term Corporate BondEtf_Open_volatility,SPDR Barclays Short Term Corporate BondEtf_Open_change,SPDR Barclays Short Term Corporate BondEtf_High_average,SPDR Barclays Short Term Corporate BondEtf_High_max,SPDR Barclays Short Term Corporate BondEtf_High_min,SPDR Barclays Short Term Corporate BondEtf_High_volatility,SPDR Barclays Short Term Corporate BondEtf_High_change,SPDR Barclays Short Term Corporate BondEtf_Low_average,SPDR Barclays Short Term Corporate BondEtf_Low_max,SPDR Barclays Short Term Corporate BondEtf_Low_min,SPDR Barclays Short Term Corporate BondEtf_Low_volatility,SPDR Barclays Short Term Corporate BondEtf_Low_change,SPDR Barclays Short Term Corporate BondEtf_Close_average,SPDR Barclays Short Term Corporate BondEtf_Close_max,SPDR Barclays Short Term Corporate BondEtf_Close_min,SPDR Barclays Short Term Corporate BondEtf_Close_volatility,SPDR Barclays Short Term Corporate BondEtf_Close_change
2018-01-14,30.37,30.37,30.37,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-01-21,30.37,30.37,30.37,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-01-28,30.29,30.29,30.29,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-02-04,30.3,30.3,30.3,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-02-11,30.23,30.23,30.23,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-02-18,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-02-25,30.17,30.17,30.17,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-03-04,30.18,30.18,30.18,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-03-11,30.17,30.17,30.17,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-03-18,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-03-25,30.15,30.15,30.15,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-04-01,30.17,30.17,30.17,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-04-08,30.16,30.16,30.16,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-04-15,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-04-22,30.14,30.14,30.14,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-04-29,30.11,30.11,30.11,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-05-06,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-05-13,30.14,30.14,30.14,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-05-20,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2018-05-27,30.14,30.14,30.14,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-06-03,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-06-10,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-06-17,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-06-24,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-07-01,30.12,30.12,30.12,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-07-08,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-07-15,30.14,30.14,30.14,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-07-22,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-07-29,30.15,30.15,30.15,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-08-05,30.16,30.16,30.16,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-08-12,30.23,30.23,30.23,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-08-19,30.24,30.24,30.24,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-08-26,30.23,30.23,30.23,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-09-02,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-09-09,30.15,30.15,30.15,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-09-16,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-09-23,30.18,30.18,30.18,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-09-30,30.09,30.09,30.09,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-10-07,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-10-14,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-10-21,30.13,30.13,30.13,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-10-28,30.06,30.06,30.06,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-11-04,30.03,30.03,30.03,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.03,30.03,30.03,0.0,0.0
