Date,Pacer Trendpilot 100Etf_Open_average,Pacer Trendpilot 100Etf_Open_max,Pacer Trendpilot 100Etf_Open_min,Pacer Trendpilot 100Etf_Open_volatility,Pacer Trendpilot 100Etf_Open_change,Pacer Trendpilot 100Etf_High_average,Pacer Trendpilot 100Etf_High_max,Pacer Trendpilot 100Etf_High_min,Pacer Trendpilot 100Etf_High_volatility,Pacer Trendpilot 100Etf_High_change,Pacer Trendpilot 100Etf_Low_average,Pacer Trendpilot 100Etf_Low_max,Pacer Trendpilot 100Etf_Low_min,Pacer Trendpilot 100Etf_Low_volatility,Pacer Trendpilot 100Etf_Low_change,Pacer Trendpilot 100Etf_Close_average,Pacer Trendpilot 100Etf_Close_max,Pacer Trendpilot 100Etf_Close_min,Pacer Trendpilot 100Etf_Close_volatility,Pacer Trendpilot 100Etf_Close_change
2018-01-14,32.18,32.18,32.18,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-01-21,32.83,32.83,32.83,0.0,0.0,33.11,33.11,33.11,0.0,0.0,32.75,32.75,32.75,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-01-28,32.42,32.42,32.42,0.0,0.0,32.51,32.51,32.51,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2018-02-04,29.95,29.95,29.95,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.07,29.07,29.07,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-02-11,32.08,32.08,32.08,0.0,0.0,32.31,32.31,32.31,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-02-18,32.21,32.21,32.21,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-02-25,31.6,31.6,31.6,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.4,31.4,31.4,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-03-04,33.14,33.14,33.14,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2018-03-11,33.27,33.27,33.27,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-03-18,31.51,31.51,31.51,0.0,0.0,31.6,31.6,31.6,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-03-25,30.58,30.58,30.58,0.0,0.0,31.37,31.37,31.37,0.0,0.0,30.46,30.46,30.46,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-04-01,30.95,30.95,30.95,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-04-08,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.27,31.27,31.27,0.0,0.0
