Date,Global X MLP & Energy InfrastructureEtf_Open_average,Global X MLP & Energy InfrastructureEtf_Open_max,Global X MLP & Energy InfrastructureEtf_Open_min,Global X MLP & Energy InfrastructureEtf_Open_volatility,Global X MLP & Energy InfrastructureEtf_Open_change,Global X MLP & Energy InfrastructureEtf_High_average,Global X MLP & Energy InfrastructureEtf_High_max,Global X MLP & Energy InfrastructureEtf_High_min,Global X MLP & Energy InfrastructureEtf_High_volatility,Global X MLP & Energy InfrastructureEtf_High_change,Global X MLP & Energy InfrastructureEtf_Low_average,Global X MLP & Energy InfrastructureEtf_Low_max,Global X MLP & Energy InfrastructureEtf_Low_min,Global X MLP & Energy InfrastructureEtf_Low_volatility,Global X MLP & Energy InfrastructureEtf_Low_change,Global X MLP & Energy InfrastructureEtf_Close_average,Global X MLP & Energy InfrastructureEtf_Close_max,Global X MLP & Energy InfrastructureEtf_Close_min,Global X MLP & Energy InfrastructureEtf_Close_volatility,Global X MLP & Energy InfrastructureEtf_Close_change
2018-01-14,14.08,14.08,14.08,0.0,0.0,14.14,14.14,14.14,0.0,0.0,14.02,14.02,14.02,0.0,0.0,14.14,14.14,14.14,0.0,0.0
2018-01-21,14.41,14.41,14.41,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.36,14.36,14.36,0.0,0.0
2018-01-28,13.81,13.81,13.81,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2018-02-04,12.96,12.96,12.96,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-02-11,13.29,13.29,13.29,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2018-02-18,12.75,12.75,12.75,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2018-02-25,12.21,12.21,12.21,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2018-03-04,12.33,12.33,12.33,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-03-11,12.2,12.2,12.2,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2018-03-18,11.86,11.86,11.86,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2018-03-25,11.5,11.5,11.5,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2018-04-01,11.97,11.97,11.97,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2018-04-08,12.14,12.14,12.14,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.1,12.1,12.1,0.0,0.0
2018-04-15,12.58,12.58,12.58,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-04-22,12.42,12.42,12.42,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-04-29,12.47,12.47,12.47,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2018-05-06,12.85,12.85,12.85,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2018-05-13,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,12.92,12.92,12.92,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2018-05-20,12.68,12.68,12.68,0.0,0.0,12.72,12.72,12.72,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-05-27,13.04,13.04,13.04,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.04,13.04,13.04,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2018-06-03,13.18,13.18,13.18,0.0,0.0,13.18,13.18,13.18,0.0,0.0,13.01,13.01,13.01,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-06-10,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2018-06-17,13.32,13.32,13.32,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.31,13.31,13.31,0.0,0.0
2018-06-24,13.27,13.27,13.27,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.32,13.32,13.32,0.0,0.0
2018-07-01,13.33,13.33,13.33,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.5,13.5,13.5,0.0,0.0
