Date,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Open_average,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Open_max,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Open_min,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Open_volatility,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Open_change,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_High_average,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_High_max,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_High_min,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_High_volatility,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_High_change,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Low_average,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Low_max,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Low_min,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Low_volatility,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Low_change,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Close_average,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Close_max,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Close_min,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Close_volatility,GS Connect S&P GSCI Enhanced Commodity Total ReturEtf_Close_change
2018-01-14,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-01-21,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-01-28,25.02,25.02,25.02,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-02-04,24.15,24.15,24.15,0.0,0.0,24.48,24.48,24.48,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2018-02-11,23.83,23.83,23.83,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2018-02-18,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-02-25,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2018-03-04,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-03-11,24.24,24.24,24.24,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-03-18,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-03-25,24.68,24.68,24.68,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.7,24.7,24.7,0.0,0.0
